dataset,final_category,final_category_zh,canonical_sample_id,sample_file,question,question_zh,translation_status,answer,question_units,complexity_index
physics\phyx,mechanics_kinematics_dynamics,力学、运动学与动力学,phyx00852,phyx00852.json,As shown in the figure. Determine the object’s velocity at times t = 8 s.,,pending_translation,30 \mathrm{m/s},15,6.8912
physics\phyx,mechanics_kinematics_dynamics,力学、运动学与动力学,phyx00817,phyx00817.json,"Determine the period of small oscillations of the assembly when \alpha = 0, as shown in the figure.",,pending_translation,2\pi \sqrt{\frac{\ell}{g}},17,6.2215
physics\phyx,mechanics_kinematics_dynamics,力学、运动学与动力学,phyx00936,phyx00936.json,A disc can rotate about the axis XX’. The time period of oscillation of the disc is?,,pending_translation,\pi \sqrt{\frac{m}{k}},17,6.5304
physics\phyx,mechanics_kinematics_dynamics,力学、运动学与动力学,phyx00496,phyx00496.json,As shown in the figure What is the magnitude of the puck’s acceleration at t = 5 s?,,pending_translation,2.2 \mathrm{m/s}^2,18,6.349
physics\phyx,mechanics_kinematics_dynamics,力学、运动学与动力学,phyx00841,phyx00841.json,"The net force \( \vec{F} \) on the \( 1.0\,\mathrm{nC} \) charge in figure is zero. What is q?",,pending_translation,0.68nC,18,7.099
physics\phyx,mechanics_kinematics_dynamics,力学、运动学与动力学,phyx00730,phyx00730.json,"A 10-m-high cylinder, with a cross-sectional area of 0.1 m^2, has a massless piston at the bottom with water at 20\circ\text{C} on top of it. Air at 300 K, with a volume of 0.3 m^3, under the piston is heated so that the piston moves up, spilling the water out over the side. Find the total heat transfer to the air when all the water has been pushed out.",,pending_translation,220.7 kJ,77,9.0025
physics\phyx,mechanics_kinematics_dynamics,力学、运动学与动力学,phyx00571,phyx00571.json,Two point charges are placed on the \( x \)-axis as shown. Find the position on the \( x \)-axis where the net force on a small charge \( +q \) would be zero.,,pending_translation,-3.27m,30,7.1413
physics\phyx,mechanics_kinematics_dynamics,力学、运动学与动力学,phyx00322,phyx00322.json,"Suppose that a particle with mass \( m \) and energy \( E \) is moving toward the origin of a system \( S \) such that its velocity \( \mathbf{u} \) makes an angle \( \alpha \) with the \( y \) axis as shown in figure. determine the energy \( E' \) of the particle measured by an observer in \( S' \), which moves relative to \( S \) so that the particle moves along the \( y' \) axis.",,pending_translation,\( E\sqrt{1 - (u^2 / c^2)\sin^2 \alpha} \),64,8.0842
physics\phyx,mechanics_kinematics_dynamics,力学、运动学与动力学,phyx00173,phyx00173.json,"In the laboratory, the measured velocity of an electron is as shown in figure. Suppose an observer moves in the same direction as the electron relative to the laboratory. Find the kinetic energy as measured by this observer. (The rest mass of the electron is $m_e = 9.11 \times 10^{-31} \text{ kg}$)",,pending_translation,\( 6.85\times 10^{-15} \text{ J} \),53,8.6383
physics\phyx,mechanics_kinematics_dynamics,力学、运动学与动力学,phyx00683,phyx00683.json,"Two steady flows of air enter a control volume. One is a 0.025 kg/s flow at 350kPa, 150\circ\text{C}, state 1, and the other enters at 450 kPa, 15\circ\text{C}, state 2. A single flow exits at 100 kPa,−40\circ\text{C}, state 3. The control volume ejects 1 kW heat to the surroundings and produces 4 kW of power output. Neglect kinetic energies and determine the mass flow rate at state 2.",,pending_translation,0.0042 kg/s,80,9.235
physics\phyx,mechanics_kinematics_dynamics,力学、运动学与动力学,phyx01047,phyx01047.json,"A charged sphere remains stationary while a particle of mass \(4.00 \times 10^{-4}\text{kg}\) and charge \(5.00 \times 10^{-8}\text{C}\) is fired toward it. The particle's speed \(v\) is measured as a function of distance \(x\), and the graph of \(v^2\) versus \(1/x\) fits \(v^2 = 400\text{m}^2/\text{s}^2 - (15.75\text{m}^3/\text{s}^2)/x\). What is Q?",,pending_translation,+7.01\mu\text{C},70,9.0698
physics\phyx,mechanics_kinematics_dynamics,力学、运动学与动力学,phyx00820,phyx00820.json,"Each charge shown is \(\pm e\), and the H--N distance is \(0.110\,\text{nm}\). Calculate the force on the electron in the hydrogen atom, which is \(0.0529\,\text{nm}\) from the proton. Then compare the strength of the bonding force of the electron in hydrogen with the bonding force of the adenine--thymine molecules.",,pending_translation,8.22 \times 10^{-8}N,55,8.3702
physics\phyx,mechanics_kinematics_dynamics,力学、运动学与动力学,phyx00272,phyx00272.json,"Figure represents the total acceleration of a particle moving clockwise in a circle at a certain instant of time. For that instant, find its tangential acceleration.",,pending_translation,\( 7.50 \text{ m/s}^2 \),26,7.4031
physics\phyx,mechanics_kinematics_dynamics,力学、运动学与动力学,phyx00334,phyx00334.json,"In a set of experiments on a hypothetical one-electron atom, you measure the wavelengths of the photons emitted from transitions ending in the ground state \( n = 1 \), as shown in the energy-level diagram in the figure. You also observe that it takes \( 17.50 \, \text{eV} \) to ionize this atom. If an electron made a transition from the \( n = 4 \) to the \( n = 2 \) level, what wavelength of light would it emit?",,pending_translation,"\( 378 \, \text{nm} \)",73,9.1202
physics\phyx,mechanics_kinematics_dynamics,力学、运动学与动力学,phyx00824,phyx00824.json,"Figure shows the deflecting plates of an ink-jet printer, with superimposed coordinate axes. An ink drop with a mass \( m = 1.3 \times 10^{-10}\ \mathrm{kg} \) and a negative charge of magnitude \( Q = 1.5 \times 10^{-13}\ \mathrm{C} \) enters the region between the plates, initially moving along the \( x \) axis with speed \( v_x = 18\ \mathrm{m/s} \). The length \( L \) of each plate is 1.6\ \mathrm{cm}. The plates are charged and thus produce an electric field at all points between them. A...",,pending_translation,0.64 mm,143,10.7333
physics\phyx,mechanics_kinematics_dynamics,力学、运动学与动力学,phyx00781,phyx00781.json,A valve in the cylinder shown in the figure has a cross-sectional area of 11 \cm^2\ with a pressure of 735 kPa inside the cylinder and 99 kPa outside. How large a force is needed to open the valve?,,pending_translation,700N,41,7.8147
physics\phyx,mechanics_kinematics_dynamics,力学、运动学与动力学,phyx00605,phyx00605.json,A gas undergoes a cyclic process. How much work is done per cycle by a gas following the $pV$ trajectory shown in the figure?,,pending_translation,40 J,24,6.5615
physics\phyx,mechanics_kinematics_dynamics,力学、运动学与动力学,phyx00386,phyx00386.json,"From the Earth's coordinate system, a spacecraft is launched from $x = 0$ and accelerates along the x-axis. At time $t$, the spacecraft's position is $x(t)$ as shown in the figure. Assuming an astronaut in the spacecraft constantly monitors the acceleration and finds the acceleration to be a constant $g$. When the spacecraft's velocity reaches $v$, what is the distance traveled, $x$?",,pending_translation,\( \frac{c^2}{g} \left(\frac{1}{\sqrt{1+(v/c)^2}} - 1\right) \),63,8.8772
physics\phyx,mechanics_kinematics_dynamics,力学、运动学与动力学,phyx00094,phyx00094.json,"Consider a potential well defined as \( U(x) = \infty \) for \( x < 0 \), \( U(x) = 0 \) for \( 0 < x < L \), and \( U(x) = U_0 > 0 \) for \( x > L \) as shown in the figure. Consider a particle with mass \( m \) and kinetic energy \( E < U_0 \) that is trapped in the well. The wave function must remain finite as \( x \to \infty \). What must the form of the function \( \psi(x) \) for \( x > L \) be in order to satisfy both the Schrödinger equation and this boundary condition at infinity?",,pending_translation,"\\( \kappa^2 = 2m(U_0 - E)/\hbar, \)",89,9.151
physics\phyx,mechanics_kinematics_dynamics,力学、运动学与动力学,phyx00127,phyx00127.json,"A conducting sphere, as shown in the figure, with uniform magnetization is rotating about its $z$-axis with low speed. Find the potential difference between the equator and the pole.",,pending_translation,\( -\frac{1}{3} \mu_0 M_0 \Omega R^2 \),30,7.5525
physics\phyx,waves_optics_sound,波动、光学与声学,phyx00441,phyx00441.json,As shown in the figure What is the wavelength?,,pending_translation,0.8 m,9,5.4617
physics\phyx,waves_optics_sound,波动、光学与声学,phyx00604,phyx00604.json,Based on the figure Find the wavelength of the light.,,pending_translation,633nm,10,6.0294
physics\phyx,waves_optics_sound,波动、光学与声学,phyx00901,phyx00901.json,Based on the figure What is the prism’s index of refraction?,,pending_translation,1.59,12,6.1722
physics\phyx,waves_optics_sound,波动、光学与声学,phyx00573,phyx00573.json,The mirror in figure deflects a horizontal laser beam What is the angle \phi?,,pending_translation,60^\circ,14,6.097
physics\phyx,waves_optics_sound,波动、光学与声学,phyx00660,phyx00660.json,A 5.0 Hz wave is shown in the figure What is the wave speed?,,pending_translation,10 m/s,14,6.1083
physics\phyx,waves_optics_sound,波动、光学与声学,phyx00847,phyx00847.json,Based on the figure Find the focal length of the contact lens that will permit the wearer to see clearly an object that is 25 cm in front of the eye.,,pending_translation,33cm,31,6.8627
physics\phyx,waves_optics_sound,波动、光学与声学,phyx00914,phyx00914.json,"The wave profiles at \( t = 0 \) and \( t = 1\,\mathrm{s} \) are shown as the solid and dashed lines in the figure, respectively. It is known that the particle at \( x = 0 \) travels a total distance of \( 4.5\,\mathrm{cm} \) during the time interval from \( 0 \) to \( 1\,\mathrm{s} \). What is the wave speed?",,pending_translation,13 m/s,55,8.6312
