dataset,final_category,final_category_zh,count,share_pct,definition_zh,source_rule
math\geometry3k,angle_chasing,几何角度追踪,500,56.88,需要运用“几何角度追踪”相关知识或解法的题目。,mapped:angle_chasing
math\geometry3k,circle_arc_chord,圆、弧、弦与切线,85,9.67,需要运用“圆、弧、弦与切线”相关知识或解法的题目。,mapped:circle_arc_chord
math\geometry3k,geometry_segment_measurement,几何线段测量,77,8.76,需要运用“几何线段测量”相关知识或解法的题目。,refined:geometry_segment_measurement
math\geometry3k,area_perimeter,面积与周长计算,72,8.19,需要运用“面积与周长计算”相关知识或解法的题目。,mapped:area_perimeter
math\geometry3k,diagram_variable_solving,图形变量求解,41,4.66,需要运用“图形变量求解”相关知识或解法的题目。,mapped:diagram_variable_solving
math\geometry3k,segment_length,线段长度求解,34,3.87,需要运用“线段长度求解”相关知识或解法的题目。,mapped:segment_length
math\geometry3k,geometry_generic_measurement,图形通用量测,26,2.96,需要运用“图形通用量测”相关知识或解法的题目。,refined:geometry_generic_measurement
math\geometry3k,trigonometric_ratio,三角比计算,21,2.39,需要运用“三角比计算”相关知识或解法的题目。,mapped:trigonometric_ratio
math\geometry3k,coordinate_geometry,坐标几何,12,1.37,需要运用“坐标几何”相关知识或解法的题目。,mapped:coordinate_geometry
math\geometry3k,geometry_quadrilateral_polygon,四边形与多边形性质,6,0.68,需要运用“四边形与多边形性质”相关知识或解法的题目。,refined:geometry_quadrilateral_polygon
math\geometry3k,similarity_congruence,相似与全等,5,0.57,需要运用“相似与全等”相关知识或解法的题目。,mapped:similarity_congruence
