dataset,final_category,final_category_zh,count,share_pct,question_len_median,question_len_p25,question_len_p75,answer_len_median,complexity_median,multi_step_median,visual_entity_median,requires_image_pct,top_question_type,top_answer_shape,top_visual_kind
math\geometry3k,angle_chasing,几何角度追踪,500,56.88,12.0,6.0,17.0,1.0,6.093,0.302,6.0,97.0,calculation,numeric_or_unit,geometry_diagram
math\geometry3k,circle_arc_chord,圆、弧、弦与切线,85,9.67,12.0,8.0,16.0,1.0,6.256,0.302,6.0,100.0,calculation,numeric_or_unit,generic_visual
math\geometry3k,geometry_segment_measurement,几何线段测量,77,8.76,2.0,2.0,9.0,1.0,4.788,0.302,5.0,100.0,calculation,numeric_or_unit,generic_visual
math\geometry3k,area_perimeter,面积与周长计算,72,8.19,13.0,11.0,13.0,1.0,6.339,0.302,6.0,94.44,calculation,numeric_or_unit,dense_diagram
math\geometry3k,diagram_variable_solving,图形变量求解,41,4.66,9.0,5.0,13.0,1.0,5.788,0.302,6.0,95.12,calculation,numeric_or_unit,generic_visual
math\geometry3k,segment_length,线段长度求解,34,3.87,14.5,9.0,19.0,1.0,6.327,0.302,6.0,91.18,calculation,numeric_or_unit,geometry_diagram
math\geometry3k,geometry_generic_measurement,图形通用量测,26,2.96,5.0,2.0,9.75,1.0,5.301,0.302,6.0,100.0,calculation,numeric_or_unit,generic_visual
math\geometry3k,trigonometric_ratio,三角比计算,21,2.39,13.0,10.0,13.0,1.0,6.044,0.257,5.0,95.24,open,numeric_or_unit,generic_visual
math\geometry3k,coordinate_geometry,坐标几何,12,1.37,16.5,15.0,18.0,1.0,6.605,0.369,6.0,91.67,calculation,numeric_or_unit,generic_visual
math\geometry3k,geometry_quadrilateral_polygon,四边形与多边形性质,6,0.68,8.0,7.0,9.75,1.0,5.866,0.351,5.5,100.0,calculation,numeric_or_unit,generic_visual
math\geometry3k,similarity_congruence,相似与全等,5,0.57,8.0,8.0,8.0,1.0,5.655,0.302,5.0,100.0,calculation,formula_latex,wide_diagram
