dataset,canonical_sample_id,sample_file,source_problem_id,final_category,final_category_zh,question,question_zh,translation_status,answer,question_units,complexity_index,multi_step_score,visual_kinds
physics\seephys,seephys00000,seephys00000.json,140,mechanics_kinematics_dynamics,力学、运动学与动力学,"A disk of mass $M$ and radius $R$ slides without friction on a horizontal surface. Another disk of mass $m$ and radius $r$ is pinned through its center to a point off the center of the first disk by a distance $b$, so that it can rotate without friction on the first disk as shown in Fig. 2.2. Describe the motion and identify its constants.",,not_translated_in_full_list,"$(M+m)\dot{x}-m b \dot{\theta}\sin\theta=\text{ constant},\quad (M+m)\dot{y}+m b \dot{\theta}\cos\theta=\text{ constant},\quad \dot{\varphi}=\text{ constant},\quad T=\text{ constant},\quad \dot{\theta}=\text{ constant}$",65,10.2703,0.3467,geometry_diagram
physics\seephys,seephys00001,seephys00001.json,100,electromagnetism_circuits,电磁学与物理电路,Name the lowest electric multipole in the radiation field emitted by the following time-varying charge distributions. A uniform charged spherical shell whose radius varies as $R=R_{0}+R_{1}\cos(\omega t)$.,,not_translated_in_full_list,all the electric multipole moments are zero,34,6.2717,0.3467,
physics\seephys,seephys00002,seephys00002.json,144,mechanics_kinematics_dynamics,力学、运动学与动力学,"Two equal point masses $M$ are connected by a massless rigid rod of length $2A$ (a dumbbell) which is constrained to rotate about an axle fixed to the center of the rod at an angle $\theta$. The center of the rod is at the origin of coordinates, the axle along the $z$-axis, and the dumbbell lies in the $xz$-plane at $t=0$. The angular velocity $\omega$ is a constant in time and is directed along the $z$-axis. Using the equation $\mathbf{L}=\mathbf{r}\times\mathbf{p}$, calculate the angular mo...",,not_translated_in_full_list,$MA^2\omega\begin{pmatrix}-\sin2\theta\cos\omega t\\ -\sin2\theta\sin\omega t\\ 2\sin^2\theta\end{pmatrix}$,107,9.3659,0.5227,chart_like
physics\seephys,seephys00003,seephys00003.json,49,mechanics_kinematics_dynamics,力学、运动学与动力学,Four identical masses are connected by four identical springs and constrained to move on a frictionless circle of radius $b$ as shown in Fig. 2.30. What are the frequencies of small oscillations?,,not_translated_in_full_list,$\sqrt{\frac{k}{m}}$ and $\sqrt{\frac{2 k}{m}}$,32,8.2495,0.3917,geometry_diagram
physics\seephys,seephys00004,seephys00004.json,224,mechanics_kinematics_dynamics,力学、运动学与动力学,"A uniform solid ball of radius $a$ rolling with velocity $v$ on a level surface collides inelastically with a step of height $h<a$, as shown in Fig. 1.172. Find, in terms of $h$ and $a$, the minimum velocity for which the ball will ""trip"" up over the step. Assume that no slipping occurs at the impact point, and remember that the moment of inertia of a solid sphere with respect to an axis through its center is $\frac{2}{5} M a^{2}$.",,not_translated_in_full_list,$v=\frac{a\sqrt{70gh}}{7a-5h}$,84,9.6621,0.4907,chart_like
physics\seephys,seephys00005,seephys00005.json,285,mechanics_kinematics_dynamics,力学、运动学与动力学,"A mirror is moving through vacuum with relativistic speed $v$ in the $x$ direction. A beam of light with frequency $\omega_i$ is normally incident (from $x=+\infty$) on the mirror, as shown in Fig. 3.9. The average energy flux of the incident beam is $P_i$ (watts$/\mathrm{m}^2$). What is the average reflected energy flux?",,not_translated_in_full_list,$\left(\frac{c+v}{c-v}\right)P_i$,58,9.0835,0.5087,generic_visual
physics\seephys,seephys00006,seephys00006.json,81,thermo_fluids_gases,热学、流体与气体,"A simple molecular beam apparatus is shown in Fig. 2.40. The oven contains $\mathrm{H}_{2}$ molecules at 300 K and at a pressure of 1 mm of mercury. The hole on the oven has a diameter of $100 \mu \mathrm{m}$, which is much smaller than the molecular mean free path. After the collimating slits, the beam has a divergence angle of 1 mrad. Find the speed distribution of molecules in the beam.",,not_translated_in_full_list,"$n v \left(\frac{m}{2 \pi k T}\right)^{3/2} e^{-m v^2/(2 k T)} v^2 \, dv \, d\Omega$",74,10.0541,0.5767,geometry_diagram
physics\seephys,seephys00007,seephys00007.json,22,mechanics_kinematics_dynamics,力学、运动学与动力学,"Figure 1.10 shows two capacitors in series, the rigid center section of length $b$ being movable vertically. The area of each plate is $A$. If the voltage difference between the outside plates is kept constant at $V_{0}$, what is the change in the energy stored in the capacitors if the center section is removed?",,not_translated_in_full_list,$W-W'=\frac{A\varepsilon_{0}V_{0}^{2}}{2(a-b)}\frac{b}{a}$,55,8.324,0.4367,circuit_diagram
physics\seephys,seephys00008,seephys00008.json,238,electromagnetism_circuits,电磁学与物理电路,"For the circuit shown in Fig. 3.35, the coupling coefficient of mutual inductance for the two coils $L_{1}$ and $L_{2}$ is unity. Find the instantaneous current $i(t)$ the oscillator must deliver as a function of its frequency.",,not_translated_in_full_list,"$i_{1}(t)=\frac{V_{0}}{Z}\cos(\omega t-\varphi)$, where $Z=\sqrt{R^{2}+\left(\frac{\omega L}{1-\omega^{2}LC}\right)^{2}}$ and $\varphi=\arctan\left(\frac{\omega L/R}{1-\omega^{2}LC}\right)$",40,8.4907,0.4097,circuit_diagram
physics\seephys,seephys00009,seephys00009.json,34,mechanics_kinematics_dynamics,力学、运动学与动力学,"Two small spheres of mass $M$ are suspended between two rigid supports with three identical springs of spring constant $K$ (each of unstretched length $\frac{a}{2}$). Assuming small oscillations about the equilibrium configuration, find the frequencies for the two normal modes corresponding to vertical oscillations.",,not_translated_in_full_list,"$\omega_{3}=\sqrt{\frac{K}{2M}}, \quad \omega_{4}=\sqrt{\frac{3K}{2M}}$",46,7.8975,0.3647,wide_diagram
