dataset,canonical_sample_id,sample_file,source_problem_id,final_category,final_category_zh,question,question_zh,translation_status,answer,question_units,complexity_index,multi_step_score,visual_kinds
math\cmm_math,cmmmath00000,cmmmath00000.json,19896,linear_programming_constraints,线性规划与约束最值,"如果实数 $x, y$ 满足约束条件 $\left\{\begin{array}{l}x-y+1 \geq 0, \\ y+1 \geq 0, \\ x+y+1 \leq 0,\end{array}\right.$ 则 $2 x-y$ 的最大值为 ( )","如果实数 $x, y$ 满足约束条件 $\left\{\begin{array}{l}x-y+1 \geq 0, \\ y+1 \geq 0, \\ x+y+1 \leq 0,\end{array}\right.$ 则 $2 x-y$ 的最大值为 ( )",original_zh,1,42,6.0036,0.3737,
math\cmm_math,cmmmath00001,cmmmath00001.json,19876,algebra_equation_inequality,代数方程与不等式,"$x$ 的不等式 $a x-b<0$ 的解集是 $(1,+\infty)$, 则关于 $x$ 的不等式 $(a x+b)(x-3)>0$ 的解集是( )","$x$ 的不等式 $a x-b<0$ 的解集是 $(1,+\infty)$, 则关于 $x$ 的不等式 $(a x+b)(x-3)>0$ 的解集是( )",original_zh,"$(-1,3)$",33,5.812,0.4097,
math\cmm_math,cmmmath00002,cmmmath00002.json,19894,coordinate_geometry_transform,坐标几何与变换,"已知点 $(-3,-1)$ 和点 $(4,-6)$ 在直线 $3 x-2 y-a=0$ 的两侧, 则 $a$ 的取值范围为 ( )","已知点 $(-3,-1)$ 和点 $(4,-6)$ 在直线 $3 x-2 y-a=0$ 的两侧, 则 $a$ 的取值范围为 ( )",original_zh,"$(-7,24)$",29,5.6868,0.4097,
math\cmm_math,cmmmath00003,cmmmath00003.json,19900,geometry_angle_chasing,几何角度追踪,"在平面直角坐标系 $x O y$ 中, $M$ 为不等式组 $\left\{\begin{array}{l}2 x-y-2 \geq 0, \\ x+2 y-1 \geq 0, \\ 3 x+y-8 \leq 0\end{array}\right.$ 所表示的区域上一动点,则直线 OM 斜率的最小值为 ( )","在平面直角坐标系 $x O y$ 中, $M$ 为不等式组 $\left\{\begin{array}{l}2 x-y-2 \geq 0, \\ x+2 y-1 \geq 0, \\ 3 x+y-8 \leq 0\end{array}\right.$ 所表示的区域上一动点,则直线 OM 斜率的最小值为 ( )",original_zh,$-\frac{1}{3}$,64,8.0769,0.3737,generic_visual
math\cmm_math,cmmmath00004,cmmmath00004.json,19873,algebra_equation_inequality,代数方程与不等式,"已知关于 $x$ 的不等式 $a x^{2}-x+b \geq 0$ 的解集为 $[-2,1]$, 则关于 $x$ 的不等式 $b x^{2}-x+a \leq 0$ 的解集为 ( )","已知关于 $x$ 的不等式 $a x^{2}-x+b \geq 0$ 的解集为 $[-2,1]$, 则关于 $x$ 的不等式 $b x^{2}-x+a \leq 0$ 的解集为 ( )",original_zh,"$\left[-\frac{1}{2}, 1\right]$",41,5.9909,0.3827,
math\cmm_math,cmmmath00005,cmmmath00005.json,19897,math_other,数学综合题,"若 $x, y$ 满足 $\left\{\begin{array}{l}x-y+3 \geq 0, \\ x+y+1 \geq 0, \\ x \leq k,\end{array}\right.$","若 $x, y$ 满足 $\left\{\begin{array}{l}x-y+3 \geq 0, \\ x+y+1 \geq 0, \\ x \leq k,\end{array}\right.$",original_zh,1,25,5.4573,0.3377,
math\cmm_math,cmmmath00006,cmmmath00006.json,18973,geometry_angle_chasing,几何角度追踪,"在 $\triangle A B C$ 中, 已知 $B=60^{\circ}, C=45^{\circ}, B C=2$, 且 $A D \perp B C$ 于 $D$, 则 $A D=(\quad)$","在 $\triangle A B C$ 中, 已知 $B=60^{\circ}, C=45^{\circ}, B C=2$, 且 $A D \perp B C$ 于 $D$, 则 $A D=(\quad)$",original_zh,$3-\sqrt{3}$,29,5.7636,0.3737,
math\cmm_math,cmmmath00007,cmmmath00007.json,18945,linear_programming_constraints,线性规划与约束最值,"设变量 $x, y$ 满足约束条件 $\left\{\begin{array}{l}x+y-2 \leq 0, \\ x-y+2 \geq 0, \\ x \geqslant-1, \\ y \geqslant-1,\end{array}\right.$, 则目标函数 $z=-4 x+y$ 的最大值为()","设变量 $x, y$ 满足约束条件 $\left\{\begin{array}{l}x+y-2 \leq 0, \\ x-y+2 \geq 0, \\ x \geqslant-1, \\ y \geqslant-1,\end{array}\right.$, 则目标函数 $z=-4 x+y$ 的最大值为()",original_zh,6,48,6.1667,0.4007,
math\cmm_math,cmmmath00008,cmmmath00008.json,19896,linear_programming_constraints,线性规划与约束最值,"如果实数 $x, y$ 满足约束条件 $\left\{\begin{array}{l}x-y+1 \geq 0, \\ y+1 \geq 0, \\ x+y+1 \leq 0,\end{array}\right.$ 则 $2 x-y$ 的最大值为 ( )","如果实数 $x, y$ 满足约束条件 $\left\{\begin{array}{l}x-y+1 \geq 0, \\ y+1 \geq 0, \\ x+y+1 \leq 0,\end{array}\right.$ 则 $2 x-y$ 的最大值为 ( )",original_zh,1,42,6.0036,0.3737,
math\cmm_math,cmmmath00009,cmmmath00009.json,18972,geometry_angle_chasing,几何角度追踪,"在 $\triangle \mathrm{ABC}$ 中, $B=\frac{\pi}{6}, \mathrm{c}=4, \cos C=\frac{\sqrt{5}}{3}$, 则 $\mathrm{b}=(\quad)$","在 $\triangle \mathrm{ABC}$ 中, $B=\frac{\pi}{6}, \mathrm{c}=4, \cos C=\frac{\sqrt{5}}{3}$, 则 $\mathrm{b}=(\quad)$",original_zh,3 c. $\frac{3}{2}$,22,5.4763,0.3557,
