dataset,final_category,final_category_zh,count,share_pct,question_len_median,question_len_p25,question_len_p75,answer_len_median,complexity_median,multi_step_median,visual_entity_median,requires_image_pct,top_question_type,top_answer_shape,top_visual_kind
chemistry\sciverse_chemistry,stoichiometry_reaction_calculation,化学计量与反应计算,61,24.7,52.0,25.0,84.0,2.0,7.823,0.356,5.0,100.0,multiple_choice,numeric_or_unit,wide_diagram
chemistry\sciverse_chemistry,molecular_structure_smiles_bonds,分子结构、键与 SMILES,49,19.84,35.0,25.0,58.0,2.0,7.518,0.347,6.0,100.0,multiple_choice,short_text,wide_diagram
chemistry\sciverse_chemistry,equilibrium_kinetics_gas,化学平衡、动力学与气体,43,17.41,60.0,42.5,82.5,2.0,8.708,0.437,5.0,100.0,multiple_choice,short_text,chart_like
chemistry\sciverse_chemistry,thermochemistry_calorimetry,热化学与量热,31,12.55,74.0,55.0,103.5,1.0,8.504,0.383,6.0,100.0,multiple_choice,numeric_or_unit,wide_diagram
chemistry\sciverse_chemistry,acid_base_solution,酸碱与溶液性质,22,8.91,38.0,27.5,44.0,2.0,7.476,0.333,5.5,100.0,multiple_choice,short_text,wide_diagram
chemistry\sciverse_chemistry,isomer_stereochemistry_nomenclature,异构、立体化学与命名,11,4.45,17.0,12.0,46.0,2.0,6.47,0.302,5.0,100.0,multiple_choice,numeric_or_unit,generic_visual
chemistry\sciverse_chemistry,lab_graph_data_interpretation,实验图表与数据分析,11,4.45,57.0,18.0,103.0,1.0,8.189,0.401,6.0,100.0,multiple_choice,formula_latex,wide_diagram
chemistry\sciverse_chemistry,electrochemistry_redox,电化学与氧化还原,7,2.83,62.0,39.0,88.5,1.0,8.144,0.347,6.0,100.0,multiple_choice,numeric_or_unit,wide_diagram
chemistry\sciverse_chemistry,periodic_atomic_bonding,周期律、原子与成键,6,2.43,17.5,14.75,22.5,1.5,6.198,0.302,4.0,100.0,multiple_choice,short_text,generic_visual
chemistry\sciverse_chemistry,chemistry_other,化学综合题,5,2.02,20.0,16.0,74.0,1.0,6.201,0.257,5.0,100.0,multiple_choice,numeric_or_unit,generic_visual
chemistry\sciverse_chemistry,organic_reaction_mechanism,有机反应机理,1,0.4,59.0,59.0,59.0,1.0,8.01,0.392,5.0,100.0,multiple_choice,short_text,wide_diagram
