dataset,final_category,final_category_zh,canonical_sample_id,sample_file,question,question_zh,translation_status,answer,question_units,complexity_index
geography\ai2d_geography,earth_sun_moon_space,地球、太阳与月相,ai2d_geography00166,ai2d_geography00166.json,Describe stage F,,pending_translation,full moon,3,5.1869
geography\ai2d_geography,earth_sun_moon_space,地球、太阳与月相,ai2d_geography00223,ai2d_geography00223.json,Label C represents,,pending_translation,Earth,3,4.7081
geography\ai2d_geography,earth_sun_moon_space,地球、太阳与月相,ai2d_geography00118,ai2d_geography00118.json,Which letter denotes F?,,pending_translation,Sun,4,5.5416
geography\ai2d_geography,earth_sun_moon_space,地球、太阳与月相,ai2d_geography00181,ai2d_geography00181.json,What does F represent?,,pending_translation,The Moon's Orbit,4,5.2417
geography\ai2d_geography,earth_sun_moon_space,地球、太阳与月相,ai2d_geography00051,ai2d_geography00051.json,Which phase describes label M?,,pending_translation,Crescent Moon,5,5.4017
geography\ai2d_geography,earth_sun_moon_space,地球、太阳与月相,ai2d_geography00212,ai2d_geography00212.json,Which is the seventh planet from the Sun and the third largest (by diameter)?,,pending_translation,Uranus,14,6.4175
geography\ai2d_geography,earth_sun_moon_space,地球、太阳与月相,ai2d_geography00184,ai2d_geography00184.json,Which of these is a natural satellite of the earth?,,pending_translation,moon,10,5.6777
geography\ai2d_geography,earth_sun_moon_space,地球、太阳与月相,ai2d_geography00115,ai2d_geography00115.json,The diagram below shows the phases of the moon. Which phase is represented in Square D?,,pending_translation,New Moon,16,6.9443
geography\ai2d_geography,earth_sun_moon_space,地球、太阳与月相,ai2d_geography00061,ai2d_geography00061.json,What comes after a new moon?,,pending_translation,waxing crescent,6,5.627
geography\ai2d_geography,earth_sun_moon_space,地球、太阳与月相,ai2d_geography00206,ai2d_geography00206.json,What causes water to evaporate?,,pending_translation,Sun,5,5.4685
geography\ai2d_geography,earth_sun_moon_space,地球、太阳与月相,ai2d_geography00232,ai2d_geography00232.json,What does the diagram depict?,,pending_translation,Phases of the moon,5,5.7506
geography\ai2d_geography,earth_sun_moon_space,地球、太阳与月相,ai2d_geography00099,ai2d_geography00099.json,"What star is the basis of the solar system that sustains life on Earth, being the source of heat and light?",,pending_translation,sun,21,6.8572
geography\ai2d_geography,earth_sun_moon_space,地球、太阳与月相,ai2d_geography00117,ai2d_geography00117.json,The cycle of the moon is labeled with letters A-F. Which stage is shown at D?,,pending_translation,Waxing Crescent,17,6.6052
geography\ai2d_geography,earth_sun_moon_space,地球、太阳与月相,ai2d_geography00224,ai2d_geography00224.json,What lies between the sun and the moon in the diagram?,,pending_translation,earth,11,6.0987
geography\ai2d_geography,earth_sun_moon_space,地球、太阳与月相,ai2d_geography00190,ai2d_geography00190.json,"In the diagram, which letter best represents the Moon's gravitational pull?",,pending_translation,E,11,6.4304
geography\ai2d_geography,earth_sun_moon_space,地球、太阳与月相,ai2d_geography00134,ai2d_geography00134.json,"The diagram shows the earth, sun, and moon and how they affect low and high tide. What does the letter E represent?",,pending_translation,Moon's gravitational force,22,7.245
geography\ai2d_geography,earth_sun_moon_space,地球、太阳与月相,ai2d_geography00032,ai2d_geography00032.json,What is the part represented by C in the diagram?,,pending_translation,moon,10,6.0203
geography\ai2d_geography,earth_sun_moon_space,地球、太阳与月相,ai2d_geography00044,ai2d_geography00044.json,Which letter shows the sun's position at morning time?,,pending_translation,B,9,5.8163
geography\ai2d_geography,earth_sun_moon_space,地球、太阳与月相,ai2d_geography00194,ai2d_geography00194.json,Which part of the diagram below is necessary for all the other parts to live?,,pending_translation,Sun,15,6.712
geography\ai2d_geography,earth_sun_moon_space,地球、太阳与月相,ai2d_geography00233,ai2d_geography00233.json,Which letter faces towards the Moon?,,pending_translation,G,6,5.7064
geography\ai2d_geography,chart_graph_interpretation,图表信息解读,ai2d_geography00077,ai2d_geography00077.json,Which label represents Jupiter?,,pending_translation,J,4,5.2035
geography\ai2d_geography,chart_graph_interpretation,图表信息解读,ai2d_geography00263,ai2d_geography00263.json,When is spring equinox?,,pending_translation,march 21,4,5.0716
geography\ai2d_geography,chart_graph_interpretation,图表信息解读,ai2d_geography00013,ai2d_geography00013.json,What is the transpiration stage?,,pending_translation,F,5,5.3975
geography\ai2d_geography,chart_graph_interpretation,图表信息解读,ai2d_geography00028,ai2d_geography00028.json,What is represented y B?,,pending_translation,the core,5,5.4015
geography\ai2d_geography,chart_graph_interpretation,图表信息解读,ai2d_geography00030,ai2d_geography00030.json,What appears in stage A?,,pending_translation,Neap Tide,5,5.4033
geography\ai2d_geography,chart_graph_interpretation,图表信息解读,ai2d_geography00257,ai2d_geography00257.json,What date is shown at stage B in the diagram?,,pending_translation,December 21-22,10,6.0261
geography\ai2d_geography,chart_graph_interpretation,图表信息解读,ai2d_geography00254,ai2d_geography00254.json,Letter B in the diagram represents what?,,pending_translation,December,7,5.9394
geography\ai2d_geography,chart_graph_interpretation,图表信息解读,ai2d_geography00105,ai2d_geography00105.json,WHICH LABEL REPRESENTS SOUTH POLE?,,pending_translation,B,5,5.3112
geography\ai2d_geography,chart_graph_interpretation,图表信息解读,ai2d_geography00261,ai2d_geography00261.json,Which label is pointing to the continental crust?,,pending_translation,D,8,5.9664
geography\ai2d_geography,chart_graph_interpretation,图表信息解读,ai2d_geography00287,ai2d_geography00287.json,Which of these planets is the biggest?,,pending_translation,Jupitor,7,5.5963
geography\ai2d_geography,chart_graph_interpretation,图表信息解读,ai2d_geography00170,ai2d_geography00170.json,What is the hottest part of the diagram?,,pending_translation,core,8,5.8233
geography\ai2d_geography,chart_graph_interpretation,图表信息解读,ai2d_geography00084,ai2d_geography00084.json,What does D depict in the diagram?,,pending_translation,3rd quarter,7,6.0219
geography\ai2d_geography,chart_graph_interpretation,图表信息解读,ai2d_geography00277,ai2d_geography00277.json,Which is the largest and most anterior part of each cerebral hemisphere?,,pending_translation,I,12,6.5042
geography\ai2d_geography,chart_graph_interpretation,图表信息解读,ai2d_geography00064,ai2d_geography00064.json,What stage is shown at letter C in the photo?,,pending_translation,freezes to ice,10,6.1796
geography\ai2d_geography,chart_graph_interpretation,图表信息解读,ai2d_geography00148,ai2d_geography00148.json,Which region in the diagram represents the crust?,,pending_translation,A,8,5.9833
geography\ai2d_geography,chart_graph_interpretation,图表信息解读,ai2d_geography00217,ai2d_geography00217.json,Which letter corresponds to the December Solstice?,,pending_translation,H,7,5.7588
geography\ai2d_geography,chart_graph_interpretation,图表信息解读,ai2d_geography00111,ai2d_geography00111.json,What does label A represent in the above diagram?,,pending_translation,TOTAL,9,6.0878
geography\ai2d_geography,chart_graph_interpretation,图表信息解读,ai2d_geography00297,ai2d_geography00297.json,What does letter E depict?,,pending_translation,last quarter,5,5.4158
geography\ai2d_geography,chart_graph_interpretation,图表信息解读,ai2d_geography00082,ai2d_geography00082.json,What is shown at stage H in the diagram?,,pending_translation,winter solstice,9,5.9324
geography\ai2d_geography,chart_graph_interpretation,图表信息解读,ai2d_geography00252,ai2d_geography00252.json,What is above the dirt?,,pending_translation,Shoot system,5,5.4703
geography\ai2d_geography,geomorphology_geology_hazards,地貌、地质与灾害,ai2d_geography00121,ai2d_geography00121.json,cool magma becomes?,,pending_translation,rock,3,5.1664
geography\ai2d_geography,geomorphology_geology_hazards,地貌、地质与灾害,ai2d_geography00047,ai2d_geography00047.json,What does B represent?,,pending_translation,Newest Rocks,4,5.2229
geography\ai2d_geography,geomorphology_geology_hazards,地貌、地质与灾害,ai2d_geography00019,ai2d_geography00019.json,What rocks are at the top?,,pending_translation,newest rocks,6,5.7034
geography\ai2d_geography,geomorphology_geology_hazards,地貌、地质与灾害,ai2d_geography00059,ai2d_geography00059.json,What is the structure marked E?,,pending_translation,Continental plate,6,5.562
geography\ai2d_geography,geomorphology_geology_hazards,地貌、地质与灾害,ai2d_geography00123,ai2d_geography00123.json,What type of rock is granite?,,pending_translation,Igneous,6,5.4748
geography\ai2d_geography,geomorphology_geology_hazards,地貌、地质与灾害,ai2d_geography00006,ai2d_geography00006.json,What cycle is depicted in the given diagram?,,pending_translation,Rock cycle,8,5.7541
