dataset,final_category,final_category_zh,canonical_sample_id,sample_file,question,question_zh,translation_status,answer,question_units,complexity_index
chemistry\sciverse_chemistry,stoichiometry_reaction_calculation,化学计量与反应计算,sciversechemistry00113,sciversechemistry00113.json,The following diagram supports which of the following conclusions about the reaction shown below?,,pending_translation,Mass is conserved in all chemical reactions,14,6.0969
chemistry\sciverse_chemistry,stoichiometry_reaction_calculation,化学计量与反应计算,sciversechemistry00161,sciversechemistry00161.json,The diagram below supports which of the following conclusions about the reaction shown below?,,pending_translation,Mass is conserved in all chemical reactions,14,6.0974
chemistry\sciverse_chemistry,stoichiometry_reaction_calculation,化学计量与反应计算,sciversechemistry00225,sciversechemistry00225.json,"Based on the mass spectrum shown below, which of the following can be concluded about zirconium?",,pending_translation,The most common isotope of zirconium has 50 neutrons,16,6.4631
chemistry\sciverse_chemistry,stoichiometry_reaction_calculation,化学计量与反应计算,sciversechemistry00212,sciversechemistry00212.json,Which energy difference in the energy profile below corresponds to the activation energy for the forward reaction?,,pending_translation,$x$,17,6.7681
chemistry\sciverse_chemistry,stoichiometry_reaction_calculation,化学计量与反应计算,sciversechemistry00114,sciversechemistry00114.json,A mass spectrum of a naturally occurring sample of an element is shown above. What is the element?,,pending_translation,Cl,18,6.0947
chemistry\sciverse_chemistry,stoichiometry_reaction_calculation,化学计量与反应计算,sciversechemistry00188,sciversechemistry00188.json,"Two half-cells are set up as follows: Half-Cell A: Strip of Cu(s) in $CuNO_3(aq)$ Half-Cell B: Strip of Zn(s) in $Zn(NO_3)_2(aq)$ When the cells are connected according to the following diagram, the following reaction occurs. As the reaction progresses, what will happen to the overall voltage of the cell?",,pending_translation,It will decrease as [$Zn^{2+}$] increases,60,9.3277
chemistry\sciverse_chemistry,stoichiometry_reaction_calculation,化学计量与反应计算,sciversechemistry00152,sciversechemistry00152.json,"A piece of potassium metal is added to a solution of hydrochloric acid, and the metal starts to react. Which of the following is the correct net ionic equation for the reaction that is occurring?",,pending_translation,$2H^+(aq) + 2K(s) \rightarrow 2K^+(aq) + H_2(g)$,35,7.197
chemistry\sciverse_chemistry,stoichiometry_reaction_calculation,化学计量与反应计算,sciversechemistry00093,sciversechemistry00093.json,The above diagrams shows the decomposition of hydrogen peroxide in a sealed container in the presence of a catalyst. What is the overall order for the reaction?,,pending_translation,First order,27,6.9455
chemistry\sciverse_chemistry,stoichiometry_reaction_calculation,化学计量与反应计算,sciversechemistry00047,sciversechemistry00047.json,"一名学生设计了一个实验,旨在测定铝的比热容。实验过程中,将质量为 $5.86\ \mathrm{g}$ 的铝块加热至不同温度,然后将其浸入装有 $25.0\ \mathrm{mL}$ 水的量热计中。下图显示了其中一次试验过程中收集的数据。根据给定的实验数据,计算铝的比热容($\mathrm{J/g\cdot^\circ C}$)。(最终答案为一个数值)","一名学生设计了一个实验,旨在测定铝的比热容。实验过程中,将质量为 $5.86\ \mathrm{g}$ 的铝块加热至不同温度,然后将其浸入装有 $25.0\ \mathrm{mL}$ 水的量热计中。下图显示了其中一次试验过程中收集的数据。根据给定的实验数据,计算铝的比热容($\mathrm{J/g\cdot^\circ C}$)。(最终答案为一个数值)",original_zh,0.78,109,8.8151
chemistry\sciverse_chemistry,stoichiometry_reaction_calculation,化学计量与反应计算,sciversechemistry00177,sciversechemistry00177.json,Suppose you discovered a mutant yeast whose glycolytic pathway was shorter because of the presence of a new enzyme catalyzing the reaction. Would shortening the glycolytic pathway in this way benefit the cell?,,pending_translation,No,33,6.7548
chemistry\sciverse_chemistry,stoichiometry_reaction_calculation,化学计量与反应计算,sciversechemistry00201,sciversechemistry00201.json,"$NO_2$ gas is placed in a sealed, evacuated container and allowed to decompose via the following equation: $2NO_2(g) \rightleftharpoons 2NO(g) + O_2(g)$ The graph below indicates the change in concentration for each species over time. As the reaction progresses, what happens to the value of the equilibrium constant $K_p$ if the temperature remains constant?",,pending_translation,It stays constant,62,8.8853
