dataset,final_category,final_category_zh,count,share_pct,question_len_median,question_len_p25,question_len_p75,answer_len_median,complexity_median,multi_step_median,visual_entity_median,requires_image_pct,top_question_type,top_answer_shape,top_visual_kind
math\scemqa_math,algebra_equation_inequality,代数方程与不等式,48,25.4,26.5,22.5,31.0,2.0,7.612,0.392,5.0,100.0,multiple_choice,formula_latex,chart_like
math\scemqa_math,geometry_length_area_volume,几何长度、面积与体积,44,23.28,44.5,26.75,66.75,2.0,7.523,0.365,6.0,77.27,multiple_choice,numeric_or_unit,chart_like
math\scemqa_math,statistics_data_analysis,统计与数据分析,36,19.05,25.5,16.0,45.0,3.5,7.238,0.347,6.0,97.22,multiple_choice,numeric_or_unit,wide_diagram
math\scemqa_math,math_puzzle_logic,数学谜题与逻辑推理,20,10.58,29.0,23.25,47.25,5.5,6.553,0.351,2.5,50.0,multiple_choice,long_text,
math\scemqa_math,coordinate_geometry_transform,坐标几何与变换,12,6.35,19.0,18.75,22.5,4.0,7.143,0.347,6.0,100.0,multiple_choice,formula_latex,wide_diagram
math\scemqa_math,counting_probability_combinatorics,计数、概率与组合,11,5.82,66.0,31.0,69.0,1.0,8.629,0.415,6.0,81.82,multiple_choice,numeric_or_unit,wide_diagram
math\scemqa_math,geometry_angle_chasing,几何角度追踪,10,5.29,38.5,36.0,40.5,1.0,7.336,0.392,3.5,70.0,multiple_choice,numeric_or_unit,chart_like
math\scemqa_math,measurement_time_units,时间、单位与度量,4,2.12,43.0,33.5,52.25,15.0,8.531,0.405,6.0,100.0,multiple_choice,multi_part_text,chart_like
math\scemqa_math,data_table_statistics,数据表与统计推断,2,1.06,14.0,14.0,14.0,10.0,6.554,0.302,6.0,100.0,multiple_choice,long_text,chart_like
math\scemqa_math,visual_spatial_puzzle,视觉空间与拼图推理,2,1.06,66.5,65.75,67.25,21.0,8.814,0.41,6.0,100.0,multiple_choice,long_text,chart_like
