dataset,final_category,final_category_zh,count,share_pct,question_len_median,question_len_p25,question_len_p75,answer_len_median,complexity_median,multi_step_median,visual_entity_median,requires_image_pct,top_question_type,top_answer_shape,top_visual_kind
math\geoqa_plus,geometry_angle_chasing,几何角度追踪,1435,51.88,34.0,25.0,46.0,4.0,7.899,0.338,6.0,99.79,multiple_choice,formula_latex,geometry_diagram
math\geoqa_plus,geometry_length_area_volume,几何长度、面积与体积,633,22.89,40.0,30.0,55.0,1.0,8.008,0.347,6.0,100.0,open,numeric_or_unit,generic_visual
math\geoqa_plus,math_puzzle_logic,数学谜题与逻辑推理,290,10.48,32.0,23.0,45.0,1.0,7.789,0.347,6.0,100.0,open,numeric_or_unit,wide_diagram
math\geoqa_plus,visual_spatial_puzzle,视觉空间与拼图推理,80,2.89,32.0,26.0,43.5,1.0,7.807,0.347,6.0,100.0,open,numeric_or_unit,wide_diagram
math\geoqa_plus,number_theory_arithmetic,数论与算术,63,2.28,38.0,28.0,46.0,1.0,7.984,0.383,6.0,100.0,open,numeric_or_unit,generic_visual
math\geoqa_plus,counting_probability_combinatorics,计数、概率与组合,60,2.17,45.0,32.75,65.25,1.0,8.281,0.365,6.0,100.0,open,numeric_or_unit,generic_visual
math\geoqa_plus,coordinate_geometry_transform,坐标几何与变换,59,2.13,37.0,26.5,48.5,1.0,7.861,0.347,6.0,100.0,open,numeric_or_unit,wide_diagram
math\geoqa_plus,measurement_time_units,时间、单位与度量,48,1.74,44.0,32.75,56.0,1.0,8.445,0.369,6.0,100.0,open,numeric_or_unit,wide_diagram
math\geoqa_plus,sequence_pattern_logic,序列、规律与逻辑,36,1.3,44.5,28.75,54.25,1.0,8.119,0.372,6.0,100.0,open,numeric_or_unit,wide_diagram
math\geoqa_plus,statistics_data_analysis,统计与数据分析,33,1.19,44.0,38.0,55.0,1.0,8.471,0.392,6.0,100.0,open,numeric_or_unit,generic_visual
math\geoqa_plus,algebra_equation_inequality,代数方程与不等式,12,0.43,26.0,20.0,40.25,1.0,7.333,0.392,5.5,100.0,open,numeric_or_unit,chart_like
math\geoqa_plus,data_table_statistics,数据表与统计推断,10,0.36,42.5,34.5,52.75,1.0,8.056,0.347,6.0,100.0,open,numeric_or_unit,chart_like
math\geoqa_plus,ratio_rate_application,比例、配方与应用题,5,0.18,44.0,39.0,46.0,1.0,7.532,0.347,6.0,100.0,open,numeric_or_unit,wide_diagram
math\geoqa_plus,linear_programming_constraints,线性规划与约束最值,2,0.07,38.0,33.0,43.0,31.0,7.427,0.324,4.0,100.0,open,numeric_or_unit,wide_diagram
