dataset,sample_count,category_count,top_category,top_category_zh,top_category_share_pct,directory
biology\ai2d_biology,1315,8,cell_molecular_genetics,细胞、分子与遗传,43.65,final_taxonomy_package\biology__ai2d_biology
biology\scemqa_biology,64,8,cell_molecular_genetics,细胞、分子与遗传,43.75,final_taxonomy_package\biology__scemqa_biology
biology\sciverse_biology,219,9,cell_molecular_genetics,细胞、分子与遗传,57.53,final_taxonomy_package\biology__sciverse_biology
chemistry\emma_chemistry,864,3,transition_state_smiles_selection,过渡态结构与 SMILES 选择,97.92,final_taxonomy_package\chemistry__emma_chemistry
chemistry\scemqa_chemistry,111,10,stoichiometry_reaction_calculation,化学计量与反应计算,28.83,final_taxonomy_package\chemistry__scemqa_chemistry
chemistry\sciverse_chemistry,247,11,stoichiometry_reaction_calculation,化学计量与反应计算,24.7,final_taxonomy_package\chemistry__sciverse_chemistry
circuit\eee_bench,2023,12,dc_ac_network_analysis,直流/交流电路网络分析,34.85,final_taxonomy_package\circuit__eee_bench
geography\ai2d_geography,298,8,earth_sun_moon_space,地球、太阳与月相,39.6,final_taxonomy_package\geography__ai2d_geography
geography\geosqa,1757,9,climate_weather_seasons,气候、天气与季节,21.17,final_taxonomy_package\geography__geosqa
math\cmm_math,142,5,linear_programming_constraints,线性规划与约束最值,38.03,final_taxonomy_package\math__cmm_math
math\geometry3k,879,11,angle_chasing,几何角度追踪,56.88,final_taxonomy_package\math__geometry3k
math\geoqa_plus,2766,14,geometry_angle_chasing,几何角度追踪,51.88,final_taxonomy_package\math__geoqa_plus
math\mathvision,1879,11,geometry_angle_chasing,几何角度追踪,48.32,final_taxonomy_package\math__mathvision
math\mm_math,4229,8,geometry_angle_chasing,几何角度追踪,83.0,final_taxonomy_package\math__mm_math
math\scemqa_math,189,10,algebra_equation_inequality,代数方程与不等式,25.4,final_taxonomy_package\math__scemqa_math
physics\emma_physics,266,7,mechanics_kinematics_dynamics,力学、运动学与动力学,62.03,final_taxonomy_package\physics__emma_physics
physics\multi_physics,525,9,mechanics_kinematics_dynamics,力学、运动学与动力学,54.86,final_taxonomy_package\physics__multi_physics
physics\physreason,905,6,mechanics_kinematics_dynamics,力学、运动学与动力学,87.07,final_taxonomy_package\physics__physreason
physics\phyx,1139,11,mechanics_kinematics_dynamics,力学、运动学与动力学,44.42,final_taxonomy_package\physics__phyx
physics\sciverse_physics,239,8,mechanics_kinematics_dynamics,力学、运动学与动力学,61.09,final_taxonomy_package\physics__sciverse_physics
physics\seephys,1499,9,mechanics_kinematics_dynamics,力学、运动学与动力学,51.17,final_taxonomy_package\physics__seephys
