dataset,canonical_sample_id,sample_file,source_problem_id,final_category,final_category_zh,question,question_zh,translation_status,answer,question_units,complexity_index,multi_step_score,visual_kinds
physics\emma_physics,emmaphysics00000,emmaphysics00000.json,77,mechanics_kinematics_dynamics,力学、运动学与动力学,"A block (B) is attached to two unstretched springs S1 and S2 with spring constants $k$ and $4k$, respectively (see figure I). The other ends are attached to identical supports M1 and M2 not attached to the walls. The springs and supports have negligible mass. There is no friction anywhere. The block B is displaced towards wall 1 by a small distance $x$ (figure II) and released. The block returns and moves a maximum distance $y$ towards wall 2. Displacements $x$ and $y$ are measured with respe...",,not_translated_in_full_list,$\frac{1}{2}$,106,10.2497,0.4907,wide_diagram
physics\emma_physics,emmaphysics00001,emmaphysics00001.json,46,mechanics_kinematics_dynamics,力学、运动学与动力学,"A tesseract is a 4 dimensional example of cube. It can be drawn in 3 dimensions by drawing two cubes and connecting their vertices together, as shown in the figure. Now for the 3D equivalent. The lines connecting the vertices are replaced with ideal springs of constant $k=10 \mathrm{~N} / \mathrm{m}$ (in blue in the figure). Suppose the setup is placed in zero-gravity and the outer cube is fixed in place with a side length of $b=2 \mathrm{~m}$. The geometric center of the inner cube is placed...",,not_translated_in_full_list,2.35,163,12.5171,0.5897,generic_visual
physics\emma_physics,emmaphysics00002,emmaphysics00002.json,38,mechanics_kinematics_dynamics,力学、运动学与动力学,"A uniform bar of length $l$ and mass $m$ is connected to a very long thread of negligible mass suspended from a ceiling. It is then rotated such that it is vertically upside down and then released. Initially, the rod is in unstable equilibrium. As it falls down, the minimum tension acting on the thread over the rod's entire motion is given by $\alpha m g$. Determine $\alpha$.",,not_translated_in_full_list,0.165,68,8.7416,0.3917,generic_visual
physics\emma_physics,emmaphysics00003,emmaphysics00003.json,80,physics_other,物理综合题,"In an aluminum (Al) bar of square cross section, a square hole is drilled and is filled with iron (Fe) as shown in the figure. The electrical resistivities of Al and Fe are $2.7 \times 10^{-8}$ $\Omega$ m and $1.0 \times 10^{-7}$ $\Omega$ m, respectively. The electrical resistance between the two faces P and Q of the composite bar is",,not_translated_in_full_list,$\frac{1875}{64}$ $\mu\Omega$,62,8.6949,0.4187,wide_diagram
physics\emma_physics,emmaphysics00004,emmaphysics00004.json,87,physics_other,物理综合题,"A light beam is traveling from Region I to Region IV (refer figure). The refractive index in Regions I, II, III and IV are $n_0$, $\frac{n_0}{2}$, $\frac{n_0}{6}$ and $\frac{n_0}{8}$, respectively. The angle of incidence $\theta$ for which the beam just misses entering Region IV is",,not_translated_in_full_list,$\sin^{-1}(\frac{1}{8})$,55,8.8759,0.4097,geometry_diagram
physics\emma_physics,emmaphysics00005,emmaphysics00005.json,30,mechanics_kinematics_dynamics,力学、运动学与动力学,"A simple crane is shown in the diagram, consisted of light rods with length $1 \mathrm{~m}$ and $\sqrt{2} \mathrm{~m}$. The end of the crane is supporting a $5 \mathrm{kN}$ object. Point $B$ is known as a ""pin."" It is attached to the main body and can exert both a vertical and horizontal force. Point $A$ is known as a ""roller"" and can only exert vertical forces. Rods can only be in pure compression or pure tension. In $\mathrm{kN}$, what is the force experienced by the rod $CD$? Express a pos...",,not_translated_in_full_list,10,111,9.5305,0.5267,geometry_diagram
physics\emma_physics,emmaphysics00006,emmaphysics00006.json,8,mechanics_kinematics_dynamics,力学、运动学与动力学,"A uniform bar of mass $M$ and length $L$ has three notches along the bottom. The center notch is at the center of mass of the bar, and the other two notches are a distance of $\frac{L}{12}$ on either side of the center notch. The bar is placed on a fulcrum as shown. A mass $M$, equal to the mass of the bar itself, is hung a distance $\frac{L}{4}$ from the right edge of the bar. When an unknown mass $M'$ is hung a distance $\frac{L}{4}$ from the left edge of the bar, the system remains in stat...",,not_translated_in_full_list,M' = 2.5M,114,10.3015,0.4817,wide_diagram
physics\emma_physics,emmaphysics00007,emmaphysics00007.json,10,electromagnetism_circuits,电磁学与物理电路,"A positive charge, $Q$, is located at the origin. We can introduce a new positive charge, $q$ (where $q \neq Q$), anywhere in the region. Let's consider the strength of the electric field, $|\mathbf{E}|$, at $(2, 0)$. Choose the correct statement about $|\mathbf{E}|$:",,not_translated_in_full_list,$|\mathbf{E}|$ may increase or decrease depending on the position of $q$.,45,7.8368,0.3377,generic_visual
physics\emma_physics,emmaphysics00008,emmaphysics00008.json,11,mechanics_kinematics_dynamics,力学、运动学与动力学,"A uniform magnetic field of magnitude $0.50 \, \mathrm{T}$ lies on the $x$-$y$ plane making a $60^\circ$ angle with the $x$-axis. When a $1.2 \, \mu\mathrm{C}$ point charge moves in the $+y$ direction, it experiences a force of magnitude $3.0 \, \mu\mathrm{N}$. What is the speed of the charged particle?",,not_translated_in_full_list,"\( 10 \, \mathrm{m/s} \)",55,7.1741,0.4277,
physics\emma_physics,emmaphysics00009,emmaphysics00009.json,56,mechanics_kinematics_dynamics,力学、运动学与动力学,"The logo of OPhO describes two objects travelling around their center-of-mass, following the same oval-shape trajectory. For simplicity, we assume these objects are point-like, have identical mass, and interact via an interacting potential $U(d)$ that depends on the distance $d$ between them. Choose the polar coordinates $(r, \theta)$ as shown in the figure, where the origin is located at the center of the logo. The shared trajectory obeys the equation: $$ r(\theta)=\frac{L}{2}[1-\epsilon \co...",,not_translated_in_full_list,-0.6864,139,10.7218,0.6617,geometry_diagram
