dataset,canonical_sample_id,sample_file,source_problem_id,final_category,final_category_zh,question,question_zh,translation_status,answer,question_units,complexity_index,multi_step_score,visual_kinds
chemistry\emma_chemistry,emmachemistry00000,emmachemistry00000.json,678,transition_state_smiles_selection,过渡态结构与 SMILES 选择,"Please choose the SMILES expression of the transition-state structure shown in the image, ignoring the arrows.",,not_translated_in_full_list,*C(*)(C#N)NC(=O)O,17,6.4033,0.2657,generic_visual
chemistry\emma_chemistry,emmachemistry00001,emmachemistry00001.json,456,transition_state_smiles_selection,过渡态结构与 SMILES 选择,"In the transition-state structure shown in the image, calculate the total number of bonds in the structure, including single, double, and triple bonds but excluding those involving hydrogen. Note: Disregard arrows. Consider all components present in the transition-state structure shown in the image.",,not_translated_in_full_list,14,45,8.0639,0.3697,generic_visual
chemistry\emma_chemistry,emmachemistry00002,emmachemistry00002.json,360,transition_state_smiles_selection,过渡态结构与 SMILES 选择,"In the transition-state structure shown in the image, calculate the total number of bonds in the structure, including single, double, and triple bonds but excluding those involving hydrogen. Note: Disregard arrows. Consider all components present in the transition-state structure.",,not_translated_in_full_list,20,41,7.9759,0.3697,generic_visual
chemistry\emma_chemistry,emmachemistry00003,emmachemistry00003.json,642,transition_state_smiles_selection,过渡态结构与 SMILES 选择,"Please choose the SMILES expression of the transition-state structure shown in the image, ignoring the arrows.",,not_translated_in_full_list,CCOC(=O)CC(C)=[OH+],17,6.2372,0.2657,generic_visual
chemistry\emma_chemistry,emmachemistry00004,emmachemistry00004.json,996,transition_state_smiles_selection,过渡态结构与 SMILES 选择,"Please choose the SMILES expression of the transition-state structure shown in the image, ignoring the arrows. <image_1>",,not_translated_in_full_list,*CCO[P+](CCCC)(CCCC)CCC,19,6.8307,0.3107,generic_visual
chemistry\emma_chemistry,emmachemistry00005,emmachemistry00005.json,1012,transition_state_smiles_selection,过渡态结构与 SMILES 选择,"Please choose the SMILES expression of the transition-state structure shown in the image, ignoring the arrows. <image_1>",,not_translated_in_full_list,*C(=O)[PdH],19,7.0593,0.3107,generic_visual
chemistry\emma_chemistry,emmachemistry00006,emmachemistry00006.json,994,transition_state_smiles_selection,过渡态结构与 SMILES 选择,"Please choose the SMILES expression of the transition-state structure shown in the image, ignoring the arrows. <image_1>",,not_translated_in_full_list,C=C(C)C(C),19,6.8267,0.3107,generic_visual
chemistry\emma_chemistry,emmachemistry00007,emmachemistry00007.json,1050,transition_state_smiles_selection,过渡态结构与 SMILES 选择,"Please choose the SMILES expression of the transition-state structure shown in the image, ignoring the arrows. <image_1>",,not_translated_in_full_list,CC(=O)[O-].CC1(C)[I+]C1(C)C,19,6.5957,0.3107,generic_visual
chemistry\emma_chemistry,emmachemistry00008,emmachemistry00008.json,133,chemistry_other,化学综合题,"Isomers of hexane, based on their branching, can be divided into three distinct classes as shown in the figure. What is the correct order of their boiling points?",,not_translated_in_full_list,III > II > I,28,7.2496,0.3467,geometry_diagram
chemistry\emma_chemistry,emmachemistry00009,emmachemistry00009.json,555,transition_state_smiles_selection,过渡态结构与 SMILES 选择,"In the transition-state structure shown in the image, calculate the total number of bonds in the structure, including single, double, and triple bonds but excluding those involving hydrogen. Disregard arrows. Consider all components present in the transition-state structure shown in the image.",,not_translated_in_full_list,13,44,8.2024,0.3697,generic_visual
