dataset,final_category,final_category_zh,canonical_sample_id,sample_file,source_problem_id,question,question_zh,translation_status,answer,question_units,complexity_index
physics\phyx,mechanics_kinematics_dynamics,力学、运动学与动力学,phyx00752,phyx00752.json,1347,The heat engine shown in figure uses 2.0 $\text{mol}$ of a monatomic gas as the working substance. What is the engine's thermal efficiency?,图示热机以 2.0 mol 单原子气体为工质。该热机的热效率是多少？,human_curated_zh,0.059,24,6.8687
physics\phyx,waves_optics_sound,波动、光学与声学,phyx00654,phyx00654.json,620,Find the focal length of the planoconvex polystyrene plastic lens in Figure Find the focal length of the planoconvex polystyrene plastic lens in Figure,求图中平凸聚苯乙烯塑料透镜的焦距。,human_curated_zh,68cm,24,6.6624
physics\phyx,thermo_fluids_gases,热学、流体与气体,phyx00710,phyx00710.json,1335,How much heat is exhausted to the cold reservoir by the heat engine shown in the figure operating in a closed $p$-$V$ cycle?,图示热机在闭合的 $p$-$V$ 循环中运行时，向冷源排出多少热量？,human_curated_zh,285 J,24,6.5677
physics\phyx,electromagnetism_circuits,电磁学与物理电路,phyx00821,phyx00821.json,580,"The area of the conducting loop in the field is $120 \, cm^2$. Find the induced emf and the induced current in the circuit.","磁场中导电回路的面积为 $120\,cm^2$。求电路中的感应电动势和感应电流。",human_curated_zh,0.24mV,24,7.3442
physics\phyx,physics_conceptual_judgement,物理概念判断,phyx00428,phyx00428.json,687,What is the electric potential at the point indicated with the dot? What is the electric potential at the point indicated with the dot?,图中圆点所示位置的电势是多少？,human_curated_zh,1800V,24,7.1659
physics\phyx,graph_data_interpretation,物理图像与数据解读,phyx00755,phyx00755.json,697,The figure is a graph of \( E_{x} \). What is the potential difference between \( x_{i} = 1.0 \ \mathrm{m} \) and \( x_{f} = 3.0 \ \mathrm{m} \)?,"图中是 $E_x$ 的图像。$x_i=1.0\,\mathrm{m}$ 与 $x_f=3.0\,\mathrm{m}$ 之间的电势差是多少？",human_curated_zh,200V,25,6.9907
physics\phyx,modern_quantum_nuclear_relativity,近代物理、量子与相对论,phyx00423,phyx00423.json,235,A hypothetical atom is shown in figure. What is the highest frequencies of the spectral lines this atom can emit when excited?,图中显示了一个假想原子。该原子受激后能够发射的谱线最高频率是多少？,human_curated_zh,\( 7.25 \times 10^{14} \),22,7.2436
physics\phyx,physical_circuit_application,物理电路应用,phyx00029,phyx00029.json,152,Analyze the RL circuit shown in the figure. What is \( V_\text{R} \) in the limit \( \omega \to 0 \)?,分析图示 RL 电路。当 $\omega \to 0$ 时，$V_\text{R}$ 的极限是多少？,human_curated_zh,\( V_\text{R} \to \mathcal{E}_0 \),19,7.1461
physics\phyx,astronomy_gravity_orbits,天体引力与轨道,phyx01042,phyx01042.json,766,"A student on Planet Exidor throws a ball, and it follows the parabolic trajectory shown in figure. What was the ball’s launch angle?",Exidor 星球上的一名学生抛出一个球，球沿图示抛物线轨迹运动。该球的发射角是多少？,human_curated_zh,63^\circ,24,6.8636
physics\phyx,thermal_engine_refrigeration,热机、制冷与能效,phyx00835,phyx00835.json,1337,What is the coefficient of performance for the refrigerator shown in the figure?,图示冰箱的性能系数是多少？,human_curated_zh,1.6,13,6.0376
physics\phyx,advanced_mechanics,高级力学与振动,phyx00822,phyx00822.json,1032,"As shown in the figure, find the time period.",如图所示，求振动周期。,human_curated_zh,2\pi \sqrt{\frac{m}{k_1 + k_2}},9,5.9261
