dataset,canonical_sample_id,sample_file,source_problem_id,final_category,final_category_zh,question,question_zh,translation_status,answer,question_units,complexity_index,multi_step_score,visual_kinds
physics\sciverse_physics,sciversephysics00000,sciversephysics00000.json,48,electromagnetism_circuits,电磁学与物理电路,"已构建如图所示的电路,电压源为12 V的理想电池。假设电池在完全放电前能持续供电15min,在此期间电池电压保持恒定为12V,放电后电压瞬间降为0V。求该电路的等效电阻。","已构建如图所示的电路,电压源为12 V的理想电池。假设电池在完全放电前能持续供电15min,在此期间电池电压保持恒定为12V,放电后电压瞬间降为0V。求该电路的等效电阻。",original_zh,44,73,8.0246,0.3017,generic_visual
physics\sciverse_physics,sciversephysics00001,sciversephysics00001.json,755,mechanics_kinematics_dynamics,力学、运动学与动力学,"一根直径为 $D$ 的管道分裂为两根相同直径 $d$ 的小管道。若小管道中水流速度为 $v$,则大管道中水流速度为多少? A. $\frac{dv}{d}$ B. $\frac{2dv}{d}$ C. $\frac{d^2v}{d^2}$ D. $\frac{2d^2v}{D^2}$","一根直径为 $D$ 的管道分裂为两根相同直径 $d$ 的小管道。若小管道中水流速度为 $v$,则大管道中水流速度为多少?

A. $\frac{dv}{d}$
B. $\frac{2dv}{d}$
C. $\frac{d^2v}{d^2}$
D. $\frac{2d^2v}{D^2}$",original_zh,$\\frac{2d^2v}{D^2}$,70,9.3201,0.4277,wide_diagram
physics\sciverse_physics,sciversephysics00002,sciversephysics00002.json,706,mechanics_kinematics_dynamics,力学、运动学与动力学,"上图描述了跳伞运动员在垂直下降过程中速度随时间的变化。以下哪项陈述正确描述了跳伞运动员所受的净力? A. 净力增加,直至加速度达到最大值,速度保持恒定。 B. 净力减小,直至加速度为零,速度保持恒定。 C. 在跳伞运动员自由下落过程中,净力为零。 D. 净力增加,直至加速度为零,速度保持恒定。","上图描述了跳伞运动员在垂直下降过程中速度随时间的变化。以下哪项陈述正确描述了跳伞运动员所受的净力?

A. 净力增加,直至加速度达到最大值,速度保持恒定。
B. 净力减小,直至加速度为零,速度保持恒定。
C. 在跳伞运动员自由下落过程中,净力为零。
D. 净力增加,直至加速度为零,速度保持恒定。",original_zh,It decreases until the acceleration reaches zero and the velocity becomes constant,122,7.6801,0.2567,generic_visual
physics\sciverse_physics,sciversephysics00003,sciversephysics00003.json,998,mechanics_kinematics_dynamics,力学、运动学与动力学,"如图所示,一个质量为 $M=16\,\mathrm{kg}$ 的实心滑轮,半径为 $R$。一根细绳绕在滑轮上,一端挂一质量为 $m=8\,\mathrm{kg}$ 的物体。假设滑轮可以忽略转动摩擦力,求绳子的张力为多少N?","如图所示,一个质量为 $M=16\,\mathrm{kg}$ 的实心滑轮,半径为 $R$。一根细绳绕在滑轮上,一端挂一质量为 $m=8\,\mathrm{kg}$ 的物体。假设滑轮可以忽略转动摩擦力,求绳子的张力为多少N?",original_zh,40,68,7.5787,0.2747,generic_visual
physics\sciverse_physics,sciversephysics00004,sciversephysics00004.json,666,physics_other,物理综合题,"如图所示,四根相同的杆受力。请对作用在左端铰链处的扭矩大小进行排序。 \begin{align*} \mathrm{A.}\quad& \mathrm{III} > \mathrm{I} = \mathrm{IV} > \mathrm{II}\\ \mathrm{B.}\quad& \mathrm{II} > \mathrm{IV} > \mathrm{III} > \mathrm{I}\\ \mathrm{C.}\quad& \mathrm{I} = \mathrm{III} = \mathrm{IV} > \mathrm{II}\\ \mathrm{D.}\quad& \mathrm{III} > \mathrm{II} > \mathrm{I} = \mathrm{IV} \end{align*}","如图所示,四根相同的杆受力。请对作用在左端铰链处的扭矩大小进行排序。

\begin{align*}
\mathrm{A.}\quad& \mathrm{III} > \mathrm{I} = \mathrm{IV} > \mathrm{II}\\
\mathrm{B.}\quad& \mathrm{II} > \mathrm{IV} > \mathrm{III} > \mathrm{I}\\
\mathrm{C.}\quad& \mathrm{I} = \mathrm{III} = \mathrm{IV} > \mathrm{II}\\
\mathrm{D.}\quad& \mathrm{III} > \mathrm{II} > \mathrm{I} = \mathrm{IV}
\end{align*}",original_zh,I = III = IV > II,79,9.7125,0.4907,wide_diagram
physics\sciverse_physics,sciversephysics00005,sciversephysics00005.json,585,mechanics_kinematics_dynamics,力学、运动学与动力学,"如图所示,三个质量相等的物体(a,b和c)最初在枢轴上水平静止。物体a是一个长40cm的均匀杆,其质心距左端点10cm。物体b由两个通过极细杆连接的重块组成,总长40cm,质心距左端点10cm。物体c由两个重块通过极细杆连接而成,总长50cm,质心距左端点20cm。释放后,对物体a、b、c枢轴点处的角加速度大小关系是: A. $a=b>c$ B. $a>b=c$ C. $a<b<c$ D. $a>b>c$","如图所示,三个质量相等的物体(a,b和c)最初在枢轴上水平静止。物体a是一个长40cm的均匀杆,其质心距左端点10cm。物体b由两个通过极细杆连接的重块组成,总长40cm,质心距左端点10cm。物体c由两个重块通过极细杆连接而成,总长50cm,质心距左端点20cm。释放后,对物体a、b、c枢轴点处的角加速度大小关系是:

A. $a=b>c$
B. $a>b=c$
C. $a<b<c$
D. $a>b>c$",original_zh,A > B > C,147,10.0525,0.4277,generic_visual
physics\sciverse_physics,sciversephysics00006,sciversephysics00006.json,610,mechanics_kinematics_dynamics,力学、运动学与动力学,"一个弹簧块系统在水平表面上振荡,不存在摩擦力。当弹簧处于最大压缩状态时,将第二个质量相等的块放置在原始块的顶部。假设顶部块停留在底部块上,以下哪些量不会受到影响? A. 振动频率 B. 最大速度 C. 振幅 D. 以上所有量都会受到影响","一个弹簧块系统在水平表面上振荡,不存在摩擦力。当弹簧处于最大压缩状态时,将第二个质量相等的块放置在原始块的顶部。假设顶部块停留在底部块上,以下哪些量不会受到影响?

A. 振动频率
B. 最大速度
C. 振幅
D. 以上所有量都会受到影响",original_zh,Amplitude,100,7.7141,0.2567,wide_diagram
physics\sciverse_physics,sciversephysics00007,sciversephysics00007.json,659,mechanics_kinematics_dynamics,力学、运动学与动力学,"上图描述了介质的瞬时位移 $y$ 随距离 $x$ 的变化关系,这是由波引起的平衡。如果波的速度为 $600\ \mathrm{m/s}$,则以下哪个是波浪频率 $f$ 的最佳近似值? A. $50\ \mathrm{Hz}$ B. $100\ \mathrm{Hz}$ C. $200\ \mathrm{Hz}$ D. 无法根据给定信息确定","上图描述了介质的瞬时位移 $y$ 随距离 $x$ 的变化关系,这是由波引起的平衡。如果波的速度为 $600\ \mathrm{m/s}$,则以下哪个是波浪频率 $f$ 的最佳近似值?

A. $50\ \mathrm{Hz}$
B. $100\ \mathrm{Hz}$ 
C. $200\ \mathrm{Hz}$
D. 无法根据给定信息确定",original_zh,100Hz,82,9.2095,0.4007,wide_diagram
physics\sciverse_physics,sciversephysics00008,sciversephysics00008.json,612,physics_other,物理综合题,"对于一个来回摆动的单摆系统,它受到两种力的影响:弦上的重力分力和张力。如图所示,重力可分解为$Mg\sin\theta$的恢复力分量和$Mg\cos\theta$的切向分量。以下哪项正确描述了弦上的张力$T$与$Mg\cos\theta$之间的关系? A. $T > Mg\cos\theta$ B. $T = Mg\cos\theta$ C. $T < Mg\cos\theta$ D. 关系取决于单摆的位置","对于一个来回摆动的单摆系统,它受到两种力的影响:弦上的重力分力和张力。如图所示,重力可分解为$Mg\sin\theta$的恢复力分量和$Mg\cos\theta$的切向分量。以下哪项正确描述了弦上的张力$T$与$Mg\cos\theta$之间的关系?

A. $T > Mg\cos\theta$
B. $T = Mg\cos\theta$
C. $T < Mg\cos\theta$
D. 关系取决于单摆的位置",original_zh,The relationship depends on the position of the ball,110,8.5355,0.3107,generic_visual
physics\sciverse_physics,sciversephysics00009,sciversephysics00009.json,594,mechanics_kinematics_dynamics,力学、运动学与动力学,"两个相等质量(100g)的金属球以距离 $d$ 隔开。在状态 1 中,左球的电荷为 $+20 \mu\mathrm{C}$,右球的电荷为 $-20 \mu\mathrm{C}$。在状态 2 中,两个球的电荷均为 $-40 \mu\mathrm{C}$。 一名实验者声称,他将球从状态 1 转移到状态 2,而不会导致它们与彼此以外的任何物体接触。以下哪个陈述为此主张的合理性提供了正确的证据? A. 该主张是不合理的,因为状态 2 中两球系统的净电荷与状态 1 中的净电荷不同。 B. 该主张是不合理的,因为状态 2 中每个球的电荷相同。 C. 该主张是合理的,因为在两个状态下,每个球都具有与另一个球相同的电荷。 D. 该主张是合理的,因为状态 1 中的正电荷可能已被可用的负电荷中和。","两个相等质量(100g)的金属球以距离 $d$ 隔开。在状态 1 中,左球的电荷为 $+20 \mu\mathrm{C}$,右球的电荷为 $-20 \mu\mathrm{C}$。在状态 2 中,两个球的电荷均为 $-40 \mu\mathrm{C}$。

一名实验者声称,他将球从状态 1 转移到状态 2,而不会导致它们与彼此以外的任何物体接触。以下哪个陈述为此主张的合理性提供了正确的证据?

A. 该主张是不合理的,因为状态 2 中两球系统的净电荷与状态 1 中的净电荷不同。
B. 该主张是不合理的,因为状态 2 中每个球的电荷相同。
C. 该主张是合理的,因为在两个状态下,每个球都具有与另一个球相同的电荷。
D. 该主张是合理的,因为状态 1 中的正电荷可能已被可用的负电荷中和。",original_zh,"The claim is not reasonable, because there was more net charge in the two-ball system in state 2 than in state 1",240,11.0312,0.4817,wide_diagram
