dataset,final_category,final_category_zh,canonical_sample_id,sample_file,source_problem_id,question,question_zh,translation_status,answer,question_units,complexity_index
math\geoqa_plus,geometry_angle_chasing,几何角度追踪,geoqaplus00773,geoqaplus00773.json,1013,"A square $ABCD$ and two semicircles with diameters $AB$ and $AD$ are drawn. If $AB=2$, what is the area of the shaded region?",画出正方形 $ABCD$，并以 $AB$ 和 $AD$ 为直径画两个半圆。若 $AB=2$，阴影部分面积是多少？,human_curated_zh,8,24,6.9859
math\geoqa_plus,geometry_length_area_volume,几何长度、面积与体积,geoqaplus01841,geoqaplus01841.json,99,Marco's father took a picture of his son in front of the car shown beside. Which of the drawings below could represent this picture?,Marco 的父亲拍了一张他站在旁边汽车前的照片。下列哪幅图可能表示这张照片？,human_curated_zh,E,24,6.7414
math\geoqa_plus,math_puzzle_logic,数学谜题与逻辑推理,geoqaplus01630,geoqaplus01630.json,2540,Each corner of a rectangular prism is cut off. Two (of the eight) cuts are shown. How many edges does the new figure have?,一个长方体的每个顶点都被切去。图中显示了八个切口中的两个。新图形有多少条边？,human_curated_zh,36,24,6.8237
math\geoqa_plus,visual_spatial_puzzle,视觉空间与拼图推理,geoqaplus00673,geoqaplus00673.json,399,The construction in the picture is built of cubes of the same size and weighs 189 grams. How many grams does one cube weigh?,图中的建筑由同样大小的立方体搭成，重 189 克。每个立方体重多少克？,human_curated_zh,21,24,7.2472
math\geoqa_plus,number_theory_arithmetic,数论与算术,geoqaplus01088,geoqaplus01088.json,830,"In the addition sum to the right, three digits have been replaced with stars. How big is the sum of the three missing digits?",右侧加法算式中有三个数字被星号替代。三个缺失数字之和是多少？,human_curated_zh,0,24,6.7672
math\geoqa_plus,counting_probability_combinatorics,计数、概率与组合,geoqaplus01147,geoqaplus01147.json,1832,The diagram shows two ordinary dice. What is the total number of spots on all the faces that cannot be seen in the diagram?,图中显示了两个普通骰子。图中看不见的所有面上的点数总和是多少？,human_curated_zh,27,24,7.414
math\geoqa_plus,coordinate_geometry_transform,坐标几何与变换,geoqaplus01715,geoqaplus01715.json,2658,Tess runs counterclockwise around rectangular block JKLM. She lives at corner J. Which graph could represent her straight-line distance from home? <image1>,Tess 沿长方形街区 JKLM 逆时针跑步。她住在角 J。哪一幅图能表示她到家的直线距离？<image1>,human_curated_zh,<image5>,24,6.8826
math\geoqa_plus,measurement_time_units,时间、单位与度量,geoqaplus01062,geoqaplus01062.json,1862,The scatter graph shows the distance run and time taken by five students during a training session. Who ran with the fastest average speed?,散点图显示五名学生在训练中的跑步距离和用时。谁的平均速度最快？,human_curated_zh,Dani,24,7.2065
math\geoqa_plus,sequence_pattern_logic,序列、规律与逻辑,geoqaplus00993,geoqaplus00993.json,486,"Sylvia draws patterns with hexagons as shown. If she carries on drawing in this way, how many hexagons will there be in the fifth pattern?",Sylvia 按图示用六边形画图案。如果她继续这样画，第五个图案会有多少个六边形？,human_curated_zh,61,25,6.9329
math\geoqa_plus,statistics_data_analysis,统计与数据分析,geoqaplus00369,geoqaplus00369.json,279,The following table is the multiplication table of the numbers 1 to 10. What is the sum of all 100 products in the complete table?,下表是 1 到 10 的乘法表。完整表格中 100 个乘积的总和是多少？,human_curated_zh,3025,25,7.5363
math\geoqa_plus,algebra_equation_inequality,代数方程与不等式,geoqaplus01884,geoqaplus01884.json,220,Question: The adjacent diagram illustrates the graphs of the two functions f and g. How can we describe the relationship between f and g?,题目：旁边的图显示了两个函数 f 和 g 的图像。我们如何描述 f 与 g 的关系？,human_curated_zh,$g(x-2)=-f(x)$,24,7.0452
math\geoqa_plus,data_table_statistics,数据表与统计推断,geoqaplus01889,geoqaplus01889.json,170,"The set of all pairs $(x, y)$ which satisfy conditions $x y \leqslant 0$ and $x^{2}+y^{2}=4$ is on the graph: <image1>","满足条件 $xy \leqslant 0$ 且 $x^{2}+y^{2}=4$ 的所有点 $(x,y)$ 位于哪张图上？<image1>",human_curated_zh,C,26,7.0073
math\geoqa_plus,ratio_rate_application,比例、配方与应用题,geoqaplus00714,geoqaplus00714.json,728,"Six numbers are written on the following cards, as shown: <image1> What is the largest number you can form with the given cards?",如下图所示，六张卡片上写着六个数字。用这些卡片能组成的最大数是多少？<image1>,human_curated_zh,7685413092,24,7.3964
math\geoqa_plus,linear_programming_constraints,线性规划与约束最值,geoqaplus02536,geoqaplus02536.json,3624,如图，在△ABC中，有一点P在BC边上移动，若AB＝AC＝5，BC＝6，则AP的最小值为（）,如图，在 △ABC 中，点 P 在 BC 边上移动。若 AB＝AC＝5，BC＝6，则 AP 的最小值是多少？,human_curated_zh,如图，P在BC上运动时，由垂线段最短知，当AP⊥BC时，AP最短，作AM⊥BC，∵AB＝BC，∴BM＝MC＝0.5×BC＝3，在Rt△ABM中，BM2+AM2＝AB2，即32+AM2＝52，∴AM＝4，即AP的最小值为4。故选：C。,28,6.872
