solution_category,count,dataset_path,dataset_key,canonical_sample_id,sample_file,source_problem_id,question_units,answer_units,question_type,answer_shape,requires_image,complexity_index,question,answer
acid_base_solution,31,chemistry\sciverse_chemistry,sciverse_chemistry,sciversechemistry00195,sciversechemistry00195.json,342,18,1,multiple_choice,formula_latex,True,6.7615,The phase diagram of a substance is given above. The region that corresponds to the solid phase is $\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_$.,$w$
agriculture_resources_environment,103,geography\ai2d_geography,ai2d_geography,ai2d_geography00058,ai2d_geography00058.json,430,4,1,multiple_choice,short_text,True,5.2282,What is labeled F?,soil
algebra_equation_inequality,106,math\mathvision,mathvision,mathvision00032,mathvision00032.json,202,13,1,multiple_choice,choice_label,True,6.4133,Which is the graph of the function $y=\sqrt{|(1+x)(1-|x|)|}$?,D
analog_electronics_devices,368,circuit\eee_bench,eee_bench,eeebench00980,eeebench00980.json,1108,9,2,multiple_choice,short_text,True,5.929,Which circuit is the correct full wave rectifier circuit?,Circuit C
anatomy_physiology,61,biology\ai2d_biology,ai2d_biology,ai2d_biology00141,ai2d_biology00141.json,950,5,1,multiple_choice,short_text,True,5.0778,What organism is a producer?,Algae
angle_chasing,500,math\geometry3k,geometry3k,geometry3k00876,geometry3k00876.json,555,3,1,calculation,numeric_or_unit,True,4.8455,Find $\angle 2$,47
area_perimeter,72,math\geometry3k,geometry3k,geometry3k00395,geometry3k00395.json,587,6,1,calculation,numeric_or_unit,True,5.559,Find the perimeter of the figure.,50
astronomy_gravity_orbits,17,physics\phyx,phyx,phyx01042,phyx01042.json,766,24,2,multiple_choice,formula_latex,True,6.8636,"A student on Planet Exidor throws a ball, and it follows the parabolic trajectory shown in figure. What was the ball’s launch angle?",63^\circ
biochemistry_enzymes_metabolism,10,biology\ai2d_biology,ai2d_biology,ai2d_biology00587,ai2d_biology00587.json,1505,10,1,multiple_choice,short_text,True,6.3385,"Using the diagram, what letter depicts where glucose is formed?",F
biology_other,184,biology\ai2d_biology,ai2d_biology,ai2d_biology01237,ai2d_biology01237.json,2960,2,1,multiple_choice,short_text,True,4.7184,__________ consume fish.,raccoons
cell_molecular_genetics,728,biology\ai2d_biology,ai2d_biology,ai2d_biology01226,ai2d_biology01226.json,1309,3,1,multiple_choice,short_text,True,4.5579,Who consumes grass?,rabbit
chart_graph_interpretation,350,geography\ai2d_geography,ai2d_geography,ai2d_geography00077,ai2d_geography00077.json,543,4,1,multiple_choice,short_text,True,5.2035,Which label represents Jupiter?,J
chemistry_other,21,chemistry\emma_chemistry,emma_chemistry,emmachemistry00576,emmachemistry00576.json,1173,9,1,multiple_choice,numeric_or_unit,True,4.9976,<image_1> Which point corresponds to the critical point?,5
circle_arc_chord,77,math\geometry3k,geometry3k,geometry3k00500,geometry3k00500.json,523,4,1,calculation,numeric_or_unit,True,4.8387,Find $m \widehat{TU}$.,46
circuit_other,280,circuit\eee_bench,eee_bench,eeebench00279,eeebench00279.json,399,5,3,multiple_choice,short_text,True,5.8474,The circuit shown in represents,a monostable multivibrator
climate_weather_seasons,380,geography\ai2d_geography,ai2d_geography,ai2d_geography00087,ai2d_geography00087.json,956,5,1,multiple_choice,short_text,True,5.4015,Which season does C represent?,summer
control_systems_transfer_function,143,circuit\eee_bench,eee_bench,eeebench01737,eeebench01737.json,349,14,2,multiple_choice,short_text,True,6.797,The open-loop frequency response is shown in the figure. The unstable system is ( ).,System (2)
coordinate_geometry,12,math\geometry3k,geometry3k,geometry3k00072,geometry3k00072.json,140,7,1,calculation,numeric_or_unit,True,5.3298,Find $x$. (Hint: Draw an auxiliary line.),130
coordinate_geometry_transform,560,math\mathvision,mathvision,mathvision00323,mathvision00323.json,1060,9,1,open,choice_label,True,5.8701,How many lines of symmetry does this figure have?,2
counting_probability_combinatorics,120,math\geoqa_plus,geoqa_plus,geoqaplus00841,geoqaplus00841.json,1029,14,1,open,numeric_or_unit,True,6.3278,What is the sum of the points on the invisible faces of the dice?,27
dc_ac_network_analysis,698,circuit\eee_bench,eee_bench,eeebench01022,eeebench01022.json,1215,4,2,multiple_choice,numeric_or_unit,True,5.21,The current \( I \) is ( ).,-1A
diagram_variable_solving,41,math\geometry3k,geometry3k,geometry3k00253,geometry3k00253.json,374,5,1,calculation,numeric_or_unit,True,5.2618,Find $x$ in the figure.,34
