dataset,final_category,final_category_zh,canonical_sample_id,sample_file,question,question_zh,translation_status,answer,question_units,complexity_index
math\mm_math,geometry_angle_chasing,几何角度追踪,mmmath00578,mmmath00578.json,"In rhombus $ABCD$, if $AC=6$ and $BD=8$, then what is the perimeter of rhombus $ABCD$?",,pending_translation,"\textbf{Solution:} Given that the quadrilateral $ABCD$ is a rhombus,\\ $\therefore$ $AO=\frac{1}{2}AC=\frac{1}{2}\times 6=3$,\\ $BO=\frac{1}{2}BD=\frac{1}{2}\times 8=4$,\\ $AC\perp BD$,\\ $\therefore$ $\triangle ABO$...",17,4.9579
math\mm_math,geometry_angle_chasing,几何角度追踪,mmmath01106,mmmath01106.json,"As shown in the figure, in the rhombus $ABCD$, $AB=BD=5$, find the length of $AC$.",,pending_translation,"Since quadrilateral $ABCD$ is a rhombus, $OA=OC$, $BO=OD=\frac{1}{2}BD=\frac{5}{2}$, and $BD\perp AC$. In $\triangle AOB$, $OA=\sqrt{AB^{2}-BO^{2}}=\frac{5\sqrt{3}}{2}$. Therefore, $AC=2OA=\boxed{5\sqrt{3}}$.",17,6.5195
math\mm_math,geometry_angle_chasing,几何角度追踪,mmmath01657,mmmath01657.json,"In the rhombus $ABCD$, diagonal $AC=8$, $BD=10$, then what is the area of $\triangle ADO$?",,pending_translation,"\textbf{Solution:} In diamond $ABCD$, the diagonals have lengths $AC=8$ and $BD=10$,\\ $\therefore$OA=4, OD=5, and $AC\perp BD$,\\ $\therefore$the area of $\triangle ADO$ is $\frac{1}{2}OA\cdot OD=\frac{1}{2}\times 4\...",17,6.5223
math\mm_math,geometry_angle_chasing,几何角度追踪,mmmath03266,mmmath03266.json,"In rhombus $ABCD$, if $\angle A = \angle B + 40^\circ$, what is the measure of $\angle B$?",,pending_translation,"Since $ABCD$ is a rhombus, $\angle A + \angle B = 180^\circ$. Given $\angle A = \angle B + 40^\circ$, we get $\angle B = 70^\circ$.",17,6.1362
math\mm_math,geometry_angle_chasing,几何角度追踪,mmmath03942,mmmath03942.json,"Given that in $\triangle ABC$, $\angle C = 90^\circ$, $AB=4$, and $AC=\sqrt{7}$. Find $BC$?",,pending_translation,"\textbf{Solution:} In triangle $\triangle ABC$, $\angle C=90^\circ$, $AB=4$, $AC=\sqrt{7}$.\\ $BC=\sqrt{AB^2-AC^2}=\sqrt{4^2-(\sqrt{7})^2}=\boxed{3}$.",17,5.4016
math\mm_math,geometry_angle_chasing,几何角度追踪,mmmath03110,mmmath03110.json,"As shown in the diagram, a right-angled triangle is placed with point C on the extension of FD, AB $\parallel$ CF, $\angle F=\angle ACB=90^\circ$, $\angle E=45^\circ$, $\angle A=60^\circ$, and AC=5. Determine the length of CD.",,pending_translation,"\textbf{Solution:} Draw BM$\perp$FD at point M,\\ In $\triangle ACB$, $\angle ACB=90^\circ$, $\angle A=60^\circ$, AC=5,\\ $\therefore \angle ABC=30^\circ$, BC=AC$\cdot \tan 60^\circ=5\sqrt{3}$,\\ $\because AB\parallel...",44,8.0
math\mm_math,geometry_angle_chasing,几何角度追踪,mmmath02556,mmmath02556.json,"As shown in the figure, ABCD is a square with side length 4. Point E is on diagonal BD, and \(\angle BAE = 22.5^\circ\). Given that \(EF \perp AB\) with foot F on AB, find the length of \(EF\).",,pending_translation,"\textbf{Solution:} In square \(ABCD\), \(\angle ABD = \angle ADB = 45^\circ\). Since \(\angle BAE = 22.5^\circ\), \(\angle DAE = 90^\circ - 22.5^\circ = 67.5^\circ\). In \(\triangle ADE\), \(\angle AED = 180^\circ - 4...",39,8.1878
math\mm_math,geometry_angle_chasing,几何角度追踪,mmmath01530,mmmath01530.json,"As shown in the figure, $\odot O$ is the circumcircle of the right-angled triangle $ABC$, with $OE \perp AB$ intersecting $\odot O$ at point $E$, and the foot of the perpendicular is point $D$. The extensions of $AE$ and $CB$ intersect at point $F$. If $ED=4$ and $AB=16$, what is the length of $FC$?",,pending_translation,"\textbf{Solution:} \\ Since $OE\perp AB$,\\ it follows that $\angle ADO=90^\circ$,\\ also, since $\angle ABC=90^\circ$,\\ it follows that $OD\parallel BC$,\\ since the extensions of $AE$ and $CB$ meet at point F,\\ it...",57,8.4075
math\mm_math,geometry_angle_chasing,几何角度追踪,mmmath00862,mmmath00862.json,"As shown in the figure, it is known that $\angle AOB=120^\circ$, and $OC$ is a ray inside $\angle AOB$, with $\angle AOC : \angle BOC = 1 : 2$. A ray $OD$ passes through point $O$. If $2\angle AOD = 3\angle BOD$, what is the measure of $\angle COD$ in degrees?",,pending_translation,"\textbf{Solution:} As shown in the figure, when OD is inside $\angle AOB$,\\ let $\angle BOD=x^\circ$,\\ since $2\angle AOD=3\angle BOD$,\\ then $\angle AOD= \frac{3}{2}x^\circ$,\\ since $\angle AOB=120^\circ$,\\ then...",51,7.5211
math\mm_math,geometry_angle_chasing,几何角度追踪,mmmath02977,mmmath02977.json,"As shown in the figure, $\angle ABC=\angle FAC=90^\circ$, the length of $BC$ is 3m, the length of $AB$ is 4cm, and the length of $AF$ is 12cm. Calculate the area of the square $CDEF$.",,pending_translation,"Solution: In right triangle $ABC$,\\ $\because \angle ABC=90^\circ, BC=3\text{cm}, AB=4\text{cm}$\\ $\therefore AC=\sqrt{AB^{2}+BC^{2}}=\sqrt{3^{2}+4^{2}}=5\text{cm}$\\ In right triangle $ACF$, $\because \angle FAC=90...",40,8.0031
math\mm_math,geometry_angle_chasing,几何角度追踪,mmmath03476,mmmath03476.json,"As shown in the figure, it is known that $\triangle ABC$ is an equilateral triangle with a side length of 10. $D$ is the midpoint of $AC$, $\angle EDF=120^\circ$, $DE$ intersects line segment $AB$ at $E$, and $DF$ intersects the extension of $BC$ at $F$. If $AE=4BE$, then what is the length of $CF$?",,pending_translation,"\textbf{Solution:} As shown in the figure, construct $DM\parallel BC$ intersecting $AB$ at $M$, \\ $\because$ $AE=4BE$, \\ $\therefore$ $BE=\frac{1}{5}AB=2$, \\ $\because$ $D$ is the midpoint of $AC$, and $\triangle A...",58,8.5773
math\mm_math,geometry_angle_chasing,几何角度追踪,mmmath01274,mmmath01274.json,"As shown in the figure, $BD$ and $CE$ are the medians of the equilateral triangle $ABC$, and $BD$ and $CE$ intersect at point $F$. What is the measure of $\angle BFC$ in degrees?",,pending_translation,"\textbf{Solution:} Given that $\triangle ABC$ is an equilateral triangle\\ Hence, $\angle ABC=\angle ACB=60^\circ$\\ Since BD, CE are medians of the equilateral triangle ABC\\ Therefore, $\angle DBC=\frac{1}{2}\angle...",33,7.3768
math\mm_math,geometry_angle_chasing,几何角度追踪,mmmath01577,mmmath01577.json,"As shown in the diagram, in parallelogram $ABCD$, the heights on the adjacent sides $AD$ and $CD$ are equal, that is, $BE=BF$. Parallelogram $ABCD$ is a rhombus; if $DB=10$ and $AB=13$, what is the area of parallelogram $ABCD$?",,pending_translation,"Draw line $AC$ intersecting $BD$ at point $O$. Since quadrilateral $ABCD$ is a rhombus, it follows that $AC \perp BD$, and $BO = \frac{1}{2}BD = 5$. In $\triangle ABO$, by the Pythagorean theorem, we have $AO = \sqrt{...",41,8.0873
math\mm_math,geometry_angle_chasing,几何角度追踪,mmmath03496,mmmath03496.json,"As shown in the figure, point $O$ is the midpoint of the diagonal $AC$ of the rectangle $ABCD$, and point $E$ is the midpoint of $AD$. If $AB=6, \angle ACB=30^\circ$, then what is the perimeter of $\triangle BOE$?",,pending_translation,"\textbf{Solution:} Given in rectangle $ABCD$, $AB=6$, thus $CD=AB=6$, $AD=BC$, $\angle ABC=\angle BAD=90^\circ$, since $\angle ACB=30^\circ$, thus $AC=2AB=12$, $AD=BC=\sqrt{AC^{2}-AB^{2}}=6\sqrt{3}$, since point $O$ i...",41,7.6875
math\mm_math,geometry_angle_chasing,几何角度追踪,mmmath03332,mmmath03332.json,"As shown in the figure, O is a point on line AB, and $\angle COD$ is a right angle. OE bisects $\angle BOD$, and OF bisects $\angle AOE$. If $\angle BOC=54^\circ$, what are the degrees of $\angle COE$ and $\angle DOF$?",,pending_translation,"Since $\angle COD=90^\circ$ and $\angle BOC=54^\circ$, it follows that $\angle BOD=90^\circ-54^\circ=36^\circ$. Since OE bisects $\angle BOD$, it follows that $\angle DOE=\angle BOE=18^\circ$. Thus $\angle COE=\angle...",43,7.4823
math\mm_math,geometry_angle_chasing,几何角度追踪,mmmath02709,mmmath02709.json,"As shown in the figure, $\triangle ABC \cong \triangle DEF$, $BE=5$, $BF=1$, what is the length of $CF$?",,pending_translation,"Since $BE=5$ and $BF=1$, it follows that $EF=BE-BF=4$. Since $\triangle ABC \cong \triangle DEF$, it follows that $BC=EF=4$. Therefore, $CF=BC-BF=4-1=\boxed{3}$.",20,6.2054
math\mm_math,geometry_angle_chasing,几何角度追踪,mmmath01839,mmmath01839.json,"As shown in the diagram, in $\triangle ABC$, points $D$ and $E$ are on $AB$ and $AC$ respectively. If $\frac{AD}{AB}=\frac{AE}{AC}=\frac{1}{3}$, and the area of $\triangle ADE$ is 9, what is the area of quadrilateral $BCED$?",,pending_translation,\boxed{72},43,7.7229
math\mm_math,geometry_angle_chasing,几何角度追踪,mmmath00425,mmmath00425.json,"As shown in the figure, in the rhombus $ABCD$, the perpendicular bisector of $AD$ intersects $AD$ at point $E$, and intersects $AC$ at point $F$. If $\angle ABC=4\angle DFC$, what is the measure of $\angle BAD$?",,pending_translation,"Solution: As shown in the diagram, $\because EF$ perpendicularly bisects $AD$. $\therefore AF=DF$. $\therefore \angle FAD=\angle FDA$. $\because \angle DFC=\angle FAD+\angle FDA$. $\therefore \angle DFC=2\angle FAD$....",38,7.7419
math\mm_math,geometry_angle_chasing,几何角度追踪,mmmath00601,mmmath00601.json,"As shown in the figure, in $\triangle ABD$, C is a point on $AD$, and $AD = 4CD$, $\angle CBD = \angle A$. A line is drawn through point D such that $DH \parallel AB$, intersecting the extension of $BC$ at point H. We have $\triangle HCD \sim \triangle HDB$. If $BC = 6$, find the length of $DH$.",,pending_translation,"\textbf{Solution:} Since $AD=4CD$,\\ it follows that $\frac{CD}{AC}=\frac{1}{3}$,\\ Given $DH\parallel AB$,\\ it leads to $\triangle HCD\sim \triangle BCA$,\\ which implies $\frac{HC}{BC}=\frac{CD}{AC}=\frac{1}{3}$,\\...",57,7.7707
