dataset,final_category,final_category_zh,canonical_sample_id,sample_file,question,question_zh,translation_status,answer,question_units,complexity_index
physics\multi_physics,mechanics_kinematics_dynamics,力学、运动学与动力学,multiphysics00379,multiphysics00379.json,某质点做直线运动，其位移x与时间t的关系图象如图所示。则,某质点做直线运动，其位移x与时间t的关系图象如图所示。则,original_zh,在0~20 s时间内质点的平均速度大小为0.8 m/s,26,7.2599
physics\multi_physics,mechanics_kinematics_dynamics,力学、运动学与动力学,multiphysics00188,multiphysics00188.json,电动车由静止开始在平直的公路上行驶，其运动的v-t图象如图所示。,电动车由静止开始在平直的公路上行驶，其运动的v-t图象如图所示。,original_zh,0~50s内电动车的平均速度大于4m/s,29,7.1315
physics\multi_physics,mechanics_kinematics_dynamics,力学、运动学与动力学,multiphysics00392,multiphysics00392.json,电动车由静止开始在平直的公路上行驶，其运动的v-t图象如图所示。,电动车由静止开始在平直的公路上行驶，其运动的v-t图象如图所示。,original_zh,0~50s内电动车的平均速度大于4m/s,29,7.1315
physics\multi_physics,mechanics_kinematics_dynamics,力学、运动学与动力学,multiphysics00230,multiphysics00230.json,如图是甲、乙两物体从同一点开始做直线运动的运动图像，下列说法正确的是,如图是甲、乙两物体从同一点开始做直线运动的运动图像，下列说法正确的是,original_zh,BC,32,8.043
physics\multi_physics,mechanics_kinematics_dynamics,力学、运动学与动力学,multiphysics00168,multiphysics00168.json,如图所示，当小车A以恒定的速度v向左运动时，对于B物体，下列说法正确的是( ),如图所示，当小车A以恒定的速度v向左运动时，对于B物体，下列说法正确的是( ),original_zh,B物体受到的拉力大于B物体受到的重力,33,7.4938
physics\multi_physics,mechanics_kinematics_dynamics,力学、运动学与动力学,multiphysics00492,multiphysics00492.json,如图，匀强磁场垂直于纸面，磁感应强度为B。某种比荷为q/m、速度大小为v的一群离子以一定发散角α由原点O出射，y轴正好平分该发散角，离子束偏转后打在x轴上长度为L的区域MN内，则cos(α/2)为,如图，匀强磁场垂直于纸面，磁感应强度为B。某种比荷为q/m、速度大小为v的一群离子以一定发散角α由原点O出射，y轴正好平分该发散角，离子束偏转后打在x轴上长度为L的区域MN内，则cos(α/2)为,original_zh,$1-\frac{BqL}{2mv}$,82,8.2535
physics\multi_physics,mechanics_kinematics_dynamics,力学、运动学与动力学,multiphysics00268,multiphysics00268.json,如图所示，光滑水平面内的xOy直角坐标系中，一质量为1 kg的小球沿x轴正方向匀速运动，速度大小为1 m/s，经过坐标原点O时，小球受到的一沿y轴负方向、大小为1 N的恒力F突然撤去，其他力不变，则关于小球的运动，下列说法正确的是( ),如图所示，光滑水平面内的xOy直角坐标系中，一质量为1 kg的小球沿x轴正方向匀速运动，速度大小为1 m/s，经过坐标原点O时，小球受到的一沿y轴负方向、大小为1 N的恒力F突然撤去，其他力不变，则关于小球的运动，下列说法正确的是( ),original_zh,1 s末小球的速度大小为$\sqrt{2} \mathrm{~m} / \mathrm{s}$,99,8.1203
physics\multi_physics,mechanics_kinematics_dynamics,力学、运动学与动力学,multiphysics00154,multiphysics00154.json,如图5-4-5所示，台秤上放有盛水的杯，杯底用细绳系一木质的小球，若细线突然断裂，则在小木球上浮到水面的过程中，台秤的示数将（ ）,如图5-4-5所示，台秤上放有盛水的杯，杯底用细绳系一木质的小球，若细线突然断裂，则在小木球上浮到水面的过程中，台秤的示数将（ ）,original_zh,变小,55,8.0704
physics\multi_physics,mechanics_kinematics_dynamics,力学、运动学与动力学,multiphysics00237,multiphysics00237.json,"理想状态的“日地——拉格朗日点”是只在太阳和地球对人造卫星引力作用下(忽略其它星体引力),使人造卫星围绕太阳运行的周期与地球围绕太阳运行的周期相同的点.其中两个“日地——拉格朗日点”$L_{1}$、$L_{2}$在日地连线上,$L_{1}$在地球轨道内侧,$L_{2}$在地球轨道外侧,如图所示,下列说法中正确的是( )","理想状态的“日地——拉格朗日点”是只在太阳和地球对人造卫星引力作用下(忽略其它星体引力),使人造卫星围绕太阳运行的周期与地球围绕太阳运行的周期相同的点.其中两个“日地——拉格朗日点”$L_{1}$、$L_{2}$在日地连线上,$L_{1}$在地球轨道内侧,$L_{2}$在地球轨道外侧,如图所示,下列说法中正确的是( )",original_zh,人造卫星在上$L_{1}$处加速度小于地球的加速度,120,8.7874
physics\multi_physics,mechanics_kinematics_dynamics,力学、运动学与动力学,multiphysics00283,multiphysics00283.json,"如图所示,两个相同的物体A,B叠在一起放在粗糙的水平桌面上,连在物体B上的轻绳通过定滑轮与空箱C相连,箱内放有一小球与箱内壁右侧接触,整个系统处于静止状态。已知A、B的质量均为m,C的质量为M,小球的质量为$m_0$,物体B与桌面的动摩擦因数为$\mu $,重力加速度为g,不计滑轮摩擦和空气阻力,下列说法中正确的是( )","如图所示,两个相同的物体A,B叠在一起放在粗糙的水平桌面上,连在物体B上的轻绳通过定滑轮与空箱C相连,箱内放有一小球与箱内壁右侧接触,整个系统处于静止状态。已知A、B的质量均为m,C的质量为M,小球的质量为$m_0$,物体B与桌面的动摩擦因数为$\mu $,重力加速度为g,不计滑轮摩擦和空气阻力,下列说法中正确的是( )",original_zh,桌面受到物体的摩擦力大小$(M+m_{0})g$,137,8.6535
