dataset,canonical_sample_id,sample_file,source_problem_id,final_category,final_category_zh,question,question_zh,translation_status,answer,question_units,complexity_index,multi_step_score,visual_kinds
geography\geosqa,geosqa00000,geosqa00000.json,755,population_urban_economic,人口、城市与经济地理,"亦庄经济技术开发区是北京市重点发展的三个新卫星城之一,其定位是京津城际发展走廊上的高新技术产业和先进制造业基地。近年来人口数量不断增加。下图为“亦庄城镇人口构成比例图”。读图,回答下列各题。 <image1> 影响亦庄人口迁入的主要因素是","亦庄经济技术开发区是北京市重点发展的三个新卫星城之一,其定位是京津城际发展走廊上的高新技术产业和先进制造业基地。近年来人口数量不断增加。下图为“亦庄城镇人口构成比例图”。读图,回答下列各题。

<image1>

影响亦庄人口迁入的主要因素是",original_zh,经济因素,103,9.2662,0.3467,dense_diagram
geography\geosqa,geosqa00001,geosqa00001.json,996,hydrology_ocean_rivers,水文、河流与海洋,"下面两幅图分别是两条大河的河口图,图中小岛因泥沙不断堆积而扩展,最终将与河的哪岸相连接。 <image1> 1与甲岸相连2与乙岸相连3与丙岸相连4与丁岸相连","下面两幅图分别是两条大河的河口图,图中小岛因泥沙不断堆积而扩展,最终将与河的哪岸相连接。

<image1>

1与甲岸相连2与乙岸相连3与丙岸相连4与丁岸相连",original_zh,14,67,9.759,0.4183,wide_diagram
geography\geosqa,geosqa00002,geosqa00002.json,2576,climate_weather_seasons,气候、天气与季节,"某地理学习小组为了深入了解各种气候类型的分布与成因,做了各种模拟演示。图为某理想区域分布图,结合所学知识回答题。 <image1> 在模拟演示中,当黄赤交角变为0°,如果甲地气候类型在地球上无法再找到.试分析甲地实际所在的半球及其气候类型分别是 ( )","某地理学习小组为了深入了解各种气候类型的分布与成因,做了各种模拟演示。图为某理想区域分布图,结合所学知识回答题。

<image1>

在模拟演示中,当黄赤交角变为0°,如果甲地气候类型在地球上无法再找到.试分析甲地实际所在的半球及其气候类型分别是 ( )",original_zh,北半球地中海气候,106,9.6798,0.3913,dense_diagram
geography\geosqa,geosqa00003,geosqa00003.json,2587,map_topography_location,地图、地形与区位,"一群旅游爱好者到祖国的大好河山去旅游,右图为他们到达30°N附近一个地区的等高线地形图,图中等高距为100m。读图回答题。 <image1> 山峰5的最大海拔可能为","一群旅游爱好者到祖国的大好河山去旅游,右图为他们到达30°N附近一个地区的等高线地形图,图中等高距为100m。读图回答题。

<image1>

山峰5的最大海拔可能为",original_zh,899m,66,9.3046,0.3917,generic_visual
geography\geosqa,geosqa00004,geosqa00004.json,2006,climate_weather_seasons,气候、天气与季节,艾丁湖的存在对吐鲁番盆地绿洲的维持具有重要作用。下图是1万多年来艾丁湖变迁示意图。读下图回答下列各题。 <image1> 艾丁湖1万多年来变迁的主要原因是(),"艾丁湖的存在对吐鲁番盆地绿洲的维持具有重要作用。下图是1万多年来艾丁湖变迁示意图。读下图回答下列各题。

<image1>

艾丁湖1万多年来变迁的主要原因是()",original_zh,气候变干,66,9.247,0.4097,wide_diagram
geography\geosqa,geosqa00005,geosqa00005.json,545,chart_graph_interpretation,图表信息解读,"凡是温度在0°C或0°C以下,并含有冰的各种岩(土)称为冻土。读下图“北半球多年冻土分布剖面图”,回答下列问题。 <image1> 图中所示的冻土分布特点是","凡是温度在0°C或0°C以下,并含有冰的各种岩(土)称为冻土。读下图“北半球多年冻土分布剖面图”,回答下列问题。

<image1>

图中所示的冻土分布特点是",original_zh,中纬度的多年冻土随纬度增高而增厚,60,9.1579,0.4097,wide_diagram
geography\geosqa,geosqa00006,geosqa00006.json,520,climate_weather_seasons,气候、天气与季节,"干空气或未饱和的湿空气温度变化的数值叫干绝热递减率。当空气饱和后,由于上升过程中气温继续降低,降水释放热能弥补降温。完成下列各题。 <image1> 若图示为某一山地迎风坡的降温状况,则开始出现降水的高度约为","干空气或未饱和的湿空气温度变化的数值叫干绝热递减率。当空气饱和后,由于上升过程中气温继续降低,降水释放热能弥补降温。完成下列各题。

<image1>

若图示为某一山地迎风坡的降温状况,则开始出现降水的高度约为",original_zh,2000m,90,8.8947,0.3467,generic_visual
geography\geosqa,geosqa00007,geosqa00007.json,3657,climate_weather_seasons,气候、天气与季节,"2010年全球极端天气事件频发,从俄罗斯的高温森林大火、巴基斯坦水灾到美国东部的持续高温等,种种灾难事件让人们认识到气候变化带来严重后果的同时,也对将于11月29日召开的联合国坎昆气候变化会议更有期待。读图回答下列各题。 <image1> 影响图中海平面变化的主要因素是","2010年全球极端天气事件频发,从俄罗斯的高温森林大火、巴基斯坦水灾到美国东部的持续高温等,种种灾难事件让人们认识到气候变化带来严重后果的同时,也对将于11月29日召开的联合国坎昆气候变化会议更有期待。读图回答下列各题。

<image1>

影响图中海平面变化的主要因素是",original_zh,气候的变化,116,9.7856,0.3917,wide_diagram
geography\geosqa,geosqa00008,geosqa00008.json,2577,climate_weather_seasons,气候、天气与季节,"某地理学习小组为了深入了解各种气候类型的分布与成因,做了各种模拟演示。图为某理想区域分布图,结合所学知识回答题。 <image1> 在模拟演示中,当黄赤交角变为0°,如果甲地气候类型在地球上依然存在,则该地的农业地域类型最可能是( )","某地理学习小组为了深入了解各种气候类型的分布与成因,做了各种模拟演示。图为某理想区域分布图,结合所学知识回答题。

<image1>

在模拟演示中,当黄赤交角变为0°,如果甲地气候类型在地球上依然存在,则该地的农业地域类型最可能是( )",original_zh,畜牧业或乳畜业,98,9.1602,0.3647,dense_diagram
geography\geosqa,geosqa00009,geosqa00009.json,519,climate_weather_seasons,气候、天气与季节,"干空气或未饱和的湿空气温度变化的数值叫干绝热递减率。当空气饱和后,由于上升过程中气温继续降低,降水释放热能弥补降温。完成下列各题。 <image1> 图中a、b两线段所反映的地理含义是","干空气或未饱和的湿空气温度变化的数值叫干绝热递减率。当空气饱和后,由于上升过程中气温继续降低,降水释放热能弥补降温。完成下列各题。

<image1>

图中a、b两线段所反映的地理含义是",original_zh,"a线段气温递减率大,为较干空气",78,9.1952,0.3733,generic_visual
