dataset,final_category,final_category_zh,canonical_sample_id,sample_file,question,question_zh,translation_status,answer,question_units,complexity_index
math\scemqa_math,algebra_equation_inequality,代数方程与不等式,scemqamath00136,scemqamath00136.json,Why is the following not an example of a valid probability density curve?,,pending_translation,Because the function cannot be negative,13,6.6025
math\scemqa_math,algebra_equation_inequality,代数方程与不等式,scemqamath00041,scemqamath00041.json,Question: 42 Why is the following not an example of a valid probability density curve?,,pending_translation,Because the function cannot be negative,15,6.8201
math\scemqa_math,algebra_equation_inequality,代数方程与不等式,scemqamath00055,scemqamath00055.json,"Shown is a graph of $f'$, the derivative of function $f$. Which of the following statements is true?",,pending_translation,$f$ is increasing from $x = -3$ to $x = -1$,18,6.747
math\scemqa_math,algebra_equation_inequality,代数方程与不等式,scemqamath00076,scemqamath00076.json,The graph of a function f is shown above. Which of the following statements about f is true?,,pending_translation,A jump discontinuity occurs at x = 1,18,7.2132
math\scemqa_math,algebra_equation_inequality,代数方程与不等式,scemqamath00150,scemqamath00150.json,"Shown is a graph of $f'$, the derivative of function $f$. Which of the following statements is true?",,pending_translation,$f$ is increasing from $x = -3$ to $x = -1$.,18,6.667
math\scemqa_math,algebra_equation_inequality,代数方程与不等式,scemqamath00178,scemqamath00178.json,"Let $f$ be a continuous function on $[0, 6]$ and have selected values as shown below. If you use the subintervals $[0, 2]$, $[2, 4]$, and $[4, 6]$, what is the trapezoidal approximation of $\int_{0}^{6} f(x)\,dx$?",,pending_translation,12.75,40,8.2165
math\scemqa_math,algebra_equation_inequality,代数方程与不等式,scemqamath00157,scemqamath00157.json,"The graph of the function f is shown above. For how many values of x in the open interval (-3, 6) is f discontinuous?",,pending_translation,three,24,7.6276
math\scemqa_math,algebra_equation_inequality,代数方程与不等式,scemqamath00092,scemqamath00092.json,"Let $f$ be a continuous function on $[0, 6]$ and have selected values as shown below. If you use the subintervals $[0, 2]$, $[2, 4]$, and $[4, 6]$, what is the trapezoidal approximation of $\int_{0}^{6} f(x)\,dx$?",,pending_translation,12.75,40,8.1365
math\scemqa_math,algebra_equation_inequality,代数方程与不等式,scemqamath00047,scemqamath00047.json,"The graph of the derivative of f, f', is shown above. If f(0) = 7, what is f(6)?",,pending_translation,15,19,7.445
math\scemqa_math,algebra_equation_inequality,代数方程与不等式,scemqamath00074,scemqamath00074.json,"The graph of $f$ is shown above. Let $G(x) = \int_{0}^{x} f(t)\,dt$ and $H(x) = \int_{2}^{x} f(t)\,dt$. Which of the following is true?",,pending_translation,$G(x) = H(x) + 3$,31,7.8714
