dataset,final_category,final_category_zh,canonical_sample_id,sample_file,question,question_zh,translation_status,answer,question_units,complexity_index
chemistry\emma_chemistry,transition_state_smiles_selection,过渡态结构与 SMILES 选择,emmachemistry00089,emmachemistry00089.json,"Choose the SMILES expression of the transition-state structure shown in the image, ignoring the arrows.",,pending_translation,COC(=O)C1(C)CCCCC1=O,16,6.1852
chemistry\emma_chemistry,transition_state_smiles_selection,过渡态结构与 SMILES 选择,emmachemistry00162,emmachemistry00162.json,"Choose the SMILES expression of the transition-state structure shown in the image, ignoring the arrows.",,pending_translation,*/C=C/NC(C*)C(*)C(C)=O.[NH4+],16,6.4942
chemistry\emma_chemistry,transition_state_smiles_selection,过渡态结构与 SMILES 选择,emmachemistry00184,emmachemistry00184.json,"Choose the SMILES expression of the transition-state structure shown in the image, ignoring the arrows.",,pending_translation,*C(C)=O,16,6.492
chemistry\emma_chemistry,transition_state_smiles_selection,过渡态结构与 SMILES 选择,emmachemistry00393,emmachemistry00393.json,"Choose the SMILES expression of the transition-state structure shown in the image, ignoring the arrows.",,pending_translation,*C(=O)NCC(O)c1ccccc1.O=P(=O)OP(=O)=O,16,6.3437
chemistry\emma_chemistry,transition_state_smiles_selection,过渡态结构与 SMILES 选择,emmachemistry00455,emmachemistry00455.json,"Choose the SMILES expression of the transition-state structure shown in the image, ignoring the arrows.",,pending_translation,*CS(=O)(=O)C(*)*.[B],16,6.1845
chemistry\emma_chemistry,transition_state_smiles_selection,过渡态结构与 SMILES 选择,emmachemistry00682,emmachemistry00682.json,"Please choose the SMILES expression of the transition-state structure shown in the image, ignoring the arrows.",,pending_translation,*C(=O)C[n+]1ccccc1.CC(=O)[O-].[Br-].[H+],17,6.2452
chemistry\emma_chemistry,transition_state_smiles_selection,过渡态结构与 SMILES 选择,emmachemistry00562,emmachemistry00562.json,"Please choose the SMILES expression of the transition-state structure shown in the image, ignoring the arrows.",,pending_translation,C1OC2(OC1)SP2(OC)O,17,6.4731
chemistry\emma_chemistry,transition_state_smiles_selection,过渡态结构与 SMILES 选择,emmachemistry00335,emmachemistry00335.json,"In the transition-state structure shown in the image, calculate the total number of bonds in the structure, including single, double, and triple bonds but excluding those involving hydrogen. Note: Disregard arrows. Consider all components present in the transition-state structure shown in the image.",,pending_translation,20,45,7.7556
chemistry\emma_chemistry,transition_state_smiles_selection,过渡态结构与 SMILES 选择,emmachemistry00190,emmachemistry00190.json,"An 'arrow-pushing' diagram is a common type of chemical image used to illustrate electron flow in mechanistic steps. Please choose the SMILES expression for the molecules(state) after the electron has been relocated, as depicted in the image. <image_1>",,pending_translation,C/C(OC)=[N+](C)\,41,8.3099
chemistry\emma_chemistry,transition_state_smiles_selection,过渡态结构与 SMILES 选择,emmachemistry00655,emmachemistry00655.json,"Please choose the SMILES expression of the transition-state structure shown in the image, ignoring the arrows. <image_1>",,pending_translation,[CH2-][N+](C)(C)Cc1ccccc1,19,7.0596
chemistry\emma_chemistry,transition_state_smiles_selection,过渡态结构与 SMILES 选择,emmachemistry00760,emmachemistry00760.json,"Please choose the SMILES expression of the transition-state structure shown in the image, ignoring the arrows.",,pending_translation,c1ccc(P(c2ccccc2)c2ccccc2)cc1,17,6.63
chemistry\emma_chemistry,transition_state_smiles_selection,过渡态结构与 SMILES 选择,emmachemistry00278,emmachemistry00278.json,"Please choose the SMILES expression of the transition-state structure shown in the image, ignoring the arrows. <image_1>",,pending_translation,COc1ccccc1.C[N+](C)=CCl,19,6.8293
chemistry\emma_chemistry,transition_state_smiles_selection,过渡态结构与 SMILES 选择,emmachemistry00346,emmachemistry00346.json,"In the transition-state structure shown in the image, calculate the total number of bonds in the structure, including single, double, and triple bonds but excluding those involving hydrogen. Disregard arrows. Consider all components present in the transition-state structure shown in the image.",,pending_translation,9,44,8.0449
chemistry\emma_chemistry,transition_state_smiles_selection,过渡态结构与 SMILES 选择,emmachemistry00764,emmachemistry00764.json,"Please choose the SMILES expression of the transition-state structure shown in the image, ignoring the arrows.",,pending_translation,*[C@H]1C(*)(*)O[Si-]1(*)(*)*,17,6.7954
chemistry\emma_chemistry,transition_state_smiles_selection,过渡态结构与 SMILES 选择,emmachemistry00728,emmachemistry00728.json,"Please choose the SMILES expression of the transition-state structure shown in the image, ignoring the arrows.",,pending_translation,*C(=O)C1C=CC=C[CH+]1.Cl[Al-](Cl)(Cl)Cl,17,6.335
chemistry\emma_chemistry,transition_state_smiles_selection,过渡态结构与 SMILES 选择,emmachemistry00597,emmachemistry00597.json,"In the transition-state structure shown in the image, calculate the total number of bonds in the structure, including single, double, and triple bonds but excluding those involving hydrogen. Note: Disregard arrows. Consider all components present in the transition-state structure shown in the image.",,pending_translation,13,45,7.9836
