dataset,final_category,final_category_zh,count,share_pct,definition_zh,source_rule
math\scemqa_math,algebra_equation_inequality,代数方程与不等式,48,25.4,需要运用“代数方程与不等式”相关知识或解法的题目。,mapped:algebra_equation_inequality
math\scemqa_math,geometry_length_area_volume,几何长度、面积与体积,44,23.28,需要运用“几何长度、面积与体积”相关知识或解法的题目。,mapped:geometry_length_area_volume
math\scemqa_math,statistics_data_analysis,统计与数据分析,36,19.05,需要运用“统计与数据分析”相关知识或解法的题目。,mapped:statistics_data_analysis
math\scemqa_math,math_puzzle_logic,数学谜题与逻辑推理,20,10.58,需要运用“数学谜题与逻辑推理”相关知识或解法的题目。,refined:math_puzzle_logic
math\scemqa_math,coordinate_geometry_transform,坐标几何与变换,12,6.35,需要运用“坐标几何与变换”相关知识或解法的题目。,mapped:coordinate_geometry_transform
math\scemqa_math,counting_probability_combinatorics,计数、概率与组合,11,5.82,需要运用“计数、概率与组合”相关知识或解法的题目。,mapped:counting_probability_combinatorics
math\scemqa_math,geometry_angle_chasing,几何角度追踪,10,5.29,需要运用“几何角度追踪”相关知识或解法的题目。,mapped:geometry_angle_chasing
math\scemqa_math,measurement_time_units,时间、单位与度量,4,2.12,需要运用“时间、单位与度量”相关知识或解法的题目。,mapped:measurement_time_units
math\scemqa_math,data_table_statistics,数据表与统计推断,2,1.06,需要运用“数据表与统计推断”相关知识或解法的题目。,refined:data_table_statistics
math\scemqa_math,visual_spatial_puzzle,视觉空间与拼图推理,2,1.06,需要运用“视觉空间与拼图推理”相关知识或解法的题目。,mapped:visual_spatial_puzzle
