dataset,final_category,final_category_zh,canonical_sample_id,sample_file,source_problem_id,question,question_zh,translation_status,answer,question_units,complexity_index
math\scemqa_math,algebra_equation_inequality,代数方程与不等式,scemqamath00031,scemqamath00031.json,79,"Use the following table, which shows the values of the differentiable functions $f$ and $g$f $h(x) = g(f(x))$ then $h'(3) =$",利用下表，其中给出了可微函数 $f$ 和 $g$ 的取值。若 $h(x)=g(f(x))$，则 $h'(3)$ 等于多少？,human_curated_zh,$1$,24,7.3418
math\scemqa_math,geometry_length_area_volume,几何长度、面积与体积,scemqamath00000,scemqamath00000.json,38,Use the following computer output for a least-squares regression for Questions below. What is the equation of the least-squares regression line?,利用下列最小二乘回归的计算机输出回答问题。最小二乘回归直线的方程是什么？,human_curated_zh,ŷ = 22.94 - 0.6442x,23,7.1161
math\scemqa_math,statistics_data_analysis,统计与数据分析,scemqamath00159,scemqamath00159.json,34,The following boxplot summarizes the prices of books at a bookstore. Which of the following is true about the prices of books at this store?,下列箱线图总结了某书店书籍价格。关于该书店书价，以下哪项正确？,human_curated_zh,This store carries more books priced below the mean than above the mean.,25,7.1036
math\scemqa_math,math_puzzle_logic,数学谜题与逻辑推理,scemqamath00095,scemqamath00095.json,183,"In a random sample of 100 balloons, 30 of them are blue. Construct a 95% confidence interval for the true proportion of the blue balloons.",在 100 个气球的随机样本中，有 30 个是蓝色的。请构造蓝色气球真实比例的 95% 置信区间。,human_curated_zh,"(0.210, 0.399)",25,6.1129
math\scemqa_math,coordinate_geometry_transform,坐标几何与变换,scemqamath00091,scemqamath00091.json,68,A particular solution of the differential equation whose slope field is shown above contains point P. This solution may also contain which other point?,上方斜率场所示微分方程的一个特解经过点 P。该解还可能经过哪个点？,human_curated_zh,E,24,7.6229
math\scemqa_math,counting_probability_combinatorics,计数、概率与组合,scemqamath00034,scemqamath00034.json,32,X and Y are independent random variables; the probability distributions for each are given in the table above. Let Z = X + Y. What is P(Z ≤ 2)?,X 和 Y 是相互独立的随机变量；上表给出了它们各自的概率分布。令 Z = X + Y。求 $P(Z \leq 2)$。,human_curated_zh,0.15,27,8.1958
math\scemqa_math,geometry_angle_chasing,几何角度追踪,scemqamath00075,scemqamath00075.json,65,"The graph of $f$ for $-1 \leq x \leq 3$ consists of two semicircles, as shown above. What is the value of $\int_{-1}^{3} f(x)\,dx$?","函数 $f$ 在 $-1 \leq x \leq 3$ 上的图像由两个半圆组成，如上图所示。求 $\int_{-1}^{3} f(x)\,dx$ 的值。",human_curated_zh,0,28,7.0513
math\scemqa_math,measurement_time_units,时间、单位与度量,scemqamath00124,scemqamath00124.json,146,The scatter plot of study time in hours versus test scores in a statistics class is shown below. What can be said about the relationship between time spent studying and test scores?,下方散点图显示统计课中学习时间（小时）与考试成绩的关系。关于学习时间和考试成绩的关系，可以得出什么结论？,human_curated_zh,More time spent studying is related to higher test scores.,32,7.9191
math\scemqa_math,data_table_statistics,数据表与统计推断,scemqamath00097,scemqamath00097.json,155,Compare the two scatter plots. Which of the following statements is true about r?,比较两个散点图。关于相关系数 r，以下哪项说法正确？,human_curated_zh,The r value in this example is sensitive to outliers.,14,6.5544
math\scemqa_math,visual_spatial_puzzle,视觉空间与拼图推理,scemqamath00131,scemqamath00131.json,23,"Nutritionists examined the sodium content of different brands of potato chips. Each brand was classified as either healthy or regular based on how the chips were marketed to the public. The sodium contents, in milligrams (mg) per serving, are summarized in the boxplots below. Based on the boxplots, which statement gives a correct comparison between the two classifications of the sodium content of the chips?",营养学家检查不同品牌薯片的钠含量。每个品牌根据市场宣传被分为健康型或普通型。下方箱线图总结了每份薯片中的钠含量（mg）。根据箱线图，哪项说法正确比较了两类薯片的钠含量？,human_curated_zh,The interquartile range (IQR) of the brands classified as healthy is greater than the IQR of the brands classified as regular.,65,8.7922
