dataset,canonical_sample_id,sample_file,source_problem_id,final_category,final_category_zh,question,question_zh,translation_status,answer,question_units,complexity_index,multi_step_score,visual_kinds
circuit\eee_bench,eeebench00000,eeebench00000.json,375,digital_logic_boolean,数字逻辑与布尔函数,The Boolean function \( f \) implemented in the figure using two-input multiplexers is,,not_translated_in_full_list,\( A \overline{B} C + A B \overline{C} \),13,6.2611,0.3287,generic_visual
circuit\eee_bench,eeebench00001,eeebench00001.json,479,control_systems_transfer_function,控制系统与传递函数,The asymptotic approximation of the log-magnitude versus frequency plot of a minimum phase system with real poles and one zero is shown in the figure. Its transfer function is ______.,,not_translated_in_full_list,\(\frac{50(s+5)}{s^2(s+2)(s+25)}\),30,7.354,0.3107,chart_like
circuit\eee_bench,eeebench00002,eeebench00002.json,166,analog_electronics_devices,模拟电子与器件电路,"Calculate current I\(_2\) in this Darlington pair circuit, assuming a typical forward base-emitter junction voltage drop of 0.7 volts for each transistor. The current I\(_2\) is ______ mA.",,not_translated_in_full_list,113.5,30,7.5872,0.3917,circuit_diagram
circuit\eee_bench,eeebench00003,eeebench00003.json,439,analog_electronics_devices,模拟电子与器件电路,"Determine the DC voltage at point ""B"" in the circuit, ignoring any ""loading"" effects of the transistor’s base current on the voltage divider, as shown in the figure. The DC voltage at point ""B"" is ______ VDC.",,not_translated_in_full_list,1.3,37,7.4177,0.3017,circuit_diagram
circuit\eee_bench,eeebench00004,eeebench00004.json,346,digital_logic_boolean,数字逻辑与布尔函数,"In the circuit shown in the figure, to convert a D flip-flop into a T flip-flop, the component that should be added within the dashed box is",,not_translated_in_full_list,XNOR gate,29,7.7973,0.3197,circuit_diagram
circuit\eee_bench,eeebench00005,eeebench00005.json,46,dc_ac_network_analysis,直流/交流电路网络分析,"In the circuit shown in figure, the voltage at point A is ( )",,not_translated_in_full_list,\( u_i \),12,6.6354,0.3197,circuit_diagram
circuit\eee_bench,eeebench00006,eeebench00006.json,471,dc_ac_network_analysis,直流/交流电路网络分析,"In the circuit shown in the figure, to make the voltage U equal to 2 V, what is the value of the resistor R (Ω)?",,not_translated_in_full_list,2,24,6.936,0.3197,circuit_diagram
circuit\eee_bench,eeebench00007,eeebench00007.json,53,control_systems_transfer_function,控制系统与传递函数,"For the closed-loop system shown, the transfer function \(\frac{E(s)}{R(s)}\) is ______.",,not_translated_in_full_list,\(\frac{1}{1 + GH}\),15,6.338,0.3197,generic_visual
circuit\eee_bench,eeebench00008,eeebench00008.json,374,analog_electronics_devices,模拟电子与器件电路,"In the circuit shown in the figure, if the diodes \(D_1, D_2, D_3\) are ideal components, then the output voltage \(u_o\) is ( ).",,not_translated_in_full_list,0V,26,7.7057,0.4007,circuit_diagram
circuit\eee_bench,eeebench00009,eeebench00009.json,75,measurement_instrumentation,测量与仪表,"In the sinusoidal AC circuit shown in the figure, an inductance with reactance of \(10\,\Omega\) and a load \(Z\) are connected in series. If the voltmeters \((V1)\), \((V2)\), and \((V)\) all show the same value, then the load \(Z =\) ______ \(\angle -30^{\circ}\,\Omega\).",,not_translated_in_full_list,10,46,8.6667,0.5717,circuit_diagram
