dataset,final_category,final_category_zh,canonical_sample_id,sample_file,question,question_zh,translation_status,answer,question_units,complexity_index
math\cmm_math,linear_programming_constraints,线性规划与约束最值,cmmmath00010,cmmmath00010.json,"已知 $x, y$ 满足约束条件 $\left\{\begin{array}{l}x-y \geq 0, \\ x+y \leq 2, \\ y \geq 0,\end{array}\right.$围为 ( )","已知 $x, y$ 满足约束条件 $\left\{\begin{array}{l}x-y \geq 0, \\ x+y \leq 2, \\ y \geq 0,\end{array}\right.$围为 ( )",original_zh,"$[-1,1]$",30,5.6332
math\cmm_math,linear_programming_constraints,线性规划与约束最值,cmmmath00027,cmmmath00027.json,"已知 $x, y$ 满足约束条件 $\left\{\begin{array}{l}x-y \geq 0, \\ x+y \leq 2, \\ y \geq 0,\end{array}\right.$围为 ( )","已知 $x, y$ 满足约束条件 $\left\{\begin{array}{l}x-y \geq 0, \\ x+y \leq 2, \\ y \geq 0,\end{array}\right.$围为 ( )",original_zh,"$[-1,1]$",30,5.6332
math\cmm_math,linear_programming_constraints,线性规划与约束最值,cmmmath00060,cmmmath00060.json,"已知 $x, y$ 满足约束条件 $\left\{\begin{array}{l}x-y \geq 0, \\ x+y \leq 2, \\ y \geq 0,\end{array}\right.$围为 ( )","已知 $x, y$ 满足约束条件 $\left\{\begin{array}{l}x-y \geq 0, \\ x+y \leq 2, \\ y \geq 0,\end{array}\right.$围为 ( )",original_zh,"$[-1,1]$",30,5.6332
math\cmm_math,linear_programming_constraints,线性规划与约束最值,cmmmath00077,cmmmath00077.json,"已知 $x, y$ 满足约束条件 $\left\{\begin{array}{l}x-y \geq 0, \\ x+y \leq 2, \\ y \geq 0,\end{array}\right.$围为 ( )","已知 $x, y$ 满足约束条件 $\left\{\begin{array}{l}x-y \geq 0, \\ x+y \leq 2, \\ y \geq 0,\end{array}\right.$围为 ( )",original_zh,"$[-1,1]$",30,5.6332
math\cmm_math,linear_programming_constraints,线性规划与约束最值,cmmmath00090,cmmmath00090.json,"已知 $x, y$ 满足约束条件 $\left\{\begin{array}{l}x-y \geq 0, \\ x+y \leq 2, \\ y \geq 0,\end{array}\right.$围为 ( )","已知 $x, y$ 满足约束条件 $\left\{\begin{array}{l}x-y \geq 0, \\ x+y \leq 2, \\ y \geq 0,\end{array}\right.$围为 ( )",original_zh,"$[-1,1]$",30,5.6332
math\cmm_math,linear_programming_constraints,线性规划与约束最值,cmmmath00119,cmmmath00119.json,"如果实数 $x, y$ 满足约束条件 $\left\{\begin{array}{l}x-y+1 \geq 0, \\ y+1 \geq 0, \\ x+y+1 \leq 0,\end{array}\right.$ 则 $2 x-y$ 的最大值为 ( )","如果实数 $x, y$ 满足约束条件 $\left\{\begin{array}{l}x-y+1 \geq 0, \\ y+1 \geq 0, \\ x+y+1 \leq 0,\end{array}\right.$ 则 $2 x-y$ 的最大值为 ( )",original_zh,1,42,6.0036
math\cmm_math,linear_programming_constraints,线性规划与约束最值,cmmmath00100,cmmmath00100.json,"若 $x, y$ 满足 $\left\{\begin{array}{l}x \leq 3, \\ x+y \geq 2, \\ y \leq x,\end{array}\right.$ 则 $x+2 y$ 的最大值为","若 $x, y$ 满足 $\left\{\begin{array}{l}x \leq 3, \\ x+y \geq 2, \\ y \leq x,\end{array}\right.$ 则 $x+2 y$ 的最大值为",original_zh,9,31,5.6434
math\cmm_math,linear_programming_constraints,线性规划与约束最值,cmmmath00062,cmmmath00062.json,"若实数 $x, y$ 满足约束条件 $\left\{\begin{array}{l}x-3 y+4 \geq 0 \\ 3 x-y-4 \leq 0 \\ x+y \geq 0\end{array}\right.$, 则 $z=3 x+2 y$ 的最大值是","若实数 $x, y$ 满足约束条件 $\left\{\begin{array}{l}x-3 y+4 \geq 0 \\ 3 x-y-4 \leq 0 \\ x+y \geq 0\end{array}\right.$, 则 $z=3 x+2 y$ 的最大值是",original_zh,10,45,6.0603
math\cmm_math,linear_programming_constraints,线性规划与约束最值,cmmmath00034,cmmmath00034.json,"若实数 $x, y$ 满足约束条件 $\left\{\begin{array}{l}x-3 y+4 \geq 0 \\ 3 x-y-4 \leq 0 \\ x+y \geq 0\end{array}\right.$, 则 $z=3 x+2 y$ 的最大值是","若实数 $x, y$ 满足约束条件 $\left\{\begin{array}{l}x-3 y+4 \geq 0 \\ 3 x-y-4 \leq 0 \\ x+y \geq 0\end{array}\right.$, 则 $z=3 x+2 y$ 的最大值是",original_zh,10,45,6.0603
math\cmm_math,linear_programming_constraints,线性规划与约束最值,cmmmath00114,cmmmath00114.json,"若实数 $x, y$ 满足约束条件 $\left\{\begin{array}{l}x-3 y+4 \geq 0 \\ 3 x-y-4 \leq 0 \\ x+y \geq 0\end{array}\right.$, 则 $z=3 x+2 y$ 的最大值是","若实数 $x, y$ 满足约束条件 $\left\{\begin{array}{l}x-3 y+4 \geq 0 \\ 3 x-y-4 \leq 0 \\ x+y \geq 0\end{array}\right.$, 则 $z=3 x+2 y$ 的最大值是",original_zh,10,45,6.0603
