dataset,canonical_sample_id,sample_file,source_problem_id,final_category,final_category_zh,question,question_zh,translation_status,answer,question_units,complexity_index,multi_step_score,visual_kinds
biology\ai2d_biology,ai2d_biology00000,ai2d_biology00000.json,862,ecology_food_web_population,生态、食物网与种群,"In the above the diagram below, which shows a partial food web. Which animal or bird is on the top of the food chain?",,not_translated_in_full_list,Seal,24,7.7222,0.3967,wide_diagram
biology\ai2d_biology,ai2d_biology00001,ai2d_biology00001.json,356,ecology_food_web_population,生态、食物网与种群,What would cause the shrimp population to decrease?,,not_translated_in_full_list,more brown trout,8,5.7138,0.3017,generic_visual
biology\ai2d_biology,ai2d_biology00002,ai2d_biology00002.json,679,cell_molecular_genetics,细胞、分子与遗传,What is the outermost layer of the cell?,,not_translated_in_full_list,Cell wall,8,5.7157,0.3017,generic_visual
biology\ai2d_biology,ai2d_biology00003,ai2d_biology00003.json,972,cell_molecular_genetics,细胞、分子与遗传,Which organisms are herbivores?,,not_translated_in_full_list,Crickets,4,4.904,0.3017,generic_visual
biology\ai2d_biology,ai2d_biology00004,ai2d_biology00004.json,590,cell_molecular_genetics,细胞、分子与遗传,What is the structure shown at the thigh of the figure?,,not_translated_in_full_list,quadriceps,11,6.0388,0.3017,generic_visual
biology\ai2d_biology,ai2d_biology00005,ai2d_biology00005.json,918,cell_molecular_genetics,细胞、分子与遗传,Hard outer coat of a seed is known as?,,not_translated_in_full_list,Testa,9,5.8441,0.2567,generic_visual
biology\ai2d_biology,ai2d_biology00006,ai2d_biology00006.json,745,cell_molecular_genetics,细胞、分子与遗传,What stage does D depict?,,not_translated_in_full_list,Egg,5,5.7357,0.3017,generic_visual
biology\ai2d_biology,ai2d_biology00007,ai2d_biology00007.json,434,cell_molecular_genetics,细胞、分子与遗传,When does the organism remain alive through the winter?,,not_translated_in_full_list,overwintering,9,5.7698,0.2567,generic_visual
biology\ai2d_biology,ai2d_biology00008,ai2d_biology00008.json,402,cell_molecular_genetics,细胞、分子与遗传,Which of the types of flower shapes has a round cluster of leaves?,,not_translated_in_full_list,Rosette,13,6.3876,0.3017,generic_visual
biology\ai2d_biology,ai2d_biology00009,ai2d_biology00009.json,464,cell_molecular_genetics,细胞、分子与遗传,What label applies to C?,,not_translated_in_full_list,Centrioles,5,5.4153,0.3017,generic_visual
biology\ai2d_biology,ai2d_biology00010,ai2d_biology00010.json,401,cell_molecular_genetics,细胞、分子与遗传,Which is having winglike extensions?,,not_translated_in_full_list,Alate,5,5.5403,0.3017,generic_visual
biology\ai2d_biology,ai2d_biology00011,ai2d_biology00011.json,279,cell_molecular_genetics,细胞、分子与遗传,What is the first stage in the life cycle of a jellfish (Scyphozoa)?,,not_translated_in_full_list,egg,13,6.1789,0.3197,generic_visual
biology\ai2d_biology,ai2d_biology00012,ai2d_biology00012.json,341,ecology_food_web_population,生态、食物网与种群,"From the food web diagram, what would happen to the dragonfly if all mayflies die?",,not_translated_in_full_list,decrease,15,6.4488,0.3467,generic_visual
biology\ai2d_biology,ai2d_biology00013,ai2d_biology00013.json,743,cell_molecular_genetics,细胞、分子与遗传,What happens in the chrysalis stage of the organism's life?,,not_translated_in_full_list,It changes from a caterpillar to a butterfly.,10,6.1659,0.3017,generic_visual
biology\ai2d_biology,ai2d_biology00014,ai2d_biology00014.json,532,cell_molecular_genetics,细胞、分子与遗传,Which leaf is shaped like a top?,,not_translated_in_full_list,Top shaped,7,5.6863,0.3017,generic_visual
biology\ai2d_biology,ai2d_biology00015,ai2d_biology00015.json,863,biology_other,生物综合识图,Which animal is not an herbivore?,,not_translated_in_full_list,Seal,6,5.5396,0.3017,wide_diagram
biology\ai2d_biology,ai2d_biology00016,ai2d_biology00016.json,829,anatomy_physiology,解剖与生理结构,Which organism in the diagram is important because it returns nutrients back to the soil?,,not_translated_in_full_list,Decomposers,15,6.4836,0.3017,dense_diagram
biology\ai2d_biology,ai2d_biology00017,ai2d_biology00017.json,416,anatomy_physiology,解剖与生理结构,Which part is located between pharynx and trachea?,,not_translated_in_full_list,Larynx,8,5.7171,0.3017,dense_diagram
biology\ai2d_biology,ai2d_biology00018,ai2d_biology00018.json,886,anatomy_physiology,解剖与生理结构,What is the bottom opening at the back?,,not_translated_in_full_list,anus,8,5.7216,0.3017,dense_diagram
biology\ai2d_biology,ai2d_biology00019,ai2d_biology00019.json,301,ecology_food_web_population,生态、食物网与种群,"In the diagram of the food web shown, what are the predatory nematodes consumed by?",,not_translated_in_full_list,predatory mites,15,6.3974,0.3017,generic_visual
biology\ai2d_biology,ai2d_biology00020,ai2d_biology00020.json,795,cell_molecular_genetics,细胞、分子与遗传,Which label applies to the organ that produces insulin for the body?,,not_translated_in_full_list,G,12,6.0898,0.3017,generic_visual
biology\ai2d_biology,ai2d_biology00021,ai2d_biology00021.json,657,plant_biology,植物结构与功能,Which represents a branched cluster of flowers in which the branches are racemes?,,not_translated_in_full_list,panicle,13,6.2041,0.3467,wide_diagram
biology\ai2d_biology,ai2d_biology00022,ai2d_biology00022.json,931,ecology_food_web_population,生态、食物网与种群,"In this partial food web of ocean organisms, which population's energy supply would be the most affected if the plankton died off?",,not_translated_in_full_list,squid,22,7.0244,0.3467,dense_diagram
biology\ai2d_biology,ai2d_biology00023,ai2d_biology00023.json,726,ecology_food_web_population,生态、食物网与种群,Plants are at what level of the food web?,,not_translated_in_full_list,Level 1,9,5.8209,0.3017,generic_visual
biology\ai2d_biology,ai2d_biology00024,ai2d_biology00024.json,385,ecology_food_web_population,生态、食物网与种群,What would happen to the snakes if the hawk population increased?,,not_translated_in_full_list,decrease,11,6.302,0.3467,generic_visual
biology\ai2d_biology,ai2d_biology00025,ai2d_biology00025.json,472,cell_molecular_genetics,细胞、分子与遗传,Label C represents,,not_translated_in_full_list,Stomach,3,4.7235,0.2567,generic_visual
biology\ai2d_biology,ai2d_biology00026,ai2d_biology00026.json,910,ecology_food_web_population,生态、食物网与种群,Imagine that snakes were no longer present in this ecosystem. Which choice is a likely result of this event?,,not_translated_in_full_list,Mouse population increases,19,6.5959,0.3017,generic_visual
biology\ai2d_biology,ai2d_biology00027,ai2d_biology00027.json,653,ecology_food_web_population,生态、食物网与种群,Which organism is the primary producer in this food chain?,,not_translated_in_full_list,Plants,10,6.0719,0.3017,wide_diagram
biology\ai2d_biology,ai2d_biology00028,ai2d_biology00028.json,759,cell_molecular_genetics,细胞、分子与遗传,Lizards are what type of organism according to this diagram?,,not_translated_in_full_list,carnivores,10,6.3451,0.3017,generic_visual
biology\ai2d_biology,ai2d_biology00029,ai2d_biology00029.json,810,plant_biology,植物结构与功能,What gas do plants take in?,,not_translated_in_full_list,carbon dioxide,6,5.5436,0.3017,dense_diagram
biology\ai2d_biology,ai2d_biology00030,ai2d_biology00030.json,261,cell_molecular_genetics,细胞、分子与遗传,The above diagram shows the mouth parts of which organism?,,not_translated_in_full_list,Cockroach,10,6.0239,0.3017,generic_visual
biology\ai2d_biology,ai2d_biology00031,ai2d_biology00031.json,736,cell_molecular_genetics,细胞、分子与遗传,What happens if lizards decrease?,,not_translated_in_full_list,snakes decrease,5,5.3648,0.3467,generic_visual
biology\ai2d_biology,ai2d_biology00032,ai2d_biology00032.json,431,cell_molecular_genetics,细胞、分子与遗传,What is labeled H?,,not_translated_in_full_list,seeds,4,5.2282,0.3017,generic_visual
biology\ai2d_biology,ai2d_biology00033,ai2d_biology00033.json,813,cell_molecular_genetics,细胞、分子与遗传,Describe the life cycle of a caterpillar?,,not_translated_in_full_list,"egg, larva, caterpillar, pupa, butterfly",7,5.5498,0.2567,generic_visual
biology\ai2d_biology,ai2d_biology00034,ai2d_biology00034.json,469,plant_biology,植物结构与功能,What type of plant life consumer is a bunny in this chart?,,not_translated_in_full_list,primary,12,6.1935,0.3017,chart_like
biology\ai2d_biology,ai2d_biology00035,ai2d_biology00035.json,624,life_cycle_development,生命史与发育阶段,What are some ways in which a grasshopper's life cycle differs from that of a mealworm beetle's?,,not_translated_in_full_list,The mealworm beetle goes through an additional step.,17,6.7819,0.3467,wide_diagram
biology\ai2d_biology,ai2d_biology00036,ai2d_biology00036.json,629,cell_molecular_genetics,细胞、分子与遗传,What does the deer represent?,,not_translated_in_full_list,Herbivore,5,5.3129,0.3017,generic_visual
biology\ai2d_biology,ai2d_biology00037,ai2d_biology00037.json,534,anatomy_physiology,解剖与生理结构,What are the sharp pointy teeth called?,,not_translated_in_full_list,Canine,7,5.701,0.3017,geometry_diagram
biology\ai2d_biology,ai2d_biology00038,ai2d_biology00038.json,478,cell_molecular_genetics,细胞、分子与遗传,What does stage A depict?,,not_translated_in_full_list,An Egg,5,5.5667,0.3017,generic_visual
biology\ai2d_biology,ai2d_biology00039,ai2d_biology00039.json,361,ecology_food_web_population,生态、食物网与种群,"From the food web diagram, algae is",,not_translated_in_full_list,source of energy,7,6.1384,0.3017,wide_diagram
biology\ai2d_biology,ai2d_biology00040,ai2d_biology00040.json,946,ecology_food_web_population,生态、食物网与种群,"From the diagram, what would happen if there were no tadpoles?",,not_translated_in_full_list,The small fish population would decrease.,11,5.9305,0.3467,wide_diagram
biology\ai2d_biology,ai2d_biology00041,ai2d_biology00041.json,327,cell_molecular_genetics,细胞、分子与遗传,What phase comes after the flies stage?,,not_translated_in_full_list,trout,7,5.3686,0.3017,generic_visual
biology\ai2d_biology,ai2d_biology00042,ai2d_biology00042.json,355,cell_molecular_genetics,细胞、分子与遗传,What would be most directly affected by an increase in brown trout?,,not_translated_in_full_list,shrimp,12,6.0815,0.3017,generic_visual
biology\ai2d_biology,ai2d_biology00043,ai2d_biology00043.json,789,cell_molecular_genetics,细胞、分子与遗传,What is the stage shown in stage C in the diagram?,,not_translated_in_full_list,egg,11,6.116,0.3017,generic_visual
biology\ai2d_biology,ai2d_biology00044,ai2d_biology00044.json,750,life_cycle_development,生命史与发育阶段,The diagram shows four stages in the mosquito life cycle. What stage does letter A depict?,,not_translated_in_full_list,Pupae,16,6.942,0.3467,dense_diagram
biology\ai2d_biology,ai2d_biology00045,ai2d_biology00045.json,779,cell_molecular_genetics,细胞、分子与遗传,What is between labelled parts E and A?,,not_translated_in_full_list,Pleural space,8,5.8133,0.3017,generic_visual
biology\ai2d_biology,ai2d_biology00046,ai2d_biology00046.json,344,ecology_food_web_population,生态、食物网与种群,"If the brown trout population increases, the population of mayfly nymph will most likely?",,not_translated_in_full_list,decrease,14,6.2247,0.3017,generic_visual
biology\ai2d_biology,ai2d_biology00047,ai2d_biology00047.json,381,cell_molecular_genetics,细胞、分子与遗传,What animal eats both rabbits and snakes,,not_translated_in_full_list,hawk,7,5.6025,0.3017,generic_visual
biology\ai2d_biology,ai2d_biology00048,ai2d_biology00048.json,536,cell_molecular_genetics,细胞、分子与遗传,Which object is represented in the above diagram?,,not_translated_in_full_list,Cell,8,6.1537,0.3017,dense_diagram
biology\ai2d_biology,ai2d_biology00049,ai2d_biology00049.json,852,cell_molecular_genetics,细胞、分子与遗传,What is the name of the colorless plastid that forms starch granules and occurs in cells of plant storage tissue?,,not_translated_in_full_list,amyloplast,20,6.6496,0.3017,wide_diagram
biology\ai2d_biology,ai2d_biology00050,ai2d_biology00050.json,751,life_cycle_development,生命史与发育阶段,What label refers to the Egg stage?,,not_translated_in_full_list,B,7,5.5986,0.3017,dense_diagram
biology\ai2d_biology,ai2d_biology00051,ai2d_biology00051.json,988,biology_other,生物综合识图,What label applies to C?,,not_translated_in_full_list,stipe,5,5.4888,0.3017,dense_diagram
biology\ai2d_biology,ai2d_biology00052,ai2d_biology00052.json,628,ecology_food_web_population,生态、食物网与种群,The diagram below shows the food web in a forest ecosystem. Which of the following organism shown in the diagram is a herbivore?,,not_translated_in_full_list,rabbit,23,7.3688,0.3467,generic_visual
biology\ai2d_biology,ai2d_biology00053,ai2d_biology00053.json,467,experimental_graph_data,实验与数据图表,A snake is what type of carnivore according to this chart?,,not_translated_in_full_list,primary,11,6.1134,0.3017,chart_like
biology\ai2d_biology,ai2d_biology00054,ai2d_biology00054.json,382,ecology_food_web_population,生态、食物网与种群,What is at the lowest in the food chain?,,not_translated_in_full_list,grass,9,5.8257,0.3017,generic_visual
biology\ai2d_biology,ai2d_biology00055,ai2d_biology00055.json,765,cell_molecular_genetics,细胞、分子与遗传,What letter in the diagram represents nymphs?,,not_translated_in_full_list,E,7,5.7835,0.3017,generic_visual
biology\ai2d_biology,ai2d_biology00056,ai2d_biology00056.json,709,cell_molecular_genetics,细胞、分子与遗传,Which letter corresponds to the flowering stage?,,not_translated_in_full_list,B,7,5.6064,0.3017,generic_visual
biology\ai2d_biology,ai2d_biology00057,ai2d_biology00057.json,511,biology_other,生物综合识图,What is B in the diagram?,,not_translated_in_full_list,ears,6,5.9056,0.3017,dense_diagram
