dataset,canonical_sample_id,sample_file,source_problem_id,final_category,final_category_zh,question,question_zh,translation_status,answer,question_units,complexity_index,multi_step_score,visual_kinds
physics\physreason,physreason00000,physreason00000.json,cal_problem_00346,mechanics_kinematics_dynamics,力学、运动学与动力学,"A thin string of length L is fixed at its upper end, and a small ball of mass m and charge q is attached to the lower end. The ball is placed in a uniform electric field pointing horizontally to the right. Initially, the string and the ball are held horizontally, and then released. The ball swings downward from rest. When the string has rotated through an angle of 60°, the velocity of the ball at point B is exactly zero. 1. What is the magnitude of the uniform electric field strength? 2. What...",,not_translated_in_full_list,$\frac{\sqrt{3}mg}{q}$ $-\frac{\sqrt{3}mgL}{2q}$ $\frac{\sqrt{3}mgL}{2}$,126,10.2582,0.6667,
physics\physreason,physreason00001,physreason00001.json,cal_problem_00262,mechanics_kinematics_dynamics,力学、运动学与动力学,"A small ball with a mass of $m = 2\,\mathrm{kg}$ is thrown vertically upwards. The v-t graph from the moment it is thrown to the moment it returns to the throwing point is shown in the figure. The magnitude of the air resistance experienced by the ball during its motion is constant. Take $g = 10\,\mathrm{m/s^2}$. 1. What is the magnitude of the air resistance experienced by the ball during its motion? 2. What is the magnitude of the velocity of the ball when it returns to the throwing point?...",,not_translated_in_full_list,4N 4√6m/s 0,122,12.1995,0.6667,chart_like
physics\physreason,physreason00002,physreason00002.json,cal_problem_00317,mechanics_kinematics_dynamics,力学、运动学与动力学,"On the surface of a planet with a uniform mass distribution, a homogeneous turntable is present. Two objects, A and B, each with a mass of $m$, are situated on the same side of the center of the turntable. The distances of objects A and B from the center are $L$ and $2L$, respectively. The two objects are connected by a light string. Initially, the string is taut. When the angular velocity reaches $\omega$, objects A and B are on the verge of sliding relative to the turntable. The coefficient...",,not_translated_in_full_list,$\frac{\mathrm{m}\mathrm{L}{\omega}^{2}}{2}$ $\frac{9\mathrm{L}{\omega}^{2}}{8\mu\pi\mathrm{GR}}$ $\sqrt{\frac{3\mathrm{R}\mathrm{L}{\omega}^{2}}{2\mu}}$,161,12.0966,0.6217,wide_diagram
physics\physreason,physreason00003,physreason00003.json,cal_problem_00272,mechanics_kinematics_dynamics,力学、运动学与动力学,"A small ball is released from rest at a certain distance above the ground. The ball falls freely under the influence of gravity. The displacement during the final 1 second is $\frac{9}{25}$ of the total displacement. Air resistance is negligible, and the acceleration due to gravity is $\mathbf{g}=10\mathbf{m}/\mathbf{s}^{2}$. 1. Calculate the total time it takes for the ball to fall. 2. Calculate the displacement of the ball during the final 2 seconds of its descent.",,not_translated_in_full_list,5s 80m,84,8.9011,0.6037,
physics\physreason,physreason00004,physreason00004.json,cal_problem_00122,mechanics_kinematics_dynamics,力学、运动学与动力学,"Millikan proved the quantization of electric charge by observing the motion of oil droplets, for which he was awarded the Nobel Prize in Physics in 1923. The figure illustrates the principle of the Millikan oil-drop experiment, where two sufficiently large metal plates are placed horizontally with a separation of $d$. The upper plate has a small hole in the center. Small oil droplets are sprayed through the hole, and some of them acquire electric charges due to collisions or friction. Two sph...",,not_translated_in_full_list,"k = \frac{m_{0}^{\frac{2}{3}} g t}{h_{1}} Oil droplet A is uncharged, and oil droplet B carries a negative charge. And q = \frac{m_{0} g d (h_{1} + h_{2})}{h_{1} U} \Delta E_{p} = -\frac{m_{0} g h_{2} (h_{1} + h_{2})}...",306,15.984,0.7297,circuit_diagram
physics\physreason,physreason00005,physreason00005.json,cal_problem_00301,mechanics_kinematics_dynamics,力学、运动学与动力学,A body with a mass of $100\mathrm{kg}$ rests on the floor of a vertically moving elevator. The graph shows how the pressure of the body on the floor varies with time. The elevator starts from rest and moves upwards. The acceleration due to gravity ${\bf g}$ is taken as $10\mathrm{m}/\mathrm{s}^{2}$. Determine the vertical displacement of the elevator within the first 8 seconds.,,not_translated_in_full_list,60.0m,69,9.1998,0.4547,chart_like
physics\physreason,physreason00006,physreason00006.json,cal_problem_00254,mechanics_kinematics_dynamics,力学、运动学与动力学,"A car starts from rest at the origin O and moves along a straight line on the X axis. An automatic detection system records the data of the car's starting, running, and braking processes. 1. What is the magnitude of the instantaneous velocity of the car at the end of the 2nd second? 2. What are the magnitudes of the average acceleration of the car during the first 3 seconds and the last 2 seconds, respectively? 3. What is the magnitude of the average velocity of the car during the 4th second?",,not_translated_in_full_list,"3 m/s 1.67 m/s², 2.5 m/s² 4 m/s",94,10.6777,0.5767,chart_like
physics\physreason,physreason00007,physreason00007.json,cal_problem_00140,electromagnetism_circuits,电磁学与物理电路,"As shown in Figure (1), a device for detecting gas discharge processes has two electrodes connected to a long straight wire in an ionization chamber filled with neon gas (Ne). These electrodes are then connected to a high-voltage power supply via two horizontal long wires. In a plane perpendicular to the long straight wire, a circular solenoid made of thin wire with a resistance of $R_{0}=10\Omega$ and $N=5\times 10^{3}$ turns is installed, with the axis of symmetry aligned with the straight...",,not_translated_in_full_list,0.5C 6.28×10^-8Wb,262,13.3849,0.7567,circuit_diagram
physics\physreason,physreason00008,physreason00008.json,cal_problem_00174,mechanics_kinematics_dynamics,力学、运动学与动力学,"A U-shaped metal rod has a side length of $L=15cm$ and a mass of $m=1 \times 10^{-3}\mathrm{kg}$. Its lower end is immersed in a conductive liquid, which is connected to a power source. The space where the metal rod is located has a uniform magnetic field of $B=8 \times 10^{-2}\mathrm{T}$ perpendicular to the paper and directed inwards. 1. If the immersed depth of the conductive liquid is $h=2.5cm$, after closing the electrical switch, the metal rod flies up and its lower end is at a height o...",,not_translated_in_full_list,$\sqrt{2}m/s 4.17A 0.085C,208,14.0749,0.8017,circuit_diagram
physics\physreason,physreason00009,physreason00009.json,cal_problem_00249,mechanics_kinematics_dynamics,力学、运动学与动力学,"A particle moves along two semi-circular arcs, each with a radius of $1\mathrm{m}$, from point A to point C, taking 5 seconds. 1. What are the displacement and the distance traveled by the particle? 2. What are the average velocity and the average speed of the particle?",,not_translated_in_full_list,"The displacement is 4 m, and the distance traveled is 6.28 m. The average velocity is 0.8 m/s, and the average speed is 1.256 m/s.",50,9.336,0.5407,geometry_diagram
physics\physreason,physreason00010,physreason00010.json,cal_problem_00345,mechanics_kinematics_dynamics,力学、运动学与动力学,"A charged sphere with mass $m$ and charge $+q$ is attached to one end of an inextensible insulating thread. The other end of the thread is fixed at point O. The length of the thread is $L$. A uniform electric field is applied horizontally, and the sphere is at rest at point A, forming an angle of $\theta = 30^\circ$ with the vertical direction. The acceleration due to gravity is $g$ ($\sin37^\circ = 0.6$, $\cos37^\circ = 0.8$). 1. Find the magnitude and direction of the electric field strengt...",,not_translated_in_full_list,"$\frac{\sqrt{3}mg}{3q}$, horizontally to the right $\sqrt{2gL\left(1-\frac{\sqrt{3}}{3}\right)}$, $3mg-\frac{2\sqrt{3}}{3}mg$, direction along the rope vertically upward",135,11.4709,0.7477,geometry_diagram
physics\physreason,physreason00011,physreason00011.json,cal_problem_00128,mechanics_kinematics_dynamics,力学、运动学与动力学,"A horizontal metal ring with a radius of $r=0.2\mathsf{m}$ is fixed. Two metal rods, each with a length of $r$ and a resistance of $R_{0}$, are placed along the diameter of the ring. One end of each rod is in good contact with the ring, and the other end is fixed to a conductive vertical rotating shaft $OO^{\prime}$ passing through the center of the ring. The rods rotate uniformly with an angular velocity of $\omega=600\ rad/s$. A uniform magnetic field with a magnetic induction strength of $...",,not_translated_in_full_list,"0.54C, plate M becomes positively charged 0.16C 0.14m",507,19.9348,0.8107,circuit_diagram
physics\physreason,physreason00012,physreason00012.json,cal_problem_00160,mechanics_kinematics_dynamics,力学、运动学与动力学,"A uniform magnetic field, with its direction perpendicular to the paper, exists in the region $0 \le x \le h$ and $-\infty < y < +\infty$. The magnitude of the magnetic induction $B$ is adjustable, but its direction remains constant. A particle with mass $m$ and charge $q$ ($q>0$) enters the magnetic field from the left side along the x-axis with a velocity $v_{0}$, and gravity is negligible. 1. If the particle, after being deflected by the magnetic field, leaves the magnetic field by crossin...",,not_translated_in_full_list,"the direction of the magnetic field is into the plane of the paper.; $B_{m}=\frac{mv_{0}}{q h}$ $\alpha=\frac{\pi}{6}, y=(2-\sqrt{3})h$",168,11.6326,0.7387,chart_like
