dataset,final_category,final_category_zh,canonical_sample_id,sample_file,question,question_zh,translation_status,answer,question_units,complexity_index
geography\geosqa,climate_weather_seasons,气候、天气与季节,geosqa00351,geosqa00351.json,"读图,回答问题: <image1> 甲、乙两城市的气候","读图,回答问题: <image1> 甲、乙两城市的气候",original_zh,"高温期不同,多雨期相同",16,7.8124
geography\geosqa,climate_weather_seasons,气候、天气与季节,geosqa00527,geosqa00527.json,"读下图,回答下列问题 <image1> 1、3、5三地气候","读下图,回答下列问题 <image1> 1、3、5三地气候",original_zh,"类型相同,成因不同",18,8.49
geography\geosqa,climate_weather_seasons,气候、天气与季节,geosqa01003,geosqa01003.json,读两区域示意图. <image1> 甲、乙两地附近的气候状况是,读两区域示意图. <image1> 甲、乙两地附近的气候状况是,original_zh,"甲地深受洋流、山脉的影响,气候带呈南北狭长分布",21,8.0698
geography\geosqa,climate_weather_seasons,气候、天气与季节,geosqa00361,geosqa00361.json,读图回答 <image1> 有关图中四地天气状况的正确叙述是(),读图回答 <image1> 有关图中四地天气状况的正确叙述是(),original_zh,乙地气温较高,22,8.2571
geography\geosqa,climate_weather_seasons,气候、天气与季节,geosqa00620,geosqa00620.json,"读下图,回答下题。 <image1> 该流域所属气候类型最可能是","读下图,回答下题。 <image1> 该流域所属气候类型最可能是",original_zh,热带季风气候,22,7.6795
geography\geosqa,climate_weather_seasons,气候、天气与季节,geosqa01597,geosqa01597.json,"2014年冬奥会计划于当年的2月7日至23日在俄罗斯黑海之滨的索契举行。读“索契区域示意图”(左图)和“索契气候资料图”(右图),回答下列问题。 <image1> 索契作为冬奧会举办地的优势条件主要是1冬季晴天多,阳光充足2冬季降水多3河网密布,便于开展水上项目4附近有高山,积雪多,利于冰雪项目","2014年冬奥会计划于当年的2月7日至23日在俄罗斯黑海之滨的索契举行。读“索契区域示意图”(左图)和“索契气候资料图”(右图),回答下列问题。 <image1> 索契作为冬奧会举办地的优势条件主要是1冬季晴天多,阳光充足2冬季降水多3河网密布,便于开展水上项目4附近有高山,积雪多,利于冰雪项目",original_zh,24,121,10.3106
geography\geosqa,climate_weather_seasons,气候、天气与季节,geosqa01296,geosqa01296.json,"我国各地雨季起讫时间虽然有所不同,但却有其内部规律,特别是东部地区各地雨期长短,主要是由于大范围雨带南北位移所造成。下图是2003年5月1日~8月31日部分地区平均逐日降水量(mm)直方图。(注:淮河流域年降水量约为600-800mm)据此完成下题。 <image1> 上图降水资料反映了我国","我国各地雨季起讫时间虽然有所不同,但却有其内部规律,特别是东部地区各地雨期长短,主要是由于大范围雨带南北位移所造成。下图是2003年5月1日~8月31日部分地区平均逐日降水量(mm)直方图。(注:淮河流域年降水量约为600-800mm)据此完成下题。 <image1> 上图降水资料反映了我国",original_zh,北方雨季比南方开始晚,115,9.837
geography\geosqa,climate_weather_seasons,气候、天气与季节,geosqa00734,geosqa00734.json,"图为长江流域一湖泊水位和TSS(TSS为总悬浮质,是指在水流中悬浮运动的泥沙量)通量随季节变化统计图,流入为正流出为负。读图回答各小题。 <image1> 引起该湖泊TSS通量季节变化的直接原因有1流域内降水变化2湖水流向变化3上游地区植被破坏4当地围湖造田","图为长江流域一湖泊水位和TSS(TSS为总悬浮质,是指在水流中悬浮运动的泥沙量)通量随季节变化统计图,流入为正流出为负。读图回答各小题。 <image1> 引起该湖泊TSS通量季节变化的直接原因有1流域内降水变化2湖水流向变化3上游地区植被破坏4当地围湖造田",original_zh,12,109,10.1839
geography\geosqa,climate_weather_seasons,气候、天气与季节,geosqa00380,geosqa00380.json,"读“沿某一理想大陆45°N所作的剖面示意图”, 回答下列问题。 <image1> 若图中M、N表示近地面的等压面,则关于该季节近地面盛行风向,正确的是( )","读“沿某一理想大陆45°N所作的剖面示意图”, 回答下列问题。 <image1> 若图中M、N表示近地面的等压面,则关于该季节近地面盛行风向,正确的是( )",original_zh,4吹向5,57,9.1798
geography\geosqa,climate_weather_seasons,气候、天气与季节,geosqa01524,geosqa01524.json,"去冬今春,我国大部分地区多次出现强沙尘暴,滚滚黄沙越过秦岭大巴山,对四川盆地部分城市天气情况产生了明显的影响。以下材料是20世纪下半叶我国强沙尘暴频率与土地沙化速度统计表。据此回答下列各题。 <image1> 表中显示我国的土地沙化速度从20世纪50年代到90年代在不断加快,其原因可能是","去冬今春,我国大部分地区多次出现强沙尘暴,滚滚黄沙越过秦岭大巴山,对四川盆地部分城市天气情况产生了明显的影响。以下材料是20世纪下半叶我国强沙尘暴频率与土地沙化速度统计表。据此回答下列各题。 <image1> 表中显示我国的土地沙化速度从20世纪50年代到90年代在不断加快,其原因可能是",original_zh,西北干旱地区生态环境的进一步恶化,125,9.8599
