dataset,final_category,final_category_zh,canonical_sample_id,sample_file,source_problem_id,question,question_zh,translation_status,answer,question_units,complexity_index
chemistry\sciverse_chemistry,stoichiometry_reaction_calculation,化学计量与反应计算,sciversechemistry00116,sciversechemistry00116.json,344,The graph shown below depicts the relationship between concentration and time for the following chemical reaction. The slope of this line is equal to __________.,下图显示了某化学反应中浓度与时间的关系。该直线的斜率等于什么？,human_curated_zh,$-k$,24,7.1146
chemistry\sciverse_chemistry,molecular_structure_smiles_bonds,分子结构、键与 SMILES,sciversechemistry00163,sciversechemistry00163.json,262,"A Lewis diagram of the hydrogen phosphate ion is shown below. Based on this diagram, which of the atoms would have a negative formal charge?",下方展示了磷酸氢根离子的 Lewis 图。根据该图，哪些原子带负形式电荷？,human_curated_zh,$Oz$,25,7.1344
chemistry\sciverse_chemistry,equilibrium_kinetics_gas,化学平衡、动力学与气体,sciversechemistry00157,sciversechemistry00157.json,290,What is the approximate molar solubility of zinc iodate at 25°C? Zinc iodate dissociates in water via the following equilibrium process,25°C 时碘酸锌的近似摩尔溶解度是多少？碘酸锌在水中按以下平衡过程解离。,human_curated_zh,$1.0 \times 10^{-2}$ M,22,6.5183
chemistry\sciverse_chemistry,thermochemistry_calorimetry,热化学与量热,sciversechemistry00103,sciversechemistry00103.json,341,"On the phase diagram above, segment $\_\_\_\_\_\_\_\_\_$ corresponds to the conditions of temperature and pressure under which the solid and the gas of the substance are in equilibrium.",在上方相图中，哪一段对应于该物质固体与气体处于平衡的温度和压强条件？,human_curated_zh,AC,27,6.7232
chemistry\sciverse_chemistry,acid_base_solution,酸碱与溶液性质,sciversechemistry00180,sciversechemistry00180.json,287,"The photoelectron spectrum of an element is below. Based on the spectrum, what is the charge on the most common ion of the element?",下方是某元素的光电子能谱。根据谱图，该元素最常见离子的电荷是多少？,human_curated_zh,2,24,6.2789
chemistry\sciverse_chemistry,isomer_stereochemistry_nomenclature,异构、立体化学与命名,sciversechemistry00006,sciversechemistry00006.json,873,请给出下列化合物的 IUPAC 命名或结构式: \begin{center} \includegraphics[scale=0.5]{q_11937_001.png} \end{center},请给出下列化合物的 IUPAC 命名或结构式：\begin{center} \includegraphics[scale=0.5]{q_11937_001.png} \end{center},human_curated_zh,$-methyl-4-propyl-4-octene-2-acetylene$,27,6.4701
chemistry\sciverse_chemistry,lab_graph_data_interpretation,实验图表与数据分析,sciversechemistry00148,sciversechemistry00148.json,320,Pictured below is a schematic of the Rutherford experiment. Which scattered particle gives the best evidence for the nuclear atom?,下图是 Rutherford 实验示意图。哪一个散射粒子最能支持核式原子模型？,human_curated_zh,A,20,6.9197
chemistry\sciverse_chemistry,electrochemistry_redox,电化学与氧化还原,sciversechemistry00135,sciversechemistry00135.json,348,Consider the following table of $K_{sp}$ values. The solubility of manganese hydroxide ($Mn(OH)_2$) is $2.2 \times 10^{-5}$ M. What is the $K_{sp}$ of $Mn(OH)_2$?,考虑下列 $K_{sp}$ 数值表。氢氧化锰 $Mn(OH)_2$ 的溶解度为 $2.2 \times 10^{-5}$ M。$Mn(OH)_2$ 的 $K_{sp}$ 是多少？,human_curated_zh,$4.3 \times 10^{-14}$,31,8.1444
chemistry\sciverse_chemistry,periodic_atomic_bonding,周期律、原子与成键,sciversechemistry00128,sciversechemistry00128.json,155,The following diagram shows the relative atomic sizes of three different elements from the same period. Which of the following statements must be true?,下图显示同一周期中三种元素的相对原子大小。以下哪项一定正确？,human_curated_zh,The electronegativity value will be greatest in element Z,24,7.3224
chemistry\sciverse_chemistry,chemistry_other,化学综合题,sciversechemistry00240,sciversechemistry00240.json,317,Use the PES spectra below to answer questions. An electron from which peak would have the greatest velocity after ejection?,请用下方 PES 谱回答问题。被哪个峰对应的电子射出后速度最大？,human_curated_zh,The peak at 1.76 MJ/mol,20,6.2006
chemistry\sciverse_chemistry,organic_reaction_mechanism,有机反应机理,sciversechemistry00003,sciversechemistry00003.json,919,"下列卤代烃 $\ce{CH3CH2CH2Br}$、$\ce{(CH3)3CCl}$、$\ce{CH3CH(Br)CH3}$ 和 $\ce{(CH3)2C(Br)CH3}$ 按 $\mathrm{S_{N}1}$ 反应机理进行反应时,反应最快的是 $\ce{(CH3)3CCl}$。",下列卤代烃 $\ce{CH3CH2CH2Br}$、$\ce{(CH3)3CCl}$、$\ce{CH3CH(Br)CH3}$ 和 $\ce{(CH3)2C(Br)CH3}$ 按 $\mathrm{S_{N}1}$ 反应机理进行反应时，反应最快的是 $\ce{(CH3)3CCl}$。,human_curated_zh,right,59,8.0098
