dataset,final_category,final_category_zh,count,share_pct,definition_zh,source_rule
math\mathvision,geometry_angle_chasing,几何角度追踪,908,48.32,需要运用“几何角度追踪”相关知识或解法的题目。,mapped:geometry_angle_chasing
math\mathvision,geometry_length_area_volume,几何长度、面积与体积,496,26.4,需要运用“几何长度、面积与体积”相关知识或解法的题目。,mapped:geometry_length_area_volume
math\mathvision,math_other,数学综合题,174,9.26,需要运用“数学综合题”相关知识或解法的题目。,mapped:math_other
math\mathvision,coordinate_geometry_transform,坐标几何与变换,64,3.41,需要运用“坐标几何与变换”相关知识或解法的题目。,mapped:coordinate_geometry_transform
math\mathvision,counting_probability_combinatorics,计数、概率与组合,49,2.61,需要运用“计数、概率与组合”相关知识或解法的题目。,mapped:counting_probability_combinatorics
math\mathvision,visual_spatial_puzzle,视觉空间与拼图推理,43,2.29,需要运用“视觉空间与拼图推理”相关知识或解法的题目。,mapped:visual_spatial_puzzle
math\mathvision,number_theory_arithmetic,数论与算术,42,2.24,需要运用“数论与算术”相关知识或解法的题目。,mapped:number_theory_arithmetic
math\mathvision,measurement_time_units,时间、单位与度量,36,1.92,需要运用“时间、单位与度量”相关知识或解法的题目。,mapped:measurement_time_units
math\mathvision,statistics_data_analysis,统计与数据分析,32,1.7,需要运用“统计与数据分析”相关知识或解法的题目。,mapped:statistics_data_analysis
math\mathvision,sequence_pattern_logic,序列、规律与逻辑,24,1.28,需要运用“序列、规律与逻辑”相关知识或解法的题目。,mapped:sequence_pattern_logic
math\mathvision,algebra_equation_inequality,代数方程与不等式,11,0.59,需要运用“代数方程与不等式”相关知识或解法的题目。,mapped:algebra_equation_inequality
