dataset,final_category,final_category_zh,canonical_sample_id,sample_file,question,question_zh,translation_status,answer,question_units,complexity_index
physics\sciverse_physics,mechanics_kinematics_dynamics,力学、运动学与动力学,sciversephysics00193,sciversephysics00193.json,"Consider the following circuit, At what rate does the battery deliver energy to the circuit?",,pending_translation,240,15,6.393
physics\sciverse_physics,mechanics_kinematics_dynamics,力学、运动学与动力学,sciversephysics00236,sciversephysics00236.json,"Calculate the steady-state voltage, $v_c(t)$, for the network shown in this figure.",,pending_translation,$\\sqrt{2} \\cos[\\frac{2}{3}t]$,15,6.4321
physics\sciverse_physics,mechanics_kinematics_dynamics,力学、运动学与动力学,sciversephysics00220,sciversephysics00220.json,Which graph above best shows the maximum kinetic energy $K$ of the photoelectrons as a function of the frequency of incident light?,,pending_translation,A,22,6.2962
physics\sciverse_physics,mechanics_kinematics_dynamics,力学、运动学与动力学,sciversephysics00183,sciversephysics00183.json,"For the ladder network shown in the figure, find the phase of $V_{out}$ if $V_{in}$ = 100 $\angle{0}$ mV. Return the angular degree.",,pending_translation,141,25,6.9457
physics\sciverse_physics,mechanics_kinematics_dynamics,力学、运动学与动力学,sciversephysics00205,sciversephysics00205.json,Given the graph of the velocity vs. time of a duck flying due south for the winter. At what point did the duck stop its forward motion?,,pending_translation,D,27,7.2022
physics\sciverse_physics,mechanics_kinematics_dynamics,力学、运动学与动力学,sciversephysics00224,sciversephysics00224.json,An object shown in the accompanying figure moves in a uniform circular motion. Which arrow best depicts the net force acting on the object at the instant shown?,,pending_translation,B,28,7.48
physics\sciverse_physics,mechanics_kinematics_dynamics,力学、运动学与动力学,sciversephysics00122,sciversephysics00122.json,"一个质量为 50.0g 的球从左向右运动,撞击墙壁后反向弹回。通过慢动作视频分析得到球的水平位移与时间的关系图。请根据给定信息确定球在撞击过程中动量的变化量。 A. +0.05kg·m/s B. +0.45kg·m/s C. -0.45kg·m/s D. -0.05kg·m/s","一个质量为 50.0g 的球从左向右运动,撞击墙壁后反向弹回。通过慢动作视频分析得到球的水平位移与时间的关系图。请根据给定信息确定球在撞击过程中动量的变化量。 A. +0.05kg·m/s B. +0.45kg·m/s C. -0.45kg·m/s D. -0.05kg·m/s",original_zh,+0.45kg $\times$ m/s,90,10.5289
physics\sciverse_physics,mechanics_kinematics_dynamics,力学、运动学与动力学,sciversephysics00062,sciversephysics00062.json,"质量为 $M$ 的小块通过一根弦连接到无摩擦皮带轮上的绳子,另一端连接到质量为 $M'$ 的较重块。小块静止于倾角为 $\theta$ 的斜面上,较重块悬挂在边缘处,如图所示。为了防止整个系统发生运动,所需的最小静止摩擦系数为: \begin{enumerate}[A.] \item $\frac{Mg\sin\theta}{M'g-Mg\cos\theta}$ \item $\frac{M'g-Mg\sin\theta}{Mg\cos\theta}$ \item $\frac{Mg-M'g\sin\theta}{M'g\cos\theta}$ \item $\frac{Mg-M'g\cos\theta}{M'g\sin\theta}$ \end{enumerate}","质量为 $M$ 的小块通过一根弦连接到无摩擦皮带轮上的绳子,另一端连接到质量为 $M'$ 的较重块。小块静止于倾角为 $\theta$ 的斜面上,较重块悬挂在边缘处,如图所示。为了防止整个系统发生运动,所需的最小静止摩擦系数为: \begin{enumerate}[A.] \item $\frac{Mg\sin\theta}{M'g-Mg\cos\theta}$ \item $\frac{M'g-Mg\sin\theta}{Mg\cos\theta}$ \item $\frac{Mg-M'g\sin\theta}{M'g\cos\theta}$ \item $\frac{Mg-M'g\cos\theta}{M'g\sin\theta}$ \end{enumerate}",original_zh,$\frac{Mg-mgsin\theta}{mg\cos\theta}$,130,8.9644
physics\sciverse_physics,mechanics_kinematics_dynamics,力学、运动学与动力学,sciversephysics00098,sciversephysics00098.json,"上图显示了四个相同形状的磁盘,每个磁盘都在其中心固定的旋转轴上。磁盘IV的转动惯量是磁盘I、II和III的两倍。如图所示,每个磁盘受到不同的力。请排序这四个磁盘的角加速度大小。 A. III > II = IV > I B. I = II = III = IV C. II = IV > I = III D. II > I = III = IV","上图显示了四个相同形状的磁盘,每个磁盘都在其中心固定的旋转轴上。磁盘IV的转动惯量是磁盘I、II和III的两倍。如图所示,每个磁盘受到不同的力。请排序这四个磁盘的角加速度大小。 A. III > II = IV > I B. I = II = III = IV C. II = IV > I = III D. II > I = III = IV",original_zh,II > I = III = IV,97,10.5944
physics\sciverse_physics,mechanics_kinematics_dynamics,力学、运动学与动力学,sciversephysics00125,sciversephysics00125.json,"在实验室中,轨道上的两个手推车在如图所示的布置中发生碰撞。碰撞前,质量为 $2\,\mathrm{kg}$ 的推车通过光路 1 进行了速度测量。质量为 $0.25\,\mathrm{kg}$ 的推车最初静止。碰撞后,两推车互相反弹。光路 2 测量了每个推车的速度。 一位学生发现,在碰撞后将两推车的动量相加,所得值大于碰撞前质量为 $2\,\mathrm{kg}$ 推车的动量。以下哪项是该差异的合理解释? A. 轨道可能倾斜,使推车下坡运动。 B. 读取光路测量值时可能存在人为误差。 C. 推车与轨道间的摩擦力不可忽略。 D. 碰撞过程不完全弹性。","在实验室中,轨道上的两个手推车在如图所示的布置中发生碰撞。碰撞前,质量为 $2\,\mathrm{kg}$ 的推车通过光路 1 进行了速度测量。质量为 $0.25\,\mathrm{kg}$ 的推车最初静止。碰撞后,两推车互相反弹。光路 2 测量了每个推车的速度。 一位学生发现,在碰撞后将两推车的动量相加,所得值大于碰撞前质量为 $2\,\mathrm{kg}$ 推车的动量。以下哪项是该差异的合理解释? A. 轨道可能倾斜,使推车下坡运动。 B. 读取光路测量值时可能存在人为误差。 C. 推车与轨道间的摩擦力不可忽略。 D. 碰撞过程不完全弹性。",original_zh,The track might have been slanted such that the carts were moving downhill,194,9.3142
