dataset,canonical_sample_id,sample_file,source_problem_id,final_category,final_category_zh,question,question_zh,translation_status,answer,question_units,complexity_index,multi_step_score,visual_kinds
math\geoqa_plus,geoqaplus00000,geoqaplus00000.json,1815,geometry_length_area_volume,几何长度、面积与体积,The shaded area is equal to $2 \pi$. What is the length of $PQ$? <image1>,,not_translated_in_full_list,4,16,7.501,0.3917,generic_visual
math\geoqa_plus,geoqaplus00001,geoqaplus00001.json,1685,number_theory_arithmetic,数论与算术,A student correctly added the two two-digit numbers on the left of the board and got the answer 137. What answer will she obtain if she adds the two four-digit numbers on the right of the board?,,not_translated_in_full_list,13837,39,7.8661,0.4097,wide_diagram
math\geoqa_plus,geoqaplus00002,geoqaplus00002.json,982,visual_spatial_puzzle,视觉空间与拼图推理,Alice has four jigsaw pieces. <image1> Which two can be fitted together to form a hexagon?,,not_translated_in_full_list,1 and 3,17,6.6571,0.3017,wide_diagram
math\geoqa_plus,geoqaplus00003,geoqaplus00003.json,661,geometry_length_area_volume,几何长度、面积与体积,If a laser beam hits a mirror it changes its direction (see left diagram). Each mirror has mirrored sides on both sides. At which letter does the laser beam end? <image1>,,not_translated_in_full_list,B,32,8.0102,0.4547,wide_diagram
math\geoqa_plus,geoqaplus00004,geoqaplus00004.json,1024,geometry_angle_chasing,几何角度追踪,A rectangle is divided into 7 squares. The sides of the grey squares are all 8. What is the side of the great white square? <image1>,,not_translated_in_full_list,18,27,8.4857,0.4367,geometry_diagram
math\geoqa_plus,geoqaplus00005,geoqaplus00005.json,1544,geometry_angle_chasing,几何角度追踪,"By drawing 9 lines, 5 horizontal and 4 vertical, one can form 12 small rectangles, as shown on the right. What is the greatest possible number of small rectangles one can form by drawing 15 lines, either horizontal or vertical? <image1>",,not_translated_in_full_list,42,42,8.4299,0.3917,geometry_diagram
math\geoqa_plus,geoqaplus00006,geoqaplus00006.json,536,sequence_pattern_logic,序列、规律与逻辑,"Peter rides his bike along a cycle path in a park. He starts at point $S$ and rides in the direction of the arrow. At the first crossing he turns right, then at the next left, and then again to the right and then again to left. Which crossing does he not reach? <image1>",,not_translated_in_full_list,D,55,8.1172,0.3467,geometry_diagram
math\geoqa_plus,geoqaplus00007,geoqaplus00007.json,1895,geometry_angle_chasing,几何角度追踪,"Several non-overlapping isosceles triangles have vertex $O$ in common. Every triangle shares an edge with each immediate neighbour. The smallest of the angles at $O$ has size $m^{\circ}$, where $m$ is a positive integer and the other triangles have angles at $O$ of size $2m^{\circ}, 3m^{\circ}, 4m^{\circ}$, and so on. The diagram shows an arrangement of five such triangles. What is the smallest value of $m$ for which such a set of triangles exists? <image1>",,not_translated_in_full_list,3,84,9.7157,0.5267,geometry_diagram
math\geoqa_plus,geoqaplus00008,geoqaplus00008.json,1138,counting_probability_combinatorics,计数、概率与组合,"Seven identical dice (each with 1, 2, 3, 4, 5 and 6 points on their faces) are glued together to form the solid shown. Faces that are glued together each have the same number of points. How many points can be seen on the surface of the solid?",,not_translated_in_full_list,105,48,7.9559,0.3197,geometry_diagram
math\geoqa_plus,geoqaplus00009,geoqaplus00009.json,1985,geometry_angle_chasing,几何角度追踪,"A square of side-length $30 \mathrm{~cm}$ is divided into nine smaller identical squares. The large square contains three circles with radii $5 \mathrm{~cm}$ (bottom right), $4 \mathrm{~cm}$ (top left), and $3 \mathrm{~cm}$ (top right), as shown. What is the total area of the shaded part?",,not_translated_in_full_list,$500 \mathrm{~cm}^{2}$,50,8.7581,0.4547,geometry_diagram
math\geoqa_plus,geoqaplus00010,geoqaplus00010.json,1787,geometry_angle_chasing,几何角度追踪,"Andrew wants to write the numbers $1,2,3,4,5,6$ and 7 in the circles in the diagram so that the sum of the three numbers joined by each straight line is the same. Which number should he write in the top circle? <image1>",,not_translated_in_full_list,4,47,8.7571,0.4867,geometry_diagram
math\geoqa_plus,geoqaplus00011,geoqaplus00011.json,1160,geometry_length_area_volume,几何长度、面积与体积,"Bernd produces steps for a staircase which are 15 cm high and 15 cm deep (see diagram). The staircase should reach from the ground floor to the first floor, which is 3 m higher. How many steps does Bernd have to produce?",,not_translated_in_full_list,20,42,8.511,0.4147,wide_diagram
math\geoqa_plus,geoqaplus00012,geoqaplus00012.json,1706,math_puzzle_logic,数学谜题与逻辑推理,"Werner wants to write a number at each vertex and on each edge of the rhombus. The sum of the numbers at the two vertices at the ends of each edge is equal to the number written on that edge. In the diagram, three edges are labeled 8, 9, and 13, and one edge is marked with a question mark. What number should he write on the edge marked with the question mark?",,not_translated_in_full_list,12,73,9.0304,0.4867,generic_visual
math\geoqa_plus,geoqaplus00013,geoqaplus00013.json,1079,geometry_angle_chasing,几何角度追踪,The figure on the left consists of two rectangles. Two side lengths are marked: 11 and 13. The figure is cut into three parts along the two lines drawn inside. These can be put together to make the triangle shown on the right. How long is the side marked $\mathrm{x}$?,,not_translated_in_full_list,37,51,8.8224,0.3917,geometry_diagram
math\geoqa_plus,geoqaplus00014,geoqaplus00014.json,1971,math_puzzle_logic,数学谜题与逻辑推理,"A ladybird aims to travel from hexagon $\mathrm{X}$ to hexagon $\mathrm{Y}$, passing through each of the seven unshaded hexagons once and only once. She can move from one hexagon to another only through a common edge. How many different routes could she take?",,not_translated_in_full_list,5,45,7.3924,0.2567,generic_visual
math\geoqa_plus,geoqaplus00015,geoqaplus00015.json,825,geometry_length_area_volume,几何长度、面积与体积,"Numbers are written in the $4 \times 4$ grid: any two numbers in neighbouring squares should have a difference of 1, that is, squares that share an edge. The number 3 is already given. The number 9 will be used somewhere in the grid. How many different numbers will have been used once the grid is filled in completely?",,not_translated_in_full_list,7,59,9.0171,0.3917,generic_visual
math\geoqa_plus,geoqaplus00016,geoqaplus00016.json,1719,geometry_angle_chasing,几何角度追踪,The diagram on the right shows a large triangle divided into squares and triangles. $S$ is the number of squares of any size in the diagram and $T$ is the number of triangles of any size in the diagram. What is the value of $S \times T$?,,not_translated_in_full_list,70,47,8.2365,0.3917,geometry_diagram
math\geoqa_plus,geoqaplus00017,geoqaplus00017.json,1692,geometry_length_area_volume,几何长度、面积与体积,The diagram shows a $3 \times 4 \times 5$ cuboid consisting of 60 identical small cubes. A termite eats its way along the diagonal from $P$ to $Q$. This diagonal does not intersect the edges of any small cube inside the cuboid. How many of the small cubes does it pass through on its journey?,,not_translated_in_full_list,10,55,8.0864,0.3017,dense_diagram
math\geoqa_plus,geoqaplus00018,geoqaplus00018.json,1154,geometry_angle_chasing,几何角度追踪,The diagram shows Maria's square tablecloth to scale. All small light squares are equally big and their diagonals are parallel to the sides of the table cloth. Which part of the whole table cloth is black? <image1>,,not_translated_in_full_list,$32 \%$,38,8.8226,0.4367,generic_visual
math\geoqa_plus,geoqaplus00019,geoqaplus00019.json,1821,geometry_angle_chasing,几何角度追踪,"The diagram shows 3 semicircular arcs with the endpoints $A, B$ of one arc and the centres $E, F$ of the other two arcs at the vertices of a rectangle. What is the area of the shaded region when the radius of each semicircle is $2 \mathrm{~cm}$?",,not_translated_in_full_list,$8 \mathrm{cm}^{2}$,48,8.0848,0.3467,geometry_diagram
math\geoqa_plus,geoqaplus00020,geoqaplus00020.json,1091,geometry_angle_chasing,几何角度追踪,"In square $ABCD$, $M$ is the midpoint of $AB$. $MN$ is perpendicular to $AC$. Determine the ratio of the area of the grey triangle to the area of square $ABCD$.",,not_translated_in_full_list,$3:16$,30,7.0563,0.3017,geometry_diagram
math\geoqa_plus,geoqaplus00021,geoqaplus00021.json,577,geometry_length_area_volume,几何长度、面积与体积,Leonie has hidden a Smiley behind some of the grey boxes. The numbers state how many Smileys there are in the neighbouring boxes. Two boxes are neighbouring if they have one side or one corner in common. How many Smileys has Leonie hidden? <image1>,,not_translated_in_full_list,5,45,9.0054,0.4417,dense_diagram
math\geoqa_plus,geoqaplus00022,geoqaplus00022.json,1607,geometry_angle_chasing,几何角度追踪,The area of rectangle $P Q R S$ is $10 \mathrm{~cm}^{2}$. Points $M$ and $N$ are the midpoints of the sides $P Q$ and $S R$. What is the area in $\mathrm{cm}^{2}$ of quadrilateral MRNP?,,not_translated_in_full_list,5,39,7.8951,0.3647,geometry_diagram
math\geoqa_plus,geoqaplus00023,geoqaplus00023.json,1463,counting_probability_combinatorics,计数、概率与组合,In the $4 \times 4$ table some cells must be painted black. The numbers next to and below the table show how many cells in that row or column must be black. In how many ways can this table be painted? <image1>,,not_translated_in_full_list,5,43,8.8916,0.3917,generic_visual
math\geoqa_plus,geoqaplus00024,geoqaplus00024.json,1687,geometry_length_area_volume,几何长度、面积与体积,"Costa is building a new fence in his garden. He uses 25 planks of wood, each of which is $30 \mathrm{~cm}$ long. He arranges these planks so that there is the same slight overlap between any two adjacent planks, as shown in the diagram. The total length of Costa's new fence is 6.9 metres. What is the length in centimetres of the overlap between any pair of adjacent planks?",,not_translated_in_full_list,2.5,70,8.5753,0.4867,wide_diagram
