dataset,final_category,final_category_zh,canonical_sample_id,sample_file,question,question_zh,translation_status,answer,question_units,complexity_index
math\geometry3k,angle_chasing,几何角度追踪,geometry3k00133,geometry3k00133.json,Find $\angle 8$.,,pending_translation,90,3,5.1506
math\geometry3k,angle_chasing,几何角度追踪,geometry3k00446,geometry3k00446.json,Find $\angle 6$.,,pending_translation,110,3,5.0752
math\geometry3k,angle_chasing,几何角度追踪,geometry3k00462,geometry3k00462.json,Find $\angle V$,,pending_translation,46,3,5.0735
math\geometry3k,angle_chasing,几何角度追踪,geometry3k00706,geometry3k00706.json,Find $\angle 10$,,pending_translation,50,3,5.0755
math\geometry3k,angle_chasing,几何角度追踪,geometry3k00717,geometry3k00717.json,Find $\angle 7$,,pending_translation,98,3,5.0736
math\geometry3k,angle_chasing,几何角度追踪,geometry3k00583,geometry3k00583.json,Triangle $JKL$ is circumscribed about $\odot R$. Find the perimeter of $\triangle JKL$.,,pending_translation,52,13,6.1004
math\geometry3k,angle_chasing,几何角度追踪,geometry3k00485,geometry3k00485.json,Find the area of the triangle. Round to the nearest hundredth.,,pending_translation,0.92,11,6.1753
math\geometry3k,angle_chasing,几何角度追踪,geometry3k00291,geometry3k00291.json,Point $S$ is the incenter of $\triangle JPL$. Find $m\angle MPQ$.,,pending_translation,56,12,5.9495
math\geometry3k,angle_chasing,几何角度追踪,geometry3k00175,geometry3k00175.json,$\triangle ABC$ is an isosceles triangle with base $BC$. What is the perimeter of the triangle?,,pending_translation,40,16,6.5234
math\geometry3k,angle_chasing,几何角度追踪,geometry3k00555,geometry3k00555.json,Use parallelogram ABCD to find $m\angle BDC$,,pending_translation,87.9,8,5.6483
math\geometry3k,angle_chasing,几何角度追踪,geometry3k00827,geometry3k00827.json,Find the measure of $\angle 8$ if $\overline{A B} \perp \overline{B C}$.,,pending_translation,14,14,6.2236
math\geometry3k,angle_chasing,几何角度追踪,geometry3k00649,geometry3k00649.json,Use parallelogram MNPR to find $m \angle MQR$.,,pending_translation,83,8,5.8932
