dataset,final_category,final_category_zh,canonical_sample_id,sample_file,question,question_zh,translation_status,answer,question_units,complexity_index
physics\physreason,mechanics_kinematics_dynamics,力学、运动学与动力学,physreason00378,physreason00378.json,"The frequency of the car horn decreases from $1200\mathrm{Hz}$ to $1000\mathrm{Hz}$, and the speed of sound in air is known to be $330\mathrm{m/s}$. 1. Find the magnitude of the car's velocity.",,pending_translation,30,38,6.4484
physics\physreason,mechanics_kinematics_dynamics,力学、运动学与动力学,physreason00792,physreason00792.json,"A certain mass of ideal gas undergoes a process from state A through state B to state C, as shown in the $p-\frac{1}{V}$ diagram. Determine the heat $Q$ absorbed by the gas during this process.",,pending_translation,"$2 \times 10^5 \,\mathrm{J}$",38,7.5799
physics\physreason,mechanics_kinematics_dynamics,力学、运动学与动力学,physreason00579,physreason00579.json,"A spring oscillator starts vibrating for the first time after the spring is compressed by $x$, and for the second time after the spring is compressed by $2x$. Find the ratio of the amplitudes of the two oscillations.",,pending_translation,1/2,39,6.0989
physics\physreason,mechanics_kinematics_dynamics,力学、运动学与动力学,physreason00039,physreason00039.json,"Given that the mass of Jupiter's moon Europa is $m$, the radius of its circular orbit around Jupiter is $r$, the period of its orbit around Jupiter is $T$, and the gravitational constant is $G$. 1. What is the mass $M$ of Jupiter?",,pending_translation,$M={\frac{4\pi^{2}r^{3}}{G T^{2}}}$,43,6.6782
physics\physreason,mechanics_kinematics_dynamics,力学、运动学与动力学,physreason00251,physreason00251.json,A car traveling at a constant speed of $20\mathrm{m/s}$ reduces its speed by half after braking for 4 seconds. 1. The magnitude of the acceleration after the car brakes. 2. The speed and displacement of the car after braking for 10 seconds.,,pending_translation,"$2.5\mathrm{m}/\mathrm{s}^{2}$ 0, $80\mathrm{m}$",45,8.1575
physics\physreason,mechanics_kinematics_dynamics,力学、运动学与动力学,physreason00762,physreason00762.json,"In a technological innovation activity, a student named Xiaohua designed a magnetic transport vehicle operated by a robot, based on the principle of like magnetic poles repelling each other. Xiaohua tested the vehicle on the road surface shown in Figure B, where segment AB is a rough inclined plane with a coefficient of kinetic friction $\upmu = 0.2$ and an inclination angle of $\alpha = 37^\circ$, segment BC is a smooth horizontal plane, and a rough sandpaper is placed to the left of point C...",,pending_translation,0.1 2m/s^2 14.4N 2.81m,234,15.0583
physics\physreason,mechanics_kinematics_dynamics,力学、运动学与动力学,physreason00622,physreason00622.json,"As shown in Figure (1), a coil with N = 200 turns (only 2 turns are drawn in the figure) has a resistance of r = 2Ω. Its two ends are connected to a resistor of R = 48Ω. There is a magnetic field pointing into the paper within the coil. The magnetic flux through the coil changes according to the pattern shown in Figure (2). 1. Determine the direction of the current passing through the resistor R. 2. Calculate the induced electromotive force E generated by the coil. 3. Calculate the voltage U...",,pending_translation,a → b 10V 9.6V,95,12.1564
physics\physreason,mechanics_kinematics_dynamics,力学、运动学与动力学,physreason00372,physreason00372.json,"Radiation pressure from the sun is responsible for cleaning out the inner solar system of small particles. The force of radiation on a spherical particle of radius $r$ is given by $F = P Q \pi r^2$, where $P$ is the radiation pressure and $Q$ is a dimensionless quality factor. Throughout this problem, assume the sun emits a single wavelength $\lambda_{\text{max}} = 500 \text{ nm}$. Use the following constants: $g = 9.8 \text{ N/kg}$, $G = 6.67 \times 10^{-11} \text{ N m}^2/\text{kg}^2$, $c =...",,pending_translation,$P=\frac{L \odot}{4 \pi R^{2} c}$ $\frac{F_{\text {radiation }}}{F_{\text {gravity }}}=\frac{3 L_{\odot}}{16 \pi G c M_{\odot} \rho} \frac{Q}{r}$ $v=\sqrt{\frac{G M_{\odot}}{R}}$ $\tau=-\frac{v}{c} \frac{L \odot}{4 R...,358,15.1534
physics\physreason,mechanics_kinematics_dynamics,力学、运动学与动力学,physreason00212,physreason00212.json,"The successful launch of ""Chang'e-1"" marked a significant step towards realizing the Chinese nation's millennia-old dream of reaching the moon. It is known that the orbit of ""Chang'e-1"" around the moon is approximately circular, with an altitude of $H$ above the lunar surface, a flight period of $T$, a lunar radius of $R$, and a gravitational constant of $G$. 1. The linear velocity of ""Chang'e-1"" during its lunar orbit. 2. The mass of the Moon 3. If a spacecraft is launched to perform uniform...",,pending_translation,$\frac{2\pi(R+H)}{T}$ $\frac{4\pi^{2}(R+H)^{3}}{G T^{2}}$ $\frac{2\pi\big(R+H\big)}{T}\sqrt{\frac{R+H}{R}}$,103,9.4636
physics\physreason,mechanics_kinematics_dynamics,力学、运动学与动力学,physreason00732,physreason00732.json,"The $500m$ short track speed skating world record is held by Chinese athlete Wu Dajing. In the record-breaking race, Wu Dajing started from rest and accelerated along a straight path, covering the first $8m$ in 2s. This process can be regarded as a uniformly accelerated linear motion. During a certain turn, the motion can be approximated as uniform circular motion with a radius of $10m$ and a speed of $14m/s$. Given that Wu Dajing's mass is $73\mathrm{kg}$, neglect air resistance, take the ma...",,pending_translation,$4m/s^{2}$ 1430.8N $27^{\circ}$,231,13.9715
