dataset,canonical_sample_id,sample_file,source_problem_id,final_category,final_category_zh,question,question_zh,translation_status,answer,question_units,complexity_index,multi_step_score,visual_kinds
physics\multi_physics,multiphysics00000,multiphysics00000.json,535,mechanics_kinematics_dynamics,力学、运动学与动力学,如图所示，质量为4kg的物体A静止在竖直的轻弹簧上面。质量为1kg的物体B用细线悬挂起来，A、B紧挨在一起，但A、B之间无压力。某时刻将细线剪断，则细线剪断瞬间，B对A的压力大小为（取g=10$\mathrm{m/s^{2}}$）（）,如图所示，质量为4kg的物体A静止在竖直的轻弹簧上面。质量为1kg的物体B用细线悬挂起来，A、B紧挨在一起，但A、B之间无压力。某时刻将细线剪断，则细线剪断瞬间，B对A的压力大小为（取g=10$\mathrm{m/s^{2}}$）（）,original_zh,8N,86,8.6144,0.3287,generic_visual
physics\multi_physics,multiphysics00001,multiphysics00001.json,174,electromagnetism_circuits,电磁学与物理电路,矩形闭合线圈abcd竖直放置，OO′是它的对称轴，通电直导线AB与OO′平行，且AB、OO′所在平面与线圈平面垂直。若要在线圈中产生abcda方向的感应电流，可行的做法是（ ）,矩形闭合线圈abcd竖直放置，OO′是它的对称轴，通电直导线AB与OO′平行，且AB、OO′所在平面与线圈平面垂直。若要在线圈中产生abcda方向的感应电流，可行的做法是（ ）,original_zh,线圈绕OO′轴逆时针转动90°（俯视）,64,6.203,0.2567,
physics\multi_physics,multiphysics00002,multiphysics00002.json,220,mechanics_kinematics_dynamics,力学、运动学与动力学,如图所示，处在垂直纸面向外、磁感应强度大小为 B 的匀强磁场中的矩形线框 MNPQ，以恒定的角速度 ω 绕对角线 NQ 转动。已知 MN 长为 $l_{1}$，NP 长为 $l_{2}$，线框电阻为 R。在 t=0 时刻线框平面与纸面重合，下列说法正确的是（ ）,如图所示，处在垂直纸面向外、磁感应强度大小为 B 的匀强磁场中的矩形线框 MNPQ，以恒定的角速度 ω 绕对角线 NQ 转动。已知 MN 长为 $l_{1}$，NP 长为 $l_{2}$，线框电阻为 R。在 t=0 时刻线框平面与纸面重合，下列说法正确的是（ ）,original_zh,ABD,87,9.427,0.364,wide_diagram
physics\multi_physics,multiphysics00003,multiphysics00003.json,13,mechanics_kinematics_dynamics,力学、运动学与动力学,如图所示曲线为一质点沿 y 轴运动的位置—时间（y-t）图像，设竖直向上为 y 轴正方向，已知图线为一条抛物线，则由图像可知。,如图所示曲线为一质点沿 y 轴运动的位置—时间（y-t）图像，设竖直向上为 y 轴正方向，已知图线为一条抛物线，则由图像可知。,original_zh,$t_1\sim_{t_3}$时间内质点相对坐标原点O的位移先为正后为负,51,7.4605,0.3107,generic_visual
physics\multi_physics,multiphysics00004,multiphysics00004.json,729,mechanics_kinematics_dynamics,力学、运动学与动力学,如图所示，两位同学在体育课上进行传接篮球训练，甲同学将篮球从A点抛给乙（篮球运动的轨迹如图中实线1所示），乙在B点接住然后又将篮球传给甲（篮球运动的轨迹如图中虚线2所示）。已知篮球在空中运动的最大高度恰好相同。若忽略空气阻力，则下列说法中正确的是（ ）,如图所示，两位同学在体育课上进行传接篮球训练，甲同学将篮球从A点抛给乙（篮球运动的轨迹如图中实线1所示），乙在B点接住然后又将篮球传给甲（篮球运动的轨迹如图中虚线2所示）。已知篮球在空中运动的最大高度恰好相同。若忽略空气阻力，则下列说法中正确的是（ ）,original_zh,篮球落到B点前的瞬间重力做功的功率等于落到C点（与A、B两点高度相同）前的瞬间重力做功的功率,113,8.671,0.3017,dense_diagram
physics\multi_physics,multiphysics00005,multiphysics00005.json,447,mechanics_kinematics_dynamics,力学、运动学与动力学,如图所示，光滑斜面的倾角为$30^{\circ}$，轻绳通过两个滑轮与A相连，轻绳的另一端固定于天花板上，不计轻绳与滑轮的摩擦。物块A的质量为m，不计滑轮的质量，挂上物块B后，当动滑轮两边轻绳的夹角为$90^{\circ}$时，A、B恰能保持静止，则物块B的质量为( ),如图所示，光滑斜面的倾角为$30^{\circ}$，轻绳通过两个滑轮与A相连，轻绳的另一端固定于天花板上，不计轻绳与滑轮的摩擦。物块A的质量为m，不计滑轮的质量，挂上物块B后，当动滑轮两边轻绳的夹角为$90^{\circ}$时，A、B恰能保持静止，则物块B的质量为( ),original_zh,$\frac{\sqrt{2}}{2}m$,101,8.261,0.3377,wide_diagram
physics\multi_physics,multiphysics00006,multiphysics00006.json,487,mechanics_kinematics_dynamics,力学、运动学与动力学,三个相同的物体叠放在水平面上，B物体受到水平拉力的作用，但三个物体都处于静止状态，如图所示。下列说法正确的是( ),三个相同的物体叠放在水平面上，B物体受到水平拉力的作用，但三个物体都处于静止状态，如图所示。下列说法正确的是( ),original_zh,B与C、C与水平面的接触面一定是粗糙的,50,7.9019,0.3197,wide_diagram
physics\multi_physics,multiphysics00007,multiphysics00007.json,21,physics_conceptual_judgement,物理概念判断,某质点沿直线运动，其位移—时间图象如图所示。关于该质点的运动，下列说法中正确的是：,某质点沿直线运动，其位移—时间图象如图所示。关于该质点的运动，下列说法中正确的是：,original_zh,CD,36,8.0749,0.3283,generic_visual
physics\multi_physics,multiphysics00008,multiphysics00008.json,703,mechanics_kinematics_dynamics,力学、运动学与动力学,信息技术的高速发展，网络购物已经普及到人们的生活中。在某物流公司的货物常常用到如图所示的装置，两根完全相同、轴线在同一水平面内的平行长圆柱上放一均匀木板，木板的重心与两圆柱等距，其中圆柱的半径r=2cm，木板质量m=5kg，木板与圆柱间的动摩擦因数μ=0.2，两圆柱以角速度ω绕轴线作相反方向的转动。现施加一过木板重心且平行圆柱轴线的拉力F于木板上，使其以速度v=0.6m/s沿圆柱表面做匀速运动。取g=10m/s。下列说法中正确的是（ ）,信息技术的高速发展，网络购物已经普及到人们的生活中。在某物流公司的货物常常用到如图所示的装置，两根完全相同、轴线在同一水平面内的平行长圆柱上放一均匀木板，木板的重心与两圆柱等距，其中圆柱的半径r=2cm，木板质量m=5kg，木板与圆柱间的动摩擦因数μ=0.2，两圆柱以角速度ω绕轴线作相反方向的转动。现施加一过木板重心且平行圆柱轴线的拉力F于木板上，使其以速度v=0.6m/s沿圆柱表面做匀速运动。取g=10m/s。下列说法中正确的是（ ）,original_zh,若ω=40rad/s，则水平拉力F=6N,188,9.3392,0.3647,wide_diagram
physics\multi_physics,multiphysics00009,multiphysics00009.json,394,waves_optics_sound,波动、光学与声学,将一光滑轻杆固定在地面上，杆与地面间夹角为$\theta$，一光滑轻环套在杆上。一个大小和质量都不计的滑轮用轻绳OP悬挂在天花板上，用另一轻绳通过滑轮系在轻环上，用手拉住轻绳另一端并使OP恰好在竖直方向，如图所示。现水平向右拉绳，当轻环重新静止不动时，OP绳与天花板之间的夹角为（ ）,将一光滑轻杆固定在地面上，杆与地面间夹角为$\theta$，一光滑轻环套在杆上。一个大小和质量都不计的滑轮用轻绳OP悬挂在天花板上，用另一轻绳通过滑轮系在轻环上，用手拉住轻绳另一端并使OP恰好在竖直方向，如图所示。现水平向右拉绳，当轻环重新静止不动时，OP绳与天花板之间的夹角为（ ）,original_zh,$45^{\circ}+\vartheta/2$,120,8.7388,0.3017,generic_visual
