dataset,canonical_sample_id,sample_file,source_problem_id,final_category,final_category_zh,question,question_zh,translation_status,answer,question_units,complexity_index,multi_step_score,visual_kinds
chemistry\scemqa_chemistry,scemqachemistry00000,scemqachemistry00000.json,215,molecular_structure_smiles_bonds,分子结构、键与 SMILES,The graph below shows the amount of potential energy between two hydrogen atoms as the distance between them changes. At which point in the graph would a molecule of H2 be the most stable?,,not_translated_in_full_list,Point C,35,7.7684,0.3467,chart_like
chemistry\scemqa_chemistry,scemqachemistry00001,scemqachemistry00001.json,240,periodic_atomic_bonding,周期律、原子与成键,Which of the labeled arrows in the diagram above represents the strongest intermolecular force?,,not_translated_in_full_list,B,14,6.0973,0.3017,generic_visual
chemistry\scemqa_chemistry,scemqachemistry00002,scemqachemistry00002.json,217,periodic_atomic_bonding,周期律、原子与成键,The following diagram shows the relative atomic sizes of three different elements from the same period. Which of the following statements must be true?,,not_translated_in_full_list,The electronegativity value will be greatest in element Z,24,7.5518,0.3467,wide_diagram
chemistry\scemqa_chemistry,scemqachemistry00003,scemqachemistry00003.json,222,stoichiometry_reaction_calculation,化学计量与反应计算,"Two half-cells are set up as follows: Half-Cell A: Strip of Cu(s) in $CuNO_3(aq)$ Half-Cell B: Strip of Zn(s) in $Zn(NO_3)_2(aq)$ When the cells are connected according to the following diagram, the following reaction occurs. What will happen in the salt bridge as the reaction progresses?",,not_translated_in_full_list,The Na+ ions will flow to the Cu/Cu+ half-cell.,57,9.4267,0.5537,generic_visual
chemistry\scemqa_chemistry,scemqachemistry00004,scemqachemistry00004.json,231,stoichiometry_reaction_calculation,化学计量与反应计算,"$NO_2$ gas is placed in a sealed, evacuated container and allowed to decompose via the following equation: $2NO_2(g) \leftrightarrow 2NO(g) + O_2(g)$ The graph below indicates the change in concentration for each species over time. What is happening to the rate of the forward reaction at t = 60 s?",,not_translated_in_full_list,It is remaining constant.,56,9.0514,0.5087,chart_like
chemistry\scemqa_chemistry,scemqachemistry00005,scemqachemistry00005.json,239,molecular_structure_smiles_bonds,分子结构、键与 SMILES,"The Dumas method is a procedure for determining the molar mass of a gas. In this procedure the mass of a gas is divided by the moles of gas determined from the ideal gas equation (n = PV/RT). The molar masses of some compounds, such as acetic acid, illustrated above, show significant deviations from the “correct” values. Why does the presence of dimers as illustrated make it unlikely to obtain an accurate molar mass of acids, such as acetic acid?",,not_translated_in_full_list,The presence of strong intermolecular forces (hydrogen bonding) makes the gas nonideal; therefore the ideal gas law is not applicable.,80,9.0298,0.3827,wide_diagram
chemistry\scemqa_chemistry,scemqachemistry00006,scemqachemistry00006.json,234,stoichiometry_reaction_calculation,化学计量与反应计算,"$NO_2$ gas is placed in a sealed, evacuated container and allowed to decompose via the following equation: $2NO_2(g) \leftrightarrow 2NO(g) + O_2(g)$ The graph below indicates the change in concentration for each species over time. Using the graph, how could you determine the instantaneous rate of disappearance of $NO_2$ at t = 30 s?",,not_translated_in_full_list,By taking the slope of a line tangent to the $NO_2$ curve at t = 30 s,61,8.8155,0.5087,chart_like
chemistry\scemqa_chemistry,scemqachemistry00007,scemqachemistry00007.json,223,equilibrium_kinetics_gas,化学平衡、动力学与气体,"A solution of carbonic acid, $H_2CO_3$, is titrated with sodium hydroxide, NaOH. The following graph is produced. In addition to $OH^-$, what species are present in the solution during section III of the graph?",,not_translated_in_full_list,$HCO_3^-$ and $CO_3^{2-}$,37,8.0163,0.4097,chart_like
chemistry\scemqa_chemistry,scemqachemistry00008,scemqachemistry00008.json,228,molecular_structure_smiles_bonds,分子结构、键与 SMILES,The following diagrams show the Lewis structures of four different molecules. Which molecule would travel the farthest in a paper chromatography experiment using a polar solvent?,,not_translated_in_full_list,Methanol,26,7.3939,0.3467,chart_like
chemistry\scemqa_chemistry,scemqachemistry00009,scemqachemistry00009.json,224,equilibrium_kinetics_gas,化学平衡、动力学与气体,"A solution of carbonic acid, H2CO3, is titrated with sodium hydroxide, NaOH. The following graph is produced. What is the magnitude of the first dissociation constant?",,not_translated_in_full_list,10e-6,29,7.7583,0.3917,chart_like
chemistry\scemqa_chemistry,scemqachemistry00010,scemqachemistry00010.json,220,stoichiometry_reaction_calculation,化学计量与反应计算,"Two half-cells are set up as follows: Half-Cell A: Strip of Cu(s) in $CuNO_3(aq)$ Half-Cell B: Strip of Zn(s) in $Zn(NO_3)_2(aq)$ When the cells are connected according to the following diagram, the following reaction occurs. If the $Cu^+ + e^- \rightarrow Cu(s)$ half reaction has a standard reduction potential of +0.52 V, what is the standard reduction potential for the $Zn^{2+} + 2e^- \rightarrow Zn(s)$ half reaction?",,not_translated_in_full_list,-0.76 V,80,9.7303,0.6617,generic_visual
chemistry\scemqa_chemistry,scemqachemistry00011,scemqachemistry00011.json,225,equilibrium_kinetics_gas,化学平衡、动力学与气体,"A solution of carbonic acid, H2CO3, is titrated with sodium hydroxide, NaOH. The following graph is produced. If the concentration of the sodium hydroxide is increased prior to repeating the titration, what effect, if any, would that have on the graph?",,not_translated_in_full_list,The equivalence points would be reached with less volume of NaOH added.,44,8.4317,0.4817,chart_like
chemistry\scemqa_chemistry,scemqachemistry00012,scemqachemistry00012.json,219,isomer_stereochemistry_nomenclature,异构、立体化学与命名,"Two half-cells are set up as follows: Half-Cell A: Strip of Cu(s) in $CuNO_3(aq)$ Half-Cell B: Strip of Zn(s) in $Zn(NO_3)_2(aq)$ When the cells are connected according to the following diagram, the following reaction occurs. How many moles of electrons must be transferred to create 127 g of copper?",,not_translated_in_full_list,2 moles of electrons,60,9.5032,0.5087,generic_visual
chemistry\scemqa_chemistry,scemqachemistry00013,scemqachemistry00013.json,232,stoichiometry_reaction_calculation,化学计量与反应计算,"$NO_2$ gas is placed in a sealed, evacuated container and allowed to decompose via the following equation: $2NO_2(g) \leftrightarrow 2NO(g) + O_2(g)$ The graph below indicates the change in concentration for each species over time. As the reaction progresses, what happens to the value of the equilibrium constant $K_p$ if the temperature remains constant?",,not_translated_in_full_list,It stays constant.,62,9.0347,0.5447,chart_like
chemistry\scemqa_chemistry,scemqachemistry00014,scemqachemistry00014.json,213,chemistry_other,化学综合题,"When in liquid state, which two substances are most likely to be miscible with water?",,not_translated_in_full_list,methanol and ethanal,15,5.0741,0.3283,
chemistry\scemqa_chemistry,scemqachemistry00015,scemqachemistry00015.json,409,acid_base_solution,酸碱与溶液性质,Consider the following table of $K_{sp}$ values. Which compound listed below has the greatest molar solubility in water?,,not_translated_in_full_list,$CaF_2$,19,7.424,0.3467,wide_diagram
chemistry\scemqa_chemistry,scemqachemistry00016,scemqachemistry00016.json,337,equilibrium_kinetics_gas,化学平衡、动力学与气体,"If the $H_2C_2O_4$ were to be replaced with an identical volume of $H_2SO_4$, what volume of $NaOH$ would be required to fully neutralize the acid? A 0.10 M solution of $NaOH$ is titrated into 20 mL of $H_2C_2O_4$, a diprotic acid, of an unknown concentration. The pH of the $H_2C_2O_4$ solution is monitored as the $NaOH$ is added to it, resulting in the below graph.",,not_translated_in_full_list,20 mL,83,9.0066,0.4367,chart_like
chemistry\scemqa_chemistry,scemqachemistry00017,scemqachemistry00017.json,215,molecular_structure_smiles_bonds,分子结构、键与 SMILES,The graph below shows the amount of potential energy between two hydrogen atoms as the distance between them changes. At which point in the graph would a molecule of $H_2$ be the most stable?,,not_translated_in_full_list,Point C,35,7.7684,0.3467,chart_like
chemistry\scemqa_chemistry,scemqachemistry00018,scemqachemistry00018.json,285,stoichiometry_reaction_calculation,化学计量与反应计算,The following diagram supports which of the following conclusions about the reaction shown below?,,not_translated_in_full_list,Mass is conserved in all chemical reactions.,14,6.4863,0.3017,wide_diagram
chemistry\scemqa_chemistry,scemqachemistry00019,scemqachemistry00019.json,240,periodic_atomic_bonding,周期律、原子与成键,Which of the labeled arrows in the diagram above represents the strongest intermolecular force?,,not_translated_in_full_list,B,14,5.9373,0.3017,generic_visual
chemistry\scemqa_chemistry,scemqachemistry00020,scemqachemistry00020.json,273,equilibrium_kinetics_gas,化学平衡、动力学与气体,Refer to the titration curve of a weak base titrated with a strong acid. The pH was measured with a pH meter after small volumes of 0.125 M HCl were added to 25.0 mL of a weak base. Data from that experiment are shown in the graph. Between which two points on the titration curve can the solution be described as a buffer?,,not_translated_in_full_list,A to D,63,9.1635,0.4367,chart_like
chemistry\scemqa_chemistry,scemqachemistry00021,scemqachemistry00021.json,311,molecular_structure_smiles_bonds,分子结构、键与 SMILES,"Each of the ions in the table form stable oxides (Na$_4$O, CdO, and La$_4$O$_3$). Lanthanum oxide, La$_4$O$_3$, has a melting point significantly higher than that of the other oxides. Which of the following is the best explanation of why this is true?",,not_translated_in_full_list,"Lanthanum had the highest charge; therefore, it has the highest lattice energy",50,8.7799,0.4097,geometry_diagram
chemistry\scemqa_chemistry,scemqachemistry00022,scemqachemistry00022.json,221,stoichiometry_reaction_calculation,化学计量与反应计算,"Two half-cells are set up as follows: Half-Cell A: Strip of Cu(s) in $CuNO_3(aq)$ Half-Cell B: Strip of Zn(s) in $Zn(NO_3)_2(aq)$ When the cells are connected according to the following diagram, the following reaction occurs. As the reaction progresses, what will happen to the overall voltage of the cell?",,not_translated_in_full_list,It will decrease as [$Zn^{2+}$] increases,60,9.7172,0.5537,circuit_diagram
