dataset,final_category,final_category_zh,count,share_pct,definition_zh,source_rule
circuit\eee_bench,dc_ac_network_analysis,直流/交流电路网络分析,705,34.85,需要运用“直流/交流电路网络分析”相关知识或解法的题目。,mapped:dc_ac_network_analysis
circuit\eee_bench,analog_electronics_devices,模拟电子与器件电路,376,18.59,需要运用“模拟电子与器件电路”相关知识或解法的题目。,mapped:analog_electronics_devices
circuit\eee_bench,digital_logic_boolean,数字逻辑与布尔函数,241,11.91,需要运用“数字逻辑与布尔函数”相关知识或解法的题目。,mapped:digital_logic_boolean
circuit\eee_bench,signals_systems_filtering,信号系统与滤波,202,9.99,需要运用“信号系统与滤波”相关知识或解法的题目。,mapped:signals_systems_filtering
circuit\eee_bench,control_systems_transfer_function,控制系统与传递函数,166,8.21,需要运用“控制系统与传递函数”相关知识或解法的题目。,mapped:control_systems_transfer_function
circuit\eee_bench,network_voltage_current,节点电压、电流与等效网络,136,6.72,需要运用“节点电压、电流与等效网络”相关知识或解法的题目。,refined:network_voltage_current
circuit\eee_bench,circuit_other,电子电路综合题,80,3.95,需要运用“电子电路综合题”相关知识或解法的题目。,mapped:circuit_other
circuit\eee_bench,sequential_logic_microprocessor,时序逻辑与微处理器,35,1.73,需要运用“时序逻辑与微处理器”相关知识或解法的题目。,mapped:sequential_logic_microprocessor
circuit\eee_bench,power_machines_transformers,电机、电力系统与变压器,30,1.48,需要运用“电机、电力系统与变压器”相关知识或解法的题目。,mapped:power_machines_transformers
circuit\eee_bench,electromagnetics_fields,电磁场与电磁波,24,1.19,需要运用“电磁场与电磁波”相关知识或解法的题目。,mapped:electromagnetics_fields
circuit\eee_bench,measurement_instrumentation,测量与仪表,17,0.84,需要运用“测量与仪表”相关知识或解法的题目。,mapped:measurement_instrumentation
circuit\eee_bench,power_electronics_converters,电力电子与变换器,11,0.54,需要运用“电力电子与变换器”相关知识或解法的题目。,mapped:power_electronics_converters
