dataset,final_category,final_category_zh,count,share_pct,question_len_median,question_len_p25,question_len_p75,answer_len_median,complexity_median,multi_step_median,visual_entity_median,requires_image_pct,top_question_type,top_answer_shape,top_visual_kind
physics\phyx,mechanics_kinematics_dynamics,力学、运动学与动力学,506,44.42,57.0,45.0,75.0,3.0,8.601,0.437,6.0,100.0,multiple_choice,numeric_or_unit,generic_visual
physics\phyx,waves_optics_sound,波动、光学与声学,198,17.38,56.0,41.0,74.0,2.0,8.441,0.437,6.0,100.0,multiple_choice,formula_latex,geometry_diagram
physics\phyx,thermo_fluids_gases,热学、流体与气体,151,13.26,60.0,39.0,80.0,2.0,8.646,0.428,6.0,100.0,multiple_choice,numeric_or_unit,wide_diagram
physics\phyx,electromagnetism_circuits,电磁学与物理电路,130,11.41,42.5,31.0,58.0,3.0,8.109,0.423,6.0,100.0,multiple_choice,formula_latex,circuit_diagram
physics\phyx,physics_conceptual_judgement,物理概念判断,121,10.62,47.0,33.0,61.0,2.0,8.226,0.401,6.0,100.0,multiple_choice,formula_latex,wide_diagram
physics\phyx,graph_data_interpretation,物理图像与数据解读,10,0.88,28.0,23.5,41.5,4.5,7.303,0.378,5.0,100.0,multiple_choice,formula_latex,chart_like
physics\phyx,modern_quantum_nuclear_relativity,近代物理、量子与相对论,10,0.88,38.5,31.25,50.25,5.0,7.883,0.387,6.0,100.0,multiple_choice,formula_latex,wide_diagram
physics\phyx,physical_circuit_application,物理电路应用,8,0.7,29.0,18.0,37.5,2.0,7.541,0.374,6.0,100.0,multiple_choice,numeric_or_unit,circuit_diagram
physics\phyx,astronomy_gravity_orbits,天体引力与轨道,2,0.18,86.5,55.25,117.75,2.0,8.259,0.392,5.0,100.0,multiple_choice,formula_latex,geometry_diagram
physics\phyx,thermal_engine_refrigeration,热机、制冷与能效,2,0.18,10.5,9.25,11.75,1.0,6.059,0.324,5.0,100.0,multiple_choice,numeric_or_unit,generic_visual
physics\phyx,advanced_mechanics,高级力学与振动,1,0.09,9.0,9.0,9.0,9.0,5.926,0.302,6.0,100.0,multiple_choice,formula_latex,generic_visual
