dataset,final_category,final_category_zh,count,share_pct,question_len_median,question_len_p25,question_len_p75,answer_len_median,complexity_median,multi_step_median,visual_entity_median,requires_image_pct,top_question_type,top_answer_shape,top_visual_kind
circuit\eee_bench,dc_ac_network_analysis,直流/交流电路网络分析,705,34.85,35.0,21.0,52.0,2.0,7.866,0.401,6.0,98.72,multiple_choice,numeric_or_unit,circuit_diagram
circuit\eee_bench,analog_electronics_devices,模拟电子与器件电路,376,18.59,37.0,28.0,48.0,1.0,7.928,0.401,6.0,99.47,multiple_choice,numeric_or_unit,circuit_diagram
circuit\eee_bench,digital_logic_boolean,数字逻辑与布尔函数,241,11.91,25.0,14.0,40.0,3.0,7.389,0.352,6.0,98.34,multiple_choice,formula_latex,circuit_diagram
circuit\eee_bench,signals_systems_filtering,信号系统与滤波,202,9.99,44.0,28.0,71.75,1.0,8.45,0.437,6.0,97.03,multiple_choice,numeric_or_unit,circuit_diagram
circuit\eee_bench,control_systems_transfer_function,控制系统与传递函数,166,8.21,32.0,23.0,48.0,2.0,7.753,0.392,6.0,100.0,multiple_choice,formula_latex,generic_visual
circuit\eee_bench,network_voltage_current,节点电压、电流与等效网络,136,6.72,24.0,14.0,34.25,2.0,7.357,0.369,6.0,98.53,multiple_choice,numeric_or_unit,circuit_diagram
circuit\eee_bench,circuit_other,电子电路综合题,80,3.95,21.5,15.0,34.0,2.0,7.106,0.356,6.0,98.75,multiple_choice,short_text,generic_visual
circuit\eee_bench,sequential_logic_microprocessor,时序逻辑与微处理器,35,1.73,31.0,21.5,50.5,1.0,7.741,0.383,6.0,100.0,multiple_choice,numeric_or_unit,circuit_diagram
circuit\eee_bench,power_machines_transformers,电机、电力系统与变压器,30,1.48,36.0,26.25,50.25,2.0,7.794,0.351,6.0,100.0,multiple_choice,numeric_or_unit,generic_visual
circuit\eee_bench,electromagnetics_fields,电磁场与电磁波,24,1.19,57.0,35.5,73.0,2.5,8.181,0.441,6.0,75.0,multiple_choice,formula_latex,generic_visual
circuit\eee_bench,measurement_instrumentation,测量与仪表,17,0.84,29.0,16.0,38.0,2.0,7.762,0.365,6.0,100.0,multiple_choice,numeric_or_unit,circuit_diagram
circuit\eee_bench,power_electronics_converters,电力电子与变换器,11,0.54,30.0,20.5,41.5,2.0,8.069,0.428,6.0,100.0,multiple_choice,numeric_or_unit,generic_visual
