dataset,final_category,final_category_zh,canonical_sample_id,sample_file,question,question_zh,translation_status,answer,question_units,complexity_index
chemistry\scemqa_chemistry,stoichiometry_reaction_calculation,化学计量与反应计算,scemqachemistry00018,scemqachemistry00018.json,The following diagram supports which of the following conclusions about the reaction shown below?,,pending_translation,Mass is conserved in all chemical reactions.,14,6.4863
chemistry\scemqa_chemistry,stoichiometry_reaction_calculation,化学计量与反应计算,scemqachemistry00034,scemqachemistry00034.json,The diagram below supports which of the following conclusions about the reaction shown below?,,pending_translation,Mass is conserved in all chemical reactions,14,6.0921
chemistry\scemqa_chemistry,stoichiometry_reaction_calculation,化学计量与反应计算,scemqachemistry00073,scemqachemistry00073.json,Which of the following is true of the reactions shown in the diagram above?,,pending_translation,The reaction is exothermic because the reactants are at a higher energy level than the products.,14,6.0895
chemistry\scemqa_chemistry,stoichiometry_reaction_calculation,化学计量与反应计算,scemqachemistry00035,scemqachemistry00035.json,"Based on the mass spectrum shown below, which of the following can be concluded about zirconium?",,pending_translation,The most common isotope of zirconium has 50 neutrons.,16,6.4525
chemistry\scemqa_chemistry,stoichiometry_reaction_calculation,化学计量与反应计算,scemqachemistry00043,scemqachemistry00043.json,A mass spectrum of a naturally occurring sample of an element is shown above. What is the element?,,pending_translation,Ne,18,5.8565
chemistry\scemqa_chemistry,stoichiometry_reaction_calculation,化学计量与反应计算,scemqachemistry00087,scemqachemistry00087.json,"A piece of potassium metal is added to a solution of hydrochloric acid, and the metal starts to react. Which of the following is the correct net ionic equation for the reaction that is occurring?",,pending_translation,$2H^+(aq) + 2K(s) \rightarrow 2K^+(aq) + H_2(g)$,35,5.7224
chemistry\scemqa_chemistry,stoichiometry_reaction_calculation,化学计量与反应计算,scemqachemistry00063,scemqachemistry00063.json,"As shown below, four identical containers hold the same number of moles of four different gases at 298 K. If ideal behavior is NOT assumed, in which container would the pressure be the lowest?",,pending_translation,$H_2O$,34,7.7039
chemistry\scemqa_chemistry,stoichiometry_reaction_calculation,化学计量与反应计算,scemqachemistry00045,scemqachemistry00045.json,"$NO_2$ gas is placed in a sealed, evacuated container and allowed to decompose via the following equation: $2NO_2(g) \leftrightarrow 2NO(g) + O_2(g)$ The graph below indicates the change in concentration for each species over time. What is happening to the rate of the forward reaction at t = 60 s?",,pending_translation,It is remaining constant.,56,8.8114
chemistry\scemqa_chemistry,stoichiometry_reaction_calculation,化学计量与反应计算,scemqachemistry00022,scemqachemistry00022.json,"Two half-cells are set up as follows: Half-Cell A: Strip of Cu(s) in $CuNO_3(aq)$ Half-Cell B: Strip of Zn(s) in $Zn(NO_3)_2(aq)$ When the cells are connected according to the following diagram, the following reaction occurs. As the reaction progresses, what will happen to the overall voltage of the cell?",,pending_translation,It will decrease as [$Zn^{2+}$] increases,60,9.7172
chemistry\scemqa_chemistry,stoichiometry_reaction_calculation,化学计量与反应计算,scemqachemistry00084,scemqachemistry00084.json,"A portion of a mass spectrum of neon is presented above. Estimate the average mass of naturally occurring atoms of neon, assuming that the height of each line represents the relative amount of each mass.",,pending_translation,20.3,35,6.6786
chemistry\scemqa_chemistry,stoichiometry_reaction_calculation,化学计量与反应计算,scemqachemistry00039,scemqachemistry00039.json,"For the reaction $3NO_2(g) + H_2O(l) \rightarrow 2HNO_3(aq) + NO(g)$ with $\Delta H^\circ = -135\ \text{kJ/mol rxn}$, 1.0 mole of $NO_2(g)$ is bubbled through excess water. Which of the following statements correctly describes the energy change that will occur during the reaction?",,pending_translation,45 kJ of energy will be emitted,54,8.1174
chemistry\scemqa_chemistry,stoichiometry_reaction_calculation,化学计量与反应计算,scemqachemistry00103,scemqachemistry00103.json,A mass spectrum of a naturally occurring sample of an element is shown above. What is the element?,,pending_translation,Cl,18,6.0842
chemistry\scemqa_chemistry,stoichiometry_reaction_calculation,化学计量与反应计算,scemqachemistry00067,scemqachemistry00067.json,"A sample of some $N_2O_5$ gas is placed in a sealed container and allowed to decompose. The concentration of the $N_2O_5$ is tracked over time, and the results are plotted on the graph. Which of the following represents the possible units on the rate constant for this reaction?",,pending_translation,$s^{-1}$,54,8.1275
