dataset,final_category,final_category_zh,canonical_sample_id,sample_file,question,question_zh,translation_status,answer,question_units,complexity_index
circuit\eee_bench,dc_ac_network_analysis,直流/交流电路网络分析,eeebench01022,eeebench01022.json,The current \( I \) is ( ).,,pending_translation,-1A,4,5.21
circuit\eee_bench,dc_ac_network_analysis,直流/交流电路网络分析,eeebench00746,eeebench00746.json,The current \( I \) in the given network is,,pending_translation,"\(2.38 \angle 143.63^\circ \, \text{A}\)",8,6.4196
circuit\eee_bench,dc_ac_network_analysis,直流/交流电路网络分析,eeebench00419,eeebench00419.json,The current \(I_C\) in the figure above is,,pending_translation,\(+j2\) A,9,6.3789
circuit\eee_bench,dc_ac_network_analysis,直流/交流电路网络分析,eeebench00483,eeebench00483.json,The power dissipated in the resistor \(R\) is _____ W.,,pending_translation,1.0,9,6.0453
circuit\eee_bench,dc_ac_network_analysis,直流/交流电路网络分析,eeebench01119,eeebench01119.json,Impedance \( Z \) as shown in the given figure is,,pending_translation,"\( j9 \, \Omega \)",9,6.6149
circuit\eee_bench,dc_ac_network_analysis,直流/交流电路网络分析,eeebench01925,eeebench01925.json,"Question: In the circuit shown in the figure, the equivalent resistance \( R_{ab} = ________ \Omega \).",,pending_translation,7,14,6.7917
circuit\eee_bench,dc_ac_network_analysis,直流/交流电路网络分析,eeebench01603,eeebench01603.json,"In the circuit shown in the figure, the current \(I =\) ________ A.",,pending_translation,4,11,6.6571
circuit\eee_bench,dc_ac_network_analysis,直流/交流电路网络分析,eeebench00942,eeebench00942.json,"In the ac equivalent circuit shown in the figure, if \( i_{\text{in}} \) is the input current and \( R_F \) is very large, the type of feedback is",,pending_translation,Voltage-current feedback,28,7.8377
circuit\eee_bench,dc_ac_network_analysis,直流/交流电路网络分析,eeebench00532,eeebench00532.json,"Question: In the circuit shown in figure, if the readings of all voltmeters are 220 V and the resistance is \( 10 \, \Omega \), then \( X_L = \) ________ \( \Omega \).",,pending_translation,5.8,26,7.4817
circuit\eee_bench,dc_ac_network_analysis,直流/交流电路网络分析,eeebench01849,eeebench01849.json,"In the balanced 3-phase, 50 Hz, circuit shown below, the value of inductance (L) is 10 mH. The value of the capacitance (C) for which all the line currents are zero, in millifarads, is ______.",,pending_translation,3.03,35,7.7423
circuit\eee_bench,dc_ac_network_analysis,直流/交流电路网络分析,eeebench00773,eeebench00773.json,The equivalent impedance \(Z_{eq}\) for the infinite ladder circuit shown in the figure is,,pending_translation,"\(j12 \, \Omega\)",15,7.0038
circuit\eee_bench,dc_ac_network_analysis,直流/交流电路网络分析,eeebench00963,eeebench00963.json,"Assume that the switch \( S \) is in position 1 for a long time and thrown to position 2 at \( t = 0 \). At \( t = 0^+ \), the current \( i_1 \) is:",,pending_translation,\( -\frac{V}{2R} \),29,8.1377
circuit\eee_bench,dc_ac_network_analysis,直流/交流电路网络分析,eeebench01690,eeebench01690.json,"In the voltage regulator circuit shown in the figure, when the slider of the variable resistor is in the middle position, the output voltage \(U_o\) is ________ V.",,pending_translation,10,28,7.5258
circuit\eee_bench,dc_ac_network_analysis,直流/交流电路网络分析,eeebench01111,eeebench01111.json,"Regarding the calculation formulas for the current \( I \) in the circuit shown in figure, the incorrect one is ( ).",,pending_translation,\( \frac{\dot{U_C}}{j\omega C} \),18,7.1164
circuit\eee_bench,dc_ac_network_analysis,直流/交流电路网络分析,eeebench00235,eeebench00235.json,"A buck-boost DC-DC converter, shown in the image, is used to convert 24 V battery voltage to 36 V DC voltage to feed a load of 72 W. It is operated at 20 kHz with an inductor of 2 mH and an output capacitor of 1000 μF. All devices are considered to be ideal. The peak voltage across the solid-state switch (S), in volt, is _______.",,pending_translation,60,68,9.064
circuit\eee_bench,dc_ac_network_analysis,直流/交流电路网络分析,eeebench00352,eeebench00352.json,"Assume that the circuit in the figure has reached the steady state before time \( t = 0 \) when the \( 3 \, \Omega \) resistor suddenly burns out, resulting in an open circuit. The current \( i(t) \) (in ampere) at \( t = 0^+ \) is ______.",,pending_translation,1,39,8.1535
circuit\eee_bench,dc_ac_network_analysis,直流/交流电路网络分析,eeebench01704,eeebench01704.json,"In the DC circuit shown in figure, the voltage \( U \) is ______ V.",,pending_translation,-120,12,6.7171
circuit\eee_bench,dc_ac_network_analysis,直流/交流电路网络分析,eeebench01734,eeebench01734.json,"In the circuit shown, assume that the opamp is ideal. The bridge output voltage \( V_0 \) (in mV) for \( \delta = 0.05 \) is",,pending_translation,250,22,7.9143
circuit\eee_bench,dc_ac_network_analysis,直流/交流电路网络分析,eeebench01746,eeebench01746.json,"A p-type semiconductor with zero electric field is under illumination (low-level injection) in steady-state condition. Excess minority carrier density is zero at \(x = \pm 2l_n\), where \(l_n = 10^{-4}\,\text{cm}\) is the diffusion length of electrons. Assume electronic charge \(q = -1.6 \times 10^{-19}\,\text{C}\). The profiles of the photo-generation rate of carriers and the recombination rate of excess minority carriers (R) are shown. Under these conditions, the magnitude of the current de...",,pending_translation,0.59,102,10.0265
circuit\eee_bench,dc_ac_network_analysis,直流/交流电路网络分析,eeebench01667,eeebench01667.json,"In the DC steady-state circuit as shown in the figure, the circuit is shown as the dotted line. When the switch S is turned on, the circuit will have _____.",,pending_translation,Electrical inductance,30,7.5722
circuit\eee_bench,analog_electronics_devices,模拟电子与器件电路,eeebench00980,eeebench00980.json,Which circuit is the correct full wave rectifier circuit?,,pending_translation,Circuit C,9,5.929
circuit\eee_bench,analog_electronics_devices,模拟电子与器件电路,eeebench00686,eeebench00686.json,"If the transistor in the figure is in saturation, then",,pending_translation,\( I_C \) is less than or equal to \( \beta_{dc} I_B \),10,6.0516
circuit\eee_bench,analog_electronics_devices,模拟电子与器件电路,eeebench00094,eeebench00094.json,"In the operational amplifier circuit shown, the output voltage \( u_0 \) is ( ).",,pending_translation,-1V,12,6.432
circuit\eee_bench,analog_electronics_devices,模拟电子与器件电路,eeebench01339,eeebench01339.json,"For the circuit shown below with ideal diodes, the output will be",,pending_translation,\( V_{out} = V_{in} \) for \( V_{in} > 0 \),12,6.6173
circuit\eee_bench,analog_electronics_devices,模拟电子与器件电路,eeebench01777,eeebench01777.json,"In the op-amp circuit shown, the load current \( i_L \) is",,pending_translation,\(-\frac{V_s}{R_2}\),12,6.419
circuit\eee_bench,analog_electronics_devices,模拟电子与器件电路,eeebench00599,eeebench00599.json,"A negative feedback system has an amplifier of gain 100 with ±10% tolerance in the forward path, and an attenuator of value 9/100 in the feedback path. The overall system gain is approximately ______.",,pending_translation,10 ± 1%,34,7.8531
circuit\eee_bench,analog_electronics_devices,模拟电子与器件电路,eeebench01636,eeebench01636.json,"The circuit of the comparator is shown in figure 32(a). The stable voltage of the Zener diode VD2 is U2 = 6 V. R1 = 40 kΩ, R2 = 20 kΩ. The threshold voltage UT1 of the circuit is ( ) V. Answer with one decimal place.",,pending_translation,4,48,9.7167
circuit\eee_bench,analog_electronics_devices,模拟电子与器件电路,eeebench01904,eeebench01904.json,"Question: Given image denotes a common-collector amplifier circuit. Calculate the quiescent DC voltages measured at the base, emitter, and collector terminals of the transistor with respect to ground V\(_B\), as shown in the figure. The approximate quiescent DC voltages are V\(_B\) ≈ ______V.",,pending_translation,2.27,45,7.9841
circuit\eee_bench,analog_electronics_devices,模拟电子与器件电路,eeebench01136,eeebench01136.json,"In the circuit shown in the figure, the output characteristics of transistor T are as shown in the figure. Given \(U_{CC} = 20V\), \(R_C = 0.5k\Omega\), and the transistor operates at point Q with \(I_B = 200\mu A\), find the bias resistor \(R_B\) (assuming \(U_{BE} = 0.6V\)).",,pending_translation,97,53,8.3553
