dataset,final_category,final_category_zh,canonical_sample_id,sample_file,source_problem_id,question,question_zh,translation_status,answer,question_units,complexity_index
chemistry\scemqa_chemistry,stoichiometry_reaction_calculation,化学计量与反应计算,scemqachemistry00065,scemqachemistry00065.json,406,The graph shown below depicts the relationship between concentration and time for the following chemical reaction. The slope of this line is equal to __________.,下图显示了某化学反应中浓度与时间的关系。该直线的斜率等于什么？,human_curated_zh,-k,24,7.0346
chemistry\scemqa_chemistry,molecular_structure_smiles_bonds,分子结构、键与 SMILES,scemqachemistry00049,scemqachemistry00049.json,377,"What is the molecular geometry in structure A? There are several different potential Lewis diagrams for the sulfate ion, two of which are shown below.",结构 A 的分子几何构型是什么？硫酸根离子可以有几种不同的 Lewis 图，下面展示了其中两种。,human_curated_zh,Tetrahedral,25,7.4317
chemistry\scemqa_chemistry,equilibrium_kinetics_gas,化学平衡、动力学与气体,scemqachemistry00024,scemqachemistry00024.json,352,What is the approximate molar solubility of zinc iodate at 25°C? Zinc iodate dissociates in water via the following equilibrium process,25°C 时碘酸锌的近似摩尔溶解度是多少？碘酸锌在水中按以下平衡过程解离。,human_curated_zh,$1.0 \times 10^{-2}$ M,22,6.6677
chemistry\scemqa_chemistry,acid_base_solution,酸碱与溶液性质,scemqachemistry00015,scemqachemistry00015.json,409,Consider the following table of $K_{sp}$ values. Which compound listed below has the greatest molar solubility in water?,考虑下列 $K_{sp}$ 数值表。下面列出的哪种化合物在水中的摩尔溶解度最大？,human_curated_zh,$CaF_2$,19,7.424
chemistry\scemqa_chemistry,periodic_atomic_bonding,周期律、原子与成键,scemqachemistry00002,scemqachemistry00002.json,217,The following diagram shows the relative atomic sizes of three different elements from the same period. Which of the following statements must be true?,下图显示同一周期中三种元素的相对原子大小。以下哪项一定正确？,human_curated_zh,The electronegativity value will be greatest in element Z,24,7.5518
chemistry\scemqa_chemistry,thermochemistry_calorimetry,热化学与量热,scemqachemistry00052,scemqachemistry00052.json,403,"On the phase diagram above, segment __________ corresponds to the conditions of temperature and pressure under which the solid and the gas of the substance are in equilibrium.",在上方相图中，哪一段对应于该物质固体与气体处于平衡的温度和压强条件？,human_curated_zh,AC,27,6.7232
chemistry\scemqa_chemistry,chemistry_other,化学综合题,scemqachemistry00060,scemqachemistry00060.json,379,An electron from which peak would have the greatest velocity after ejection? Use the PES spectra below to answer questions.,被哪个峰对应的电子射出后速度最大？请用下方 PES 谱回答。,human_curated_zh,The peak at 1.76 MJ/mol,20,6.1901
chemistry\scemqa_chemistry,isomer_stereochemistry_nomenclature,异构、立体化学与命名,scemqachemistry00048,scemqachemistry00048.json,214,"Between propane and ethene, which will likely have the higher boiling point and why?",丙烷和乙烯相比，哪一个可能有更高的沸点？为什么？,human_curated_zh,"propane, because it has a more polarizable electron cloud",14,5.4496
chemistry\scemqa_chemistry,electrochemistry_redox,电化学与氧化还原,scemqachemistry00098,scemqachemistry00098.json,410,The solubility of manganese hydroxide ($Mn(OH)_2$) is 2.2e-5 M. What is the $K_{sp}$ of $Mn(OH)_2$?,氢氧化锰 $Mn(OH)_2$ 的溶解度为 2.2e-5 M。$Mn(OH)_2$ 的 $K_{sp}$ 是多少？,human_curated_zh,4.3e-14,22,5.8458
chemistry\scemqa_chemistry,lab_graph_data_interpretation,实验图表与数据分析,scemqachemistry00097,scemqachemistry00097.json,382,Pictured below is a schematic of the Rutherford experiment. Which scattered α-particle gives the best evidence for the nuclear atom?,下图是 Rutherford 实验示意图。哪一个散射的 α 粒子最能支持核式原子模型？,human_curated_zh,a,20,6.9305
