dataset,final_category,final_category_zh,count,share_pct,definition_zh,source_rule
chemistry\scemqa_chemistry,stoichiometry_reaction_calculation,化学计量与反应计算,32,28.83,需要运用“化学计量与反应计算”相关知识或解法的题目。,mapped:stoichiometry_reaction_calculation
chemistry\scemqa_chemistry,molecular_structure_smiles_bonds,分子结构、键与 SMILES,26,23.42,需要运用“分子结构、键与 SMILES”相关知识或解法的题目。,mapped:molecular_structure_smiles_bonds
chemistry\scemqa_chemistry,equilibrium_kinetics_gas,化学平衡、动力学与气体,22,19.82,需要运用“化学平衡、动力学与气体”相关知识或解法的题目。,mapped:equilibrium_kinetics_gas
chemistry\scemqa_chemistry,acid_base_solution,酸碱与溶液性质,9,8.11,需要运用“酸碱与溶液性质”相关知识或解法的题目。,mapped:acid_base_solution
chemistry\scemqa_chemistry,periodic_atomic_bonding,周期律、原子与成键,6,5.41,需要运用“周期律、原子与成键”相关知识或解法的题目。,mapped:periodic_atomic_bonding
chemistry\scemqa_chemistry,thermochemistry_calorimetry,热化学与量热,6,5.41,需要运用“热化学与量热”相关知识或解法的题目。,mapped:thermochemistry_calorimetry
chemistry\scemqa_chemistry,chemistry_other,化学综合题,3,2.7,需要运用“化学综合题”相关知识或解法的题目。,mapped:chemistry_other
chemistry\scemqa_chemistry,isomer_stereochemistry_nomenclature,异构、立体化学与命名,3,2.7,需要运用“异构、立体化学与命名”相关知识或解法的题目。,mapped:isomer_stereochemistry_nomenclature
chemistry\scemqa_chemistry,electrochemistry_redox,电化学与氧化还原,2,1.8,需要运用“电化学与氧化还原”相关知识或解法的题目。,mapped:electrochemistry_redox
chemistry\scemqa_chemistry,lab_graph_data_interpretation,实验图表与数据分析,2,1.8,需要运用“实验图表与数据分析”相关知识或解法的题目。,mapped:lab_graph_data_interpretation
