dataset,canonical_sample_id,sample_file,source_problem_id,final_category,final_category_zh,question,question_zh,translation_status,answer,question_units,complexity_index,multi_step_score,visual_kinds
chemistry\sciverse_chemistry,sciversechemistry00000,sciversechemistry00000.json,927,acid_base_solution,酸碱与溶液性质,下列各图常用来说明甲烷分子的结构。哪一种与甲烷分子的真实结构相差较大? \begin{center} \includegraphics[scale=0.5]{q_11896_001.png} \end{center},"下列各图常用来说明甲烷分子的结构。哪一种与甲烷分子的真实结构相差较大?

\begin{center}
\includegraphics[scale=0.5]{q_11896_001.png}
\end{center}",original_zh,II,44,7.8513,0.3107,chart_like
chemistry\sciverse_chemistry,sciversechemistry00001,sciversechemistry00001.json,59,thermochemistry_calorimetry,热化学与量热,"已知一个体积为 2 升的密闭容器中,装有氦气和氩气。图中显示了该容器内压强 $p$ 与温度 $T$ 的关系曲线。问该容器中氦气分子的数目是多少?","已知一个体积为 2 升的密闭容器中,装有氦气和氩气。图中显示了该容器内压强 $p$ 与温度 $T$ 的关系曲线。问该容器中氦气分子的数目是多少?",original_zh,7.2e22,58,6.9485,0.2567,generic_visual
chemistry\sciverse_chemistry,sciversechemistry00002,sciversechemistry00002.json,89,stoichiometry_reaction_calculation,化学计量与反应计算,"一名学生设计了一个实验,以确定铝的比热容。该实验过程如下:将质量为 $5.86\ \mathrm{g}$ 的铝块加热至不同温度,然后将其滴入装有 $25.0\ \mathrm{mL}$ 水的量热计中。下图显示了其中一次试验过程中收集的数据。已知水的比热容为 $4.18\ \mathrm{J/(g\cdot^\circ C)}$,密度为 $1.00\ \mathrm{g/mL}$,请计算该次试验中水吸收的热量(单位:J)。","一名学生设计了一个实验,以确定铝的比热容。该实验过程如下:将质量为 $5.86\ \mathrm{g}$ 的铝块加热至不同温度,然后将其滴入装有 $25.0\ \mathrm{mL}$ 水的量热计中。下图显示了其中一次试验过程中收集的数据。已知水的比热容为 $4.18\ \mathrm{J/(g\cdot^\circ C)}$,密度为 $1.00\ \mathrm{g/mL}$,请计算该次试验中水吸收的热量(单位:J)。",original_zh,376,118,8.9045,0.3647,wide_diagram
chemistry\sciverse_chemistry,sciversechemistry00003,sciversechemistry00003.json,919,organic_reaction_mechanism,有机反应机理,"下列卤代烃 $\ce{CH3CH2CH2Br}$、$\ce{(CH3)3CCl}$、$\ce{CH3CH(Br)CH3}$ 和 $\ce{(CH3)2C(Br)CH3}$ 按 $\mathrm{S_{N}1}$ 反应机理进行反应时,反应最快的是 $\ce{(CH3)3CCl}$。","下列卤代烃 $\ce{CH3CH2CH2Br}$、$\ce{(CH3)3CCl}$、$\ce{CH3CH(Br)CH3}$ 和 $\ce{(CH3)2C(Br)CH3}$ 按 $\mathrm{S_{N}1}$ 反应机理进行反应时,反应最快的是 $\ce{(CH3)3CCl}$。",original_zh,right,59,8.0098,0.3917,wide_diagram
chemistry\sciverse_chemistry,sciversechemistry00004,sciversechemistry00004.json,78,stoichiometry_reaction_calculation,化学计量与反应计算,"如图所示,在加压打火机中的液体丁烷($\mathrm{C_4H_{10}}$)样本直接放置在铝制罐下方。罐中装有100.0 mL水,当点燃丁烷时,罐内水温从25.0°C升至82.3°C。发现丁烷的总质量为0.51g,水的比热容为4.18J/(g·°C),水的密度为1.00g/mL。已知丁烷在25°C时密度为0.573g/mL,若在该温度下燃烧5.00 mL丁烷,计算所释放的热量(单位:kJ)。","如图所示,在加压打火机中的液体丁烷($\mathrm{C_4H_{10}}$)样本直接放置在铝制罐下方。罐中装有100.0 mL水,当点燃丁烷时,罐内水温从25.0°C升至82.3°C。发现丁烷的总质量为0.51g,水的比热容为4.18J/(g·°C),水的密度为1.00g/mL。已知丁烷在25°C时密度为0.573g/mL,若在该温度下燃烧5.00 mL丁烷,计算所释放的热量(单位:kJ)。",original_zh,130,123,8.7411,0.3827,generic_visual
chemistry\sciverse_chemistry,sciversechemistry00005,sciversechemistry00005.json,875,acid_base_solution,酸碱与溶液性质,"下图是酶的三种可逆抑制作用之一的双倒数作图,请判断这是哪一种抑制类型。 \begin{center} \includegraphics[scale=0.5]{q_00349_001.png} \end{center}","下图是酶的三种可逆抑制作用之一的双倒数作图,请判断这是哪一种抑制类型。

\begin{center}
\includegraphics[scale=0.5]{q_00349_001.png}
\end{center}",original_zh,Competitive suppression,44,7.3997,0.3107,chart_like
chemistry\sciverse_chemistry,sciversechemistry00006,sciversechemistry00006.json,873,isomer_stereochemistry_nomenclature,异构、立体化学与命名,请给出下列化合物的 IUPAC 命名或结构式: \begin{center} \includegraphics[scale=0.5]{q_11937_001.png} \end{center},"请给出下列化合物的 IUPAC 命名或结构式:

\begin{center}
\includegraphics[scale=0.5]{q_11937_001.png}
\end{center}",original_zh,$-methyl-4-propyl-4-octene-2-acetylene$,27,6.4701,0.3107,chart_like
chemistry\sciverse_chemistry,sciversechemistry00007,sciversechemistry00007.json,95,equilibrium_kinetics_gas,化学平衡、动力学与气体,"已知反应 $\mathrm{A + 2B \rightarrow 2C}$ 的动力学数据,请根据给定信息计算该反应的速率常数 $k$ 的值,单位为 $\mathrm{m^{-1}s^{-1}}$。","已知反应 $\mathrm{A + 2B \rightarrow 2C}$ 的动力学数据,请根据给定信息计算该反应的速率常数 $k$ 的值,单位为 $\mathrm{m^{-1}s^{-1}}$。",original_zh,1.2,45,7.9373,0.3467,wide_diagram
chemistry\sciverse_chemistry,sciversechemistry00008,sciversechemistry00008.json,930,stoichiometry_reaction_calculation,化学计量与反应计算,"某双组分混合物中溶质 A 的初始质量分数为 25%。在操作温度下,溶质 A 的溶解度曲线如图所示:$\lt img=""q_00409_001.png""\gt$采用单级萃取法,加入溶剂 S 后,所得萃取液中溶质 A 的质量分数 $Y_{EA}$ = 40%。在此操作范围内,溶质 A 的分配系数 $K_{A}$ = 1.0。求此萃取过程后,萃余液中溶质 A 的质量分数 $X_{RA}$。","某双组分混合物中溶质 A 的初始质量分数为 25%。在操作温度下,溶质 A 的溶解度曲线如图所示:$\lt img=""q_00409_001.png""\gt$采用单级萃取法,加入溶剂 S 后,所得萃取液中溶质 A 的质量分数 $Y_{EA}$ = 40%。在此操作范围内,溶质 A 的分配系数 $K_{A}$ = 1.0。求此萃取过程后,萃余液中溶质 A 的质量分数 $X_{RA}$。",original_zh,0.16,115,8.6011,0.3287,generic_visual
chemistry\sciverse_chemistry,sciversechemistry00009,sciversechemistry00009.json,66,equilibrium_kinetics_gas,化学平衡、动力学与气体,"膦 ($\mathrm{PH_3}$) 的分解反应遵循以下化学反应方程式: $$4\mathrm{PH_3(g)} \rightarrow \mathrm{P_4(g)} + 6\mathrm{H_2(g)}$$ 在 250 K 的条件下,一位科学家观察到该反应的速率数据如下:当 $\mathrm{PH_3}$ 的消失速率为 $2.5 \times 10^{-3}\ \mathrm{mol/(L \cdot s)}$ 时,在反应进行 20s后,请计算出同一时刻 $\mathrm{P_4}$ 的生成速率。(最终答案应为一个数值)","膦 ($\mathrm{PH_3}$) 的分解反应遵循以下化学反应方程式:

$$4\mathrm{PH_3(g)} \rightarrow \mathrm{P_4(g)} + 6\mathrm{H_2(g)}$$

在 250 K 的条件下,一位科学家观察到该反应的速率数据如下:当 $\mathrm{PH_3}$ 的消失速率为 $2.5 \times 10^{-3}\ \mathrm{mol/(L \cdot s)}$ 时,在反应进行 20s后,请计算出同一时刻 $\mathrm{P_4}$ 的生成速率。(最终答案应为一个数值)",original_zh,6.3e-4,114,9.4727,0.5357,wide_diagram
