dataset,canonical_sample_id,sample_file,source_problem_id,final_category,final_category_zh,question,question_zh,translation_status,answer,question_units,complexity_index,multi_step_score,visual_kinds
math\mathvision,mathvision00000,mathvision00000.json,292,geometry_length_area_volume,几何长度、面积与体积,"A rectangular piece of paper $ABCD$ is $5\mathrm{~cm}$ wide and $50\mathrm{~cm}$ long. The paper is white on one side and grey on the other. Christina folds the strip as shown so that the vertex $B$ coincides with $M$, the midpoint of the edge $CD$. Then she folds it so that the vertex $D$ coincides with $N$, the midpoint of the edge $AB$. How big is the area of the visible white part in the diagram?",,not_translated_in_full_list,$60 \mathrm{~cm}^{2}$,79,8.7589,0.3017,geometry_diagram
math\mathvision,mathvision00001,mathvision00001.json,180,geometry_angle_chasing,几何角度追踪,"A $3 \times 3 \times 3$ cube weighs 810 grams. If we drill three holes through it as shown, each of which is a $1 \times 1 \times 3$ rectangular parallelepiped, the weight of the remaining solid is:",,not_translated_in_full_list,$600 \mathrm{~g}$,38,7.8186,0.3917,generic_visual
math\mathvision,mathvision00002,mathvision00002.json,22,measurement_time_units,时间、单位与度量,"What time is it now, if after 6 hours and 30 minutes the clock will show 4:00?",,not_translated_in_full_list,21:30,18,4.874,0.3467,
math\mathvision,mathvision00003,mathvision00003.json,265,geometry_angle_chasing,几何角度追踪,The ratio of the radii of two concentric circles is $1:3$. The line $AC$ is a diameter of the biggest circle. A chord $BC$ of the big circle touches the small circle (see diagram). The line $AB$ has length 12. How big is the radius of the big circle?,,not_translated_in_full_list,18,50,9.0524,0.4097,geometry_diagram
math\mathvision,mathvision00004,mathvision00004.json,238,geometry_length_area_volume,几何长度、面积与体积,Michael wants to write whole numbers into the empty fields of the $3 \times 3$ table on the right so that the sum of the numbers in each $2 \times 2$ square equals 10. Four numbers have already been written down. Which of the following values could be the sum of the remaining five numbers?,,not_translated_in_full_list,None of these numbers is possible.,55,8.46,0.3967,generic_visual
math\mathvision,mathvision00005,mathvision00005.json,52,math_other,数学综合题,"Which point in the labyrinth can we get to, starting at point $O$?",,not_translated_in_full_list,C,13,6.2584,0.3017,geometry_diagram
math\mathvision,mathvision00006,mathvision00006.json,231,geometry_angle_chasing,几何角度追踪,A strip of paper is folded three times as shown. Determine $\beta$ if $\alpha=70^{\circ}$.,,not_translated_in_full_list,$120^{\circ}$,16,6.2177,0.3647,wide_diagram
math\mathvision,mathvision00007,mathvision00007.json,288,geometry_angle_chasing,几何角度追踪,The square shown in the diagram has a perimeter of 4. The perimeter of the equilateral triangle is,,not_translated_in_full_list,$3+\sqrt{3}$,18,6.9955,0.3017,geometry_diagram
math\mathvision,mathvision00008,mathvision00008.json,181,geometry_angle_chasing,几何角度追踪,We are given three semi-circles as shown in the image. $ABEF$ is a rectangle and the radius of each of the semi-circles is $2\mathrm{~cm}$. $E$ and $F$ are the centers of the bottom semi-circles. The area of the shaded region (in $\mathrm{cm}^{2}$) is:,,not_translated_in_full_list,8,50,9.0165,0.4457,geometry_diagram
math\mathvision,mathvision00009,mathvision00009.json,204,number_theory_arithmetic,数论与算术,The digits of the sequence $123451234512345 \ldots$ fill the cells on a sheet of paper in a spiral-like manner beginning with the marked cell (see the figure). Which digit is written in the cell being 100 cells above the marked one?,,not_translated_in_full_list,1,42,7.9102,0.3737,generic_visual
math\mathvision,mathvision00010,mathvision00010.json,232,math_other,数学综合题,"A barcode is made up of alternate black and white stripes. The code always starts and ends with a black stripe. Each stripe (black or white) has width 1 or 2, and the total width of the barcode is 12. How many different barcodes of this kind are there if one reads from left to right?",,not_translated_in_full_list,116,56,6.5401,0.3647,
math\mathvision,mathvision00011,mathvision00011.json,94,measurement_time_units,时间、单位与度量,"The giants Tim and Tom build a sandcastle and decorate it with a flag. They insert half the flagpole into the highest point of the sandcastle. The highest point of the flagpole is now $16 \mathrm{~m}$ above the floor, the lowest $6 \mathrm{~m}$ (see diagram). How high is the sandcastle?",,not_translated_in_full_list,$11 \mathrm{~m}$,52,8.0432,0.3197,geometry_diagram
