dataset_path,solution_category,count,dataset_key,canonical_sample_id,sample_file,source_problem_id,question_units,answer_units,question_type,answer_shape,requires_image,complexity_index,question,answer
biology\ai2d_biology,anatomy_physiology,44,ai2d_biology,ai2d_biology00141,ai2d_biology00141.json,950,5,1,multiple_choice,short_text,True,5.0778,What organism is a producer?,Algae
biology\ai2d_biology,biochemistry_enzymes_metabolism,1,ai2d_biology,ai2d_biology00587,ai2d_biology00587.json,1505,10,1,multiple_choice,short_text,True,6.3385,"Using the diagram, what letter depicts where glucose is formed?",F
biology\ai2d_biology,biology_other,167,ai2d_biology,ai2d_biology01237,ai2d_biology01237.json,2960,2,1,multiple_choice,short_text,True,4.7184,__________ consume fish.,raccoons
biology\ai2d_biology,cell_molecular_genetics,574,ai2d_biology,ai2d_biology01226,ai2d_biology01226.json,1309,3,1,multiple_choice,short_text,True,4.5579,Who consumes grass?,rabbit
biology\ai2d_biology,ecology_food_web_population,426,ai2d_biology,ai2d_biology00633,ai2d_biology00633.json,2696,4,1,multiple_choice,short_text,True,4.676,What is a predator?,crab
biology\ai2d_biology,experimental_graph_data,1,ai2d_biology,ai2d_biology00053,ai2d_biology00053.json,467,11,1,multiple_choice,short_text,True,6.1134,A snake is what type of carnivore according to this chart?,primary
biology\ai2d_biology,life_cycle_development,43,ai2d_biology,ai2d_biology01005,ai2d_biology01005.json,1245,4,2,multiple_choice,short_text,True,5.0856,Eggs are laid in,water's surface
biology\ai2d_biology,plant_biology,59,ai2d_biology,ai2d_biology01072,ai2d_biology01072.json,2774,4,1,multiple_choice,short_text,True,4.8528,Plants are known as?,Producers
biology\scemqa_biology,anatomy_physiology,7,scemqa_biology,scemqabiology00038,scemqabiology00038.json,419,29,7,multiple_choice,long_text,False,5.3848,"A nerve impulse requires the release of neurotransmitters at the axonal bulb of a presynaptic neuron. Which of the following best explains the purpose of neurotransmitters, such as acetylcholine?",They excite or inhibit the postsynaptic neuron
biology\scemqa_biology,biochemistry_enzymes_metabolism,2,scemqa_biology,scemqabiology00010,scemqabiology00010.json,513,20,1,multiple_choice,choice_label,True,6.5866,Which of the following points on the preceding energy chart represents the activation energy of the reaction involving the enzyme?,B
biology\scemqa_biology,biology_other,2,scemqa_biology,scemqabiology00021,scemqabiology00021.json,507,11,2,multiple_choice,short_text,True,5.8105,The bold line that point C intersects is known as the,carrying capacity
biology\scemqa_biology,cell_molecular_genetics,28,scemqa_biology,scemqabiology00044,scemqabiology00044.json,497,14,1,multiple_choice,short_text,False,4.6869,The DNA placed in this electrophoresis gel separates as a result of what characteristic?,Size
biology\scemqa_biology,ecology_food_web_population,17,scemqa_biology,scemqabiology00057,scemqabiology00057.json,502,21,1,multiple_choice,short_text,True,7.3057,The frequency of genotypes for a given trait are given in the accompanying graph. Is this population in Hardy-Weinberg equilibrium?,No
biology\scemqa_biology,evolution_classification,2,scemqa_biology,scemqabiology00029,scemqabiology00029.json,441,24,3,multiple_choice,short_text,False,5.8984,Pre- and post-zygotic barriers exist that prevent two different species from producing viable offspring. All of the following are pre-zygotic barriers EXCEPT,sterility of offspring
biology\scemqa_biology,experimental_graph_data,4,scemqa_biology,scemqabiology00023,scemqabiology00023.json,500,22,2,multiple_choice,numeric_or_unit,True,7.5534,The frequency of genotypes for a given trait are given in the accompanying graph. What is the frequency of the recessive homozygote?,19 percent
biology\scemqa_biology,plant_biology,2,scemqa_biology,scemqabiology00022,scemqabiology00022.json,479,107,25,multiple_choice,long_text,True,9.6777,You carry out an experiment to study transpiration in plants using a two-week-old bean plant. You set up a potometer by cutting the stem of a plant and securing it into clear flexible tubing that has been tightly connected to a calibrated pipette. Water fills the potometer from the plant stem to the tip of the pipet...,Painting the upper leaf surface of most of the leaves with clear nail polish will decrease the rate of transpiration and account for Line C.
biology\sciverse_biology,anatomy_physiology,10,sciverse_biology,sciversebiology00116,sciversebiology00116.json,1044,10,2,multiple_choice,formula_latex,True,5.8715,"In the Section of male pelvis, identify the 92 structure.",$Obturator$ $internus$
biology\sciverse_biology,biochemistry_enzymes_metabolism,7,sciverse_biology,sciversebiology00139,sciversebiology00139.json,363,27,5,multiple_choice,short_text,True,7.1474,Consider the following enzyme pathway: An increase in substance F leads to the inhibition of enzyme 3. All of the following are results of the process EXCEPT,increased activity of enzyme 5
biology\sciverse_biology,biology_other,15,sciverse_biology,sciversebiology00178,sciversebiology00178.json,1016,11,1,multiple_choice,short_text,True,6.1129,Which arrow in the figure points to a large ribosomal unit?,I
biology\sciverse_biology,cell_molecular_genetics,126,sciverse_biology,sciversebiology00148,sciversebiology00148.json,132,10,1,multiple_choice,short_text,True,5.9781,Does 'procee I' in the provided figure indicates reverse transcriptase?,Yes
biology\sciverse_biology,ecology_food_web_population,31,sciverse_biology,sciversebiology00185,sciversebiology00185.json,108,13,1,multiple_choice,numeric_or_unit,True,6.1154,Identify the number of species with no natural predator on this food web.,7
biology\sciverse_biology,evolution_classification,5,sciverse_biology,sciversebiology00207,sciversebiology00207.json,1034,53,4,multiple_choice,formula_latex,True,8.7431,Consider the diagram in the figure regarding a mountainous region. The diagram shows the average winter temperature (left-hand y-axis) at different altitudes (x-axis) and the abundance of three tree species (right-hand y-axis) at different altitudes (x-axis). Which species is/are found below an altitude of 500m?,$\text{Species 1 only}$
biology\sciverse_biology,experimental_graph_data,13,sciverse_biology,sciversebiology00205,sciversebiology00205.json,131,11,1,multiple_choice,short_text,True,5.8791,What part of the graph represents the cooling effect of sweating?,Y
biology\sciverse_biology,life_cycle_development,1,sciverse_biology,sciversebiology00165,sciversebiology00165.json,1028,12,1,multiple_choice,short_text,True,6.1827,What stage of a bacteriophage infection is marked $C$ in the figure?,Biosynthesis
biology\sciverse_biology,plant_biology,11,sciverse_biology,sciversebiology00175,sciversebiology00175.json,139,32,1,multiple_choice,numeric_or_unit,True,7.6095,The graph that follows shows the absorption spectra for individual pigments found inside a chloroplast and the action spectrum for photosynthesis. At what wavelength of light is the rate of photosynthesis greatest?,450
chemistry\emma_chemistry,chemistry_other,13,emma_chemistry,emmachemistry00576,emmachemistry00576.json,1173,9,1,multiple_choice,numeric_or_unit,True,4.9976,<image_1> Which point corresponds to the critical point?,5
chemistry\emma_chemistry,molecular_structure_identification,5,emma_chemistry,emmachemistry00293,emmachemistry00293.json,1166,11,1,open,numeric_or_unit,True,6.5269,How many chirality centers does the following molecule have? <image_1>,5
chemistry\emma_chemistry,transition_state_smiles_selection,846,emma_chemistry,emmachemistry00839,emmachemistry00839.json,633,17,2,multiple_choice,short_text,True,5.6277,"Please choose the SMILES expression of the transition-state structure shown in the image, ignoring the arrows.",*[C+]=N*
chemistry\scemqa_chemistry,acid_base_solution,9,scemqa_chemistry,scemqachemistry00015,scemqachemistry00015.json,409,19,2,multiple_choice,formula_latex,True,7.424,Consider the following table of $K_{sp}$ values. Which compound listed below has the greatest molar solubility in water?,$CaF_2$
chemistry\scemqa_chemistry,chemistry_other,3,scemqa_chemistry,scemqachemistry00110,scemqachemistry00110.json,213,15,3,multiple_choice,short_text,False,4.6322,"When in liquid state, which two substances are most likely to be miscible with water?",methanol and ethanal
chemistry\scemqa_chemistry,electrochemistry_redox,2,scemqa_chemistry,scemqachemistry00098,scemqachemistry00098.json,410,22,3,multiple_choice,short_text,False,5.8458,The solubility of manganese hydroxide ($Mn(OH)_2$) is 2.2e-5 M. What is the $K_{sp}$ of $Mn(OH)_2$?,4.3e-14
chemistry\scemqa_chemistry,equilibrium_kinetics_gas,22,scemqa_chemistry,scemqachemistry00024,scemqachemistry00024.json,352,22,5,multiple_choice,formula_latex,True,6.6677,What is the approximate molar solubility of zinc iodate at 25°C? Zinc iodate dissociates in water via the following equilibrium process,$1.0 \times 10^{-2}$ M
chemistry\scemqa_chemistry,isomer_stereochemistry_nomenclature,3,scemqa_chemistry,scemqachemistry00048,scemqachemistry00048.json,214,14,9,multiple_choice,multi_part_text,False,5.4496,"Between propane and ethene, which will likely have the higher boiling point and why?","propane, because it has a more polarizable electron cloud"
chemistry\scemqa_chemistry,lab_graph_data_interpretation,2,scemqa_chemistry,scemqachemistry00025,scemqachemistry00025.json,383,12,1,multiple_choice,choice_label,True,5.9511,What position on the standing wave shown below corresponds to a crest?,b
