dataset,final_category,final_category_zh,canonical_sample_id,sample_file,source_problem_id,question,question_zh,translation_status,answer,question_units,complexity_index
math\geometry3k,angle_chasing,几何角度追踪,geometry3k00869,geometry3k00869.json,44,"In parallelogram $ABCD$, $\overline{BD}$ and $\overline{AC}$ intersect at $E$. If $AE = 9$, $BE = 3x - 7$, and $DE = x + 5$, find $x$.",在平行四边形 $ABCD$ 中，$\overline{BD}$ 和 $\overline{AC}$ 相交于 $E$。若 $AE=9$，$BE=3x-7$，$DE=x+5$，求 $x$。,human_curated_zh,6,24,5.3944
math\geometry3k,circle_arc_chord,圆、弧、弦与切线,geometry3k00309,geometry3k00309.json,798,"Circle $J$ has a radius of $10$ units, $\odot K$ has a radius of $8$ units, and $BC=5.4$ units. Find $AB$.",圆 $J$ 的半径为 10 个单位，圆 $K$ 的半径为 8 个单位，且 $BC=5.4$ 个单位。求 $AB$。,human_curated_zh,14.6,22,7.0897
math\geometry3k,geometry_segment_measurement,几何线段测量,geometry3k00361,geometry3k00361.json,292,"Find $CD$ if $AB=6, AF=8, BC=x, CD=y$, $DE=2y-3,$ and $FE=x+\frac{10}{3}$","若 $AB=6, AF=8, BC=x, CD=y$，$DE=2y-3$，$FE=x+\frac{10}{3}$，求 $CD$。",human_curated_zh,9,21,6.6901
math\geometry3k,area_perimeter,面积与周长计算,geometry3k00542,geometry3k00542.json,549,"For the pair of similar figures, use the given areas to find the scale factor of the blue to the green figure.",对于这对相似图形，利用给出的面积求蓝色图形到绿色图形的比例因子。,human_curated_zh,\frac { 4 } { 5 },22,6.8355
math\geometry3k,diagram_variable_solving,图形变量求解,geometry3k00480,geometry3k00480.json,104,"For trapezoid QRST, M and P are midpoints of the legs. If TS = 2x, PM = 20, and QR = 6x, find x.",在梯形 QRST 中，M 和 P 是两腰的中点。若 TS = 2x，PM = 20，QR = 6x，求 x。,human_curated_zh,5,23,6.8735
math\geometry3k,segment_length,线段长度求解,geometry3k00210,geometry3k00210.json,881,"For trapezoid QRST, M and P are midpoints of the legs. If PM = 2x, QR = 3x, and TS = 10, find PM.",在梯形 QRST 中，M 和 P 是两腰的中点。若 PM = 2x，QR = 3x，TS = 10，求 PM。,human_curated_zh,20,23,5.3295
math\geometry3k,geometry_generic_measurement,图形通用量测,geometry3k00302,geometry3k00302.json,51,"If PR || WX, WX = 10, XY = 6, WY = 8, RY = 5, and PS = 3, find SY.",若 PR || WX，WX = 10，XY = 6，WY = 8，RY = 5，PS = 3，求 SY。,human_curated_zh,4,16,6.6325
math\geometry3k,trigonometric_ratio,三角比计算,geometry3k00037,geometry3k00037.json,421,Express the ratio of $\tan Q$ as a decimal to the nearest hundredth.,将 $\tan Q$ 的比值表示为小数，并四舍五入到百分位。,human_curated_zh,0.53,13,5.9613
math\geometry3k,coordinate_geometry,坐标几何,geometry3k00206,geometry3k00206.json,637,"In $\odot F$, $\overline{AB} \cong \overline{BC}$, $DF=3x-7$, and $FE=x+9$. What is $x$?",在圆 $F$ 中，$\overline{AB} \cong \overline{BC}$，$DF=3x-7$，$FE=x+9$。求 $x$。,human_curated_zh,8,19,7.2131
math\geometry3k,geometry_quadrilateral_polygon,四边形与多边形性质,geometry3k00294,geometry3k00294.json,789,"JKLM is a rhombus. If $CK = 8$ and $JK = 10$, find $JC$.",JKLM 是菱形。若 $CK=8$，$JK=10$，求 $JC$。,human_curated_zh,6,12,6.3343
math\geometry3k,similarity_congruence,相似与全等,geometry3k00211,geometry3k00211.json,666,The pair of polygons is similar. Find AB,这对多边形相似。求 AB。,human_curated_zh,4,8,5.4166
