dataset,canonical_sample_id,sample_file,source_problem_id,final_category,final_category_zh,question,question_zh,translation_status,answer,question_units,complexity_index,multi_step_score,visual_kinds
math\geometry3k,geometry3k00000,geometry3k00000.json,23,segment_length,线段长度求解,Find DX if $EX=24$ and $DE=7$.,,not_translated_in_full_list,25,8,5.9598,0.3647,wide_diagram
math\geometry3k,geometry3k00001,geometry3k00001.json,134,angle_chasing,几何角度追踪,Find the measure of $\angle 1$.,,not_translated_in_full_list,56,6,5.6329,0.3017,geometry_diagram
math\geometry3k,geometry3k00002,geometry3k00002.json,465,angle_chasing,几何角度追踪,Find $m \angle 2$.,,not_translated_in_full_list,39,4,5.2957,0.3017,geometry_diagram
math\geometry3k,geometry3k00003,geometry3k00003.json,417,diagram_variable_solving,图形变量求解,Find x in the figure.,,not_translated_in_full_list,31,5,5.4948,0.3017,generic_visual
math\geometry3k,geometry3k00004,geometry3k00004.json,26,angle_chasing,几何角度追踪,Find the measure of $\angle 4$ if $m\angle 4 = m\angle 5$.,,not_translated_in_full_list,32,13,5.9345,0.3557,geometry_diagram
math\geometry3k,geometry3k00005,geometry3k00005.json,794,area_perimeter,面积与周长计算,"For the pair of similar figures, use the given areas to find $x$.",,not_translated_in_full_list,5,13,6.3289,0.3017,dense_diagram
math\geometry3k,geometry3k00006,geometry3k00006.json,799,angle_chasing,几何角度追踪,Find the measure of $\angle R$ to the nearest tenth.,,not_translated_in_full_list,70.9,10,5.858,0.3017,geometry_diagram
math\geometry3k,geometry3k00007,geometry3k00007.json,474,angle_chasing,几何角度追踪,Find $m \angle 3$.,,not_translated_in_full_list,55,4,4.9865,0.3017,geometry_diagram
math\geometry3k,geometry3k00008,geometry3k00008.json,136,angle_chasing,几何角度追踪,Use parallelogram ABCD to find $m\angle BCD$,,not_translated_in_full_list,52,8,5.7283,0.3017,geometry_diagram
math\geometry3k,geometry3k00009,geometry3k00009.json,651,area_perimeter,面积与周长计算,Find the area of the figure. Round to the nearest tenth if necessary.,,not_translated_in_full_list,1200,13,6.7976,0.3917,dense_diagram
math\geometry3k,geometry3k00010,geometry3k00010.json,12,diagram_variable_solving,图形变量求解,Find $x$ in the figure.,,not_translated_in_full_list,16,5,5.576,0.3017,generic_visual
math\geometry3k,geometry3k00011,geometry3k00011.json,293,angle_chasing,几何角度追踪,Find the measure of $\angle 1$ in the figure.,,not_translated_in_full_list,80,9,6.0033,0.3017,geometry_diagram
