dataset,final_category,final_category_zh,canonical_sample_id,sample_file,question,question_zh,translation_status,answer,question_units,complexity_index
physics\emma_physics,mechanics_kinematics_dynamics,力学、运动学与动力学,emmaphysics00046,emmaphysics00046.json,The x-t graph of a particle undergoing simple harmonic motion is shown below. The acceleration of the particle at t = 4/3 s is,,pending_translation,$-\frac{\sqrt{3}}{32}\pi^2$ cm/s$^2$,25,7.8213
physics\emma_physics,mechanics_kinematics_dynamics,力学、运动学与动力学,emmaphysics00117,emmaphysics00117.json,The x-t graph of a particle undergoing simple harmonic motion is shown below. The acceleration of the particle at t = 4/3 s is,,pending_translation,$-\frac{\sqrt{3}}{32}\pi^2$ cm/s$^2$,25,7.8213
physics\emma_physics,mechanics_kinematics_dynamics,力学、运动学与动力学,emmaphysics00137,emmaphysics00137.json,An object shown in the accompanying figure moves in uniform circular motion. Which arrow best depicts the net force acting on the object at the instant shown?,,pending_translation,B,27,7.6849
physics\emma_physics,mechanics_kinematics_dynamics,力学、运动学与动力学,emmaphysics00223,emmaphysics00223.json,An object shown in the accompanying figure moves in uniform circular motion. Which arrow best depicts the net force acting on the object at the instant shown?,,pending_translation,B,27,7.4449
physics\emma_physics,mechanics_kinematics_dynamics,力学、运动学与动力学,emmaphysics00074,emmaphysics00074.json,"Two long parallel wires, oriented along the \( y \)-axis as shown, contain currents \( I \) and \( 2I \), flowing in opposite directions. Which of the following statements is true?",,pending_translation,The force on wire \( 2I \) is in the \( +x \) direction.,28,7.4681
physics\emma_physics,mechanics_kinematics_dynamics,力学、运动学与动力学,emmaphysics00221,emmaphysics00221.json,"T2: Mechanical accelerator A massless thread makes $N$ turns around a statically fixed cylinder, as shown in the figure. Initially, the free (unwound) ends of the thread are parallel to the axis $X$. Then, a heavy point-like object $P$ is attached to one end of the thread while the other end is pulled with a constant velocity $u$ along $X$. Find the maximum velocity attained by the heavy object. The thread is inextendable and flexible. Suppose that the turns of the thread are wound tightly to...",,pending_translation,v_{\max }=u(2 \pi N+1),116,9.3846
physics\emma_physics,mechanics_kinematics_dynamics,力学、运动学与动力学,emmaphysics00131,emmaphysics00131.json,A small block of mass $m$ and charge $Q$ is placed at rest on an inclined plane with a slope $\alpha=40^{\circ}$. The coefficient of friction between them is $\mu=0.3$. A homogeneous magnetic field of magnitude $B_{0}$ is applied perpendicular to the slope. The speed of the block after a very long time is given by $v=\beta \frac{m g}{Q B_{0}}$. Determine $\beta$. Do not neglect the effects of gravity.,,pending_translation,0.6,76,8.3966
physics\emma_physics,mechanics_kinematics_dynamics,力学、运动学与动力学,emmaphysics00068,emmaphysics00068.json,A student performs the photoelectric effect experiment and obtains the data depicted in the accompanying graph of E_{km} (maximum kinetic energy) of photoelectrons vs. the frequency of the photons. What is the approximate work function of this material?,,pending_translation,1.5 eV,39,8.0522
physics\emma_physics,mechanics_kinematics_dynamics,力学、运动学与动力学,emmaphysics00262,emmaphysics00262.json,"A block (B) is attached to two unstretched springs S1 and S2 with spring constants $k$ and $4k$, respectively (see figure I). The other ends are attached to identical supports M1 and M2 not attached to the walls. The springs and supports have negligible mass. There is no friction anywhere. The block B is displaced towards wall 1 by a small distance $x$ (figure II) and released. The block returns and moves a maximum distance $y$ towards wall 2. Displacements $x$ and $y$ are measured with respe...",,pending_translation,$\frac{1}{2}$,106,10.2497
physics\emma_physics,mechanics_kinematics_dynamics,力学、运动学与动力学,emmaphysics00110,emmaphysics00110.json,"A sprinkler fountain is in the shape of a semi-sphere that spews out water from all angles at a uniform speed $v$ such that without the presence of wind, the wetted region around the fountain forms a circle in the $XY$ plane with the fountain centered on it. Now suppose there is a constant wind blowing in a direction parallel to the ground such that the force acting on each water molecule is proportional to their weight. The wetted region forms the shape below where the fountain is placed at...",,pending_translation,2.5,114,10.0117
