dataset,canonical_sample_id,sample_file,source_problem_id,final_category,final_category_zh,question,question_zh,translation_status,answer,question_units,complexity_index,multi_step_score,visual_kinds
math\mm_math,mmmath00000,mmmath00000.json,53042889.png,geometry_angle_chasing,几何角度追踪,"As shown in the figure, the quadrilateral $ABCD$ is inscribed in the circle $\odot O$. If one of its exterior angles $\angle DCE = 68^\circ$, what is the degree measure of $\angle BOD$?",,not_translated_in_full_list,$136^\circ$,33,8.0981,0.4097,geometry_diagram
math\mm_math,mmmath00001,mmmath00001.json,52354816.png,geometry_angle_chasing,几何角度追踪,"As shown in the diagram, in rectangle $ABCD$, $AC$ and $BD$ intersect at point $O$, with $M$ and $N$ being the midpoints of $BC$ and $OC$, respectively. If $MN = 4$, what is the length of $AC$? If the area of $\triangle BOC$ is 5, what is the area of rectangle $ABCD$?",,not_translated_in_full_list,"\textbf{Solution:} Since M and N are the midpoints of BC and OC, respectively, it follows that $BO = 2MN = 8$. Since quadrilateral ABCD is a rectangle, it follows that $AC = BD = 2BO = \boxed{16}$. Since the area of $...",51,8.8017,0.5407,geometry_diagram
math\mm_math,mmmath00002,mmmath00002.json,51083013.png,geometry_angle_chasing,几何角度追踪,"As shown in the figure, $\triangle AOB$ in the Cartesian coordinate system is rotated $90^\circ$ clockwise around point $O$ to get $\triangle A'OB'$. Given that $\angle AOB=60^\circ$, $\angle B=90^\circ$, and $AB=\sqrt{3}$, what are the coordinates of point $B'$?",,not_translated_in_full_list,"Solution: As shown in the figure, draw line $B'C \perp x$-axis at point $C$. Since $\triangle AOB$ rotates $90^\circ$ clockwise around point $O$ to become $\triangle A'OB'$, we have $OB'=OB$ and $\angle BOB'=90^\circ$...",45,7.8253,0.4007,geometry_diagram
math\mm_math,mmmath00003,mmmath00003.json,52204870.png,geometry_angle_chasing,几何角度追踪,"As shown in the figure, given a rectangle $ABCD$ with two sides $AB=6$ and $AD=8$, point $E$ is the intersection of diagonals $AC$ and $BD$, point $P$ is a moving point on side $AD$. Construct point $D'$, which is the symmetric point of $D$ with respect to line $PE$. When $ED'$ is perpendicular to a side of the rectangle, what is the length of $PD$?",,not_translated_in_full_list,"\textbf{Solution:} As shown in the figure, when $ED^{\prime} \perp AD$, $\because$ rectangle ABCD, $\therefore$ AE=CE, CD$\perp$AD, AB=CD=6, $\therefore$ EF$\parallel$CD, $\therefore$ EF is the median of $\triangle AC...",67,9.0494,0.4597,geometry_diagram
math\mm_math,mmmath00004,mmmath00004.json,52344789.png,geometry_angle_chasing,几何角度追踪,"As shown in the diagram, in $\triangle ABC$, $\angle BAC=90^\circ$, $AB=3$, and $AC=4$. Squares $ABED$, $ACHI$, and $BCGF$ are constructed externally on sides $AB$, $AC$, and $BC$ of $\triangle ABC$, respectively. Lines $ED$ and $HI$ intersect at point $J$. Line $KF$ is drawn through point $F$ parallel to $HI$ and intersects $DE$ at point $K$. Line $GM$ is drawn through point $G$ parallel to $DE$ and intersects $HI$ and $KF$ at points $M$ and $L$, respectively. What is the area of quadrilater...",,not_translated_in_full_list,"In the right triangle $ABC$, $\angle BAC=90^\circ$, $AB=3$, $AC=4$. By the Pythagorean theorem, we have $BC=5$.\\ Since quadrilaterals $ABED$, $ACHI$, $BCGF$ are all squares,\\ it follows that each quadrilateral has f...",87,8.7696,0.3827,geometry_diagram
math\mm_math,mmmath00005,mmmath00005.json,52623034.png,geometry_angle_chasing,几何角度追踪,"As shown in the figure, $E$ is a moving point on the side $CD$ of square $ABCD$, with $AB=2$. Connect $BE$, and draw $AF \perp BE$, which intersects $BC$ at $F$ and $BE$ at $G$. Connect $CG$. When $CG$ is at its minimum value, what is the length of $CF$?",,not_translated_in_full_list,"\textbf{Solution:} As shown in Figure 1, take the midpoint O of AB, and connect OG and OC.\\ $\because$ Quadrilateral ABCD is a square,\\ $\therefore \angle ABC=90^\circ$,\\ $\because$AB=2,\\ $\therefore$OB=OA=1,\\ $\...",51,8.6866,0.4507,geometry_diagram
math\mm_math,mmmath00006,mmmath00006.json,53066295_93.png,coordinate_geometry_transform,坐标几何与变换,"As shown in the figure, in the Cartesian coordinate system, the line $y = 2x + 6$ intersects the x-axis at point A and intersects the y-axis at point C. The parabola $y = -2x^2 + bx + c$ passes through points A and C, and intersects the x-axis at another point B. Find the analytical equation of the parabola.",,not_translated_in_full_list,"\textbf{Solution:} Let's solve for $y=2x+6$. When $x=0$, $y=6$, and when $y=0$, $x=-3$,\\ $\therefore C(0, 6)$ and $A(-3, 0)$,\\ $\because$ the parabola $y=-2x^{2}+bx+c$ passes through points A and C,\\ $\therefore \l...",61,8.6038,0.4817,chart_like
math\mm_math,mmmath00007,mmmath00007.json,52160915.png,geometry_angle_chasing,几何角度追踪,"As shown in the figure, the diagonals AC and BD of rectangle ABCD intersect at point O. Points E and F are the midpoints of AO and AD, respectively. If EF = 4 and AB = 8, what is the measure of $\angle ACB$?",,not_translated_in_full_list,"\textbf{Solution:} Given rectangle ABCD,\\ thus OD=OB=OA=$\frac{1}{2}$BD, $\angle$ABC=$90^\circ$,\\ since points E and F are the midpoints of AO and AD respectively,\\ thus EF is the midline of $\triangle$AOD,\\ thus...",42,8.0007,0.4097,geometry_diagram
math\mm_math,mmmath00008,mmmath00008.json,51378985.png,geometry_angle_chasing,几何角度追踪,"As shown in the figure, $BD$ is the angle bisector of $\triangle ABC$, with $AB=15$, $BC=9$, and $AC=12$. What is the length of $BD$?",,not_translated_in_full_list,"\textbf{Solution:} As shown in the diagram, draw $DE\perp AB$ at point $E$,\\ because $AB=15$, $BC=9$, and $AC=12$,\\ therefore, $AB^{2}=225$, and $BC^{2}+AC^{2}=9^{2}+12^{2}=225$\\ therefore, $AB^{2}=BC^{2}+AC^{2}$\\...",27,7.5694,0.3737,geometry_diagram
math\mm_math,mmmath00009,mmmath00009.json,51367866.png,geometry_angle_chasing,几何角度追踪,"In \(\triangle ABC\), \(AB=AC\). The line \(EF\) is the perpendicular bisector of \(AB\), \(D\) is the midpoint of \(BC\), and \(M\) is a moving point on \(EF\). The area of \(\triangle ABC\) is 12, and \(BC=4\). What is the minimum value of the perimeter of \(\triangle BDM\)?",,not_translated_in_full_list,"Solution: Connect \(AD\) and \(AM\). Since \(EF\) is the perpendicular bisector of segment \(AB\), we have \(AM=BM\). Therefore, the perimeter of \(\triangle BDM\) is \(BD + BM + DM = AM + DM + BD\). To minimize the p...",49,8.4574,0.5717,geometry_diagram
