dataset,final_category,final_category_zh,canonical_sample_id,sample_file,source_problem_id,question,question_zh,translation_status,answer,question_units,complexity_index
circuit\eee_bench,dc_ac_network_analysis,直流/交流电路网络分析,eeebench00006,eeebench00006.json,471,"In the circuit shown in the figure, to make the voltage U equal to 2 V, what is the value of the resistor R (Ω)?",在图示电路中，为使电压 U 等于 2 V，电阻 R 的取值应为多少欧姆？,human_curated_zh,2,24,6.936
circuit\eee_bench,analog_electronics_devices,模拟电子与器件电路,eeebench01963,eeebench01963.json,61,Question: The common emitter amplifier shown in is biased using a 1 mA ideal current source. The approximate base current value is: ( ) \mu A,题目：图示共射极放大器采用 1 mA 理想电流源偏置。基极电流的近似值为多少 μA？,human_curated_zh,10,24,7.055
circuit\eee_bench,digital_logic_boolean,数字逻辑与布尔函数,eeebench00920,eeebench00920.json,1423,"In the circuit shown in the figure, when input terminals A=1, B=1, C=0, the logic state of output terminal F is ( ).",在图示电路中，当输入端 A=1、B=1、C=0 时，输出端 F 的逻辑状态是什么？,human_curated_zh,1,24,6.8422
circuit\eee_bench,signals_systems_filtering,信号系统与滤波,eeebench00672,eeebench00672.json,473,A signal flow graph of a system is given in the image. The set of equalities that corresponds to this signal flow graph is:,图中给出了一个系统的信号流图。与该信号流图对应的一组等式是：,human_curated_zh,option D,24,7.8302
circuit\eee_bench,control_systems_transfer_function,控制系统与传递函数,eeebench00881,eeebench00881.json,1116,The asymptotic Bode plot of a transfer function is shown in the figure. The transfer function \( G(s) \) corresponding to this Bode plot is,图中给出了某传递函数的渐近 Bode 图。与该 Bode 图对应的传递函数 $G(s)$ 是什么？,human_curated_zh,\( \frac{100}{s(s+1)(1+0.05s)} \),24,8.1905
circuit\eee_bench,network_voltage_current,节点电压、电流与等效网络,eeebench01960,eeebench01960.json,115,"Question: In the circuit shown in figure, when the input terminals A=1, B=1, and C=0, the output terminal F should be __.",题目：在图示电路中，当输入端 A=1、B=1、C=0 时，输出端 F 应为多少？,human_curated_zh,1,24,7.3124
circuit\eee_bench,circuit_other,电子电路综合题,eeebench00991,eeebench00991.json,1218,"The geometric mean radius of a conductor, having four equal strands with each strand of radius \( r \), as shown in the figure below, is",如图所示，由四根半径均为 $r$ 的等股线组成的导线，其几何均距半径为多少？,human_curated_zh,\( 1.723r \),24,7.2907
circuit\eee_bench,sequential_logic_microprocessor,时序逻辑与微处理器,eeebench00553,eeebench00553.json,433,A mod-n counter using a synchronous binary up-counter with synchronous clear input is shown in the image. The value of \( n \) is ______.,图中使用带同步清零输入的同步二进制加法计数器构成 mod-n 计数器。$n$ 的值是多少？,human_curated_zh,7,24,7.4831
circuit\eee_bench,power_machines_transformers,电机、电力系统与变压器,eeebench00414,eeebench00414.json,231,"If an ideal transformer has an inductive load element at port 2 as shown in the image, the equivalent inductance at port 1 is ______.",如果理想变压器端口 2 接有如图所示的感性负载，则端口 1 的等效电感是多少？,human_curated_zh,\(n^2L\),24,7.3308
circuit\eee_bench,electromagnetics_fields,电磁场与电磁波,eeebench01351,eeebench01351.json,384,"As shown in the image, near points \( a \), \( b \), and \( c \) on the charged insulated conductor, the electric field strength is",如图所示，在带电绝缘导体附近的 $a$、$b$、$c$ 点处，电场强度如何？,human_curated_zh,Maximum at point \( a \),21,7.2858
circuit\eee_bench,measurement_instrumentation,测量与仪表,eeebench00262,eeebench00262.json,101,"In the circuit shown in figure, if the readings of both the ammeter and the voltmeter suddenly increase, the possible cause of this phenomenon is",在图示电路中，如果电流表和电压表的读数突然都增大，造成这一现象的可能原因是什么？,human_curated_zh,\( R_1 \) short circuit,25,7.5297
circuit\eee_bench,power_electronics_converters,电力电子与变换器,eeebench01354,eeebench01354.json,482,"With reference to the output waveform given in the image, the output of the converter will be free from the 5th harmonic when ( )",参考图中给出的输出波形，在什么条件下该变换器输出不含 5 次谐波？,human_curated_zh,\( \alpha = 72^\circ \),24,7.06
