solution_category,count,dataset_path,dataset_key,canonical_sample_id,sample_file,source_problem_id,question_units,answer_units,question_type,answer_shape,requires_image,complexity_index,category_basis,question,answer
acid_base_solution,31,chemistry\sciverse_chemistry,sciverse_chemistry,sciversechemistry00195,sciversechemistry00195.json,342,18,1,multiple_choice,formula_latex,True,6.7615,keyword:acid_base_solution,The phase diagram of a substance is given above. The region that corresponds to the solid phase is $\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_$.,$w$
agriculture_resources_environment,103,geography\geosqa,geosqa,geosqa00443,geosqa00443.json,2766,25,5,multiple_choice,short_text,True,8.2964,keyword:agriculture_resources_environment,"读下图,完成小题。 <image1> 图示区域城镇面临的主要环境问题是()",土地荒漠化
algebra_equation_inequality,106,math\geoqa_plus,geoqa_plus,geoqaplus01838,geoqaplus01838.json,201,16,1,multiple_choice,choice_label,True,7.0114,keyword:algebra_equation_inequality,Question: Which is the graph of the function $y=\sqrt{|(1+x)(1-|x|)|}$? <image1>,D
analog_electronics_devices,368,circuit\eee_bench,eee_bench,eeebench01131,eeebench01131.json,1506,16,1,multiple_choice,numeric_or_unit,True,6.8745,keyword:analog_electronics_devices,"In the circuit shown, the op-amps are ideal. Then \( V_{\text{out}} \) (in Volts) is",8
anatomy_physiology,61,biology\ai2d_biology,ai2d_biology,ai2d_biology00016,ai2d_biology00016.json,829,15,1,multiple_choice,short_text,True,6.4836,keyword:anatomy_physiology,Which organism in the diagram is important because it returns nutrients back to the soil?,Decomposers
angle_chasing,500,math\geometry3k,geometry3k,geometry3k00530,geometry3k00530.json,398,16,1,calculation,numeric_or_unit,True,6.2904,keyword:angle_chasing,Find the measure of $\angle 1$ if $m\angle DGF = 53$ and $m\angle AGC = 40$.,37
area_perimeter,72,math\geometry3k,geometry3k,geometry3k00793,geometry3k00793.json,372,16,1,calculation,numeric_or_unit,False,5.4353,keyword:area_perimeter,"Rhombus $QRST$ has an area of 137.9 square meters. If $RT$ is 12.2 meters, find $QS$.",22.6
astronomy_gravity_orbits,17,physics\sciverse_physics,sciverse_physics,sciversephysics00154,sciversephysics00154.json,1086,21,7,multiple_choice,long_text,True,7.1931,keyword:astronomy_gravity_orbits,The elliptical orbit of a planet around the Sun is shown on the diagram. Which of the following statements is true?,the Sun might be at point B
biochemistry_enzymes_metabolism,10,biology\scemqa_biology,scemqa_biology,scemqabiology00010,scemqabiology00010.json,513,20,1,multiple_choice,choice_label,True,6.5866,keyword:biochemistry_enzymes_metabolism,Which of the following points on the preceding energy chart represents the activation energy of the reaction involving the enzyme?,B
biology_other,184,biology\ai2d_biology,ai2d_biology,ai2d_biology00424,ai2d_biology00424.json,207,16,1,multiple_choice,short_text,True,7.3367,fallback,Refer to the diagram and choose the correct answer. Which of the following is a carnivore?,Coyote
cell_molecular_genetics,728,biology\ai2d_biology,ai2d_biology,ai2d_biology01266,ai2d_biology01266.json,1448,16,1,multiple_choice,short_text,True,6.3567,keyword:cell_molecular_genetics,Choose the option which is a cellular organelle bound by a single membrane and containing enzymes?,microbody
chart_graph_interpretation,350,geography\geosqa,geosqa,geosqa00652,geosqa00652.json,2843,19,2,multiple_choice,short_text,True,8.0175,keyword:chart_graph_interpretation,"读图,完成问题。 <image1> A洋流可能出现在右图中",丁处
chemistry_other,21,chemistry\sciverse_chemistry,sciverse_chemistry,sciversechemistry00210,sciversechemistry00210.json,316,16,1,multiple_choice,numeric_or_unit,True,5.9353,fallback,Use the PES spectra below to answer questions. How many valence electrons does this atom have?,5
circle_arc_chord,77,math\geometry3k,geometry3k,geometry3k00469,geometry3k00469.json,852,16,1,open,numeric_or_unit,True,6.3717,keyword:circle_arc_chord,What is the value of $x$ if $m \widehat{NR}=62$ and $m \widehat{NP}=108$?,64
circuit_other,280,circuit\eee_bench,eee_bench,eeebench00865,eeebench00865.json,991,16,1,multiple_choice,numeric_or_unit,True,6.816,fallback,The second harmonic component of the periodic waveform given in the image has an amplitude of,0
climate_weather_seasons,380,geography\geosqa,geosqa,geosqa00351,geosqa00351.json,2870,16,10,multiple_choice,multi_part_text,True,7.8124,keyword:climate_weather_seasons,"读图,回答问题: <image1> 甲、乙两城市的气候","高温期不同,多雨期相同"
control_systems_transfer_function,143,circuit\eee_bench,eee_bench,eeebench01166,eeebench01166.json,1097,16,4,multiple_choice,formula_latex,True,6.9545,keyword:control_systems_transfer_function,The transfer function \( \frac{Y(s)}{R(s)} \) of the system shown in the figure is ______.,\( \frac{1}{s + 1} \)
coordinate_geometry,12,math\geometry3k,geometry3k,geometry3k00778,geometry3k00778.json,235,16,1,calculation,numeric_or_unit,True,7.0209,keyword:coordinate_geometry,"In $\odot F, \overline{F H} \cong \overline{F L}$ and $\mathrm{FK}=17$. Find $LK$.",15
coordinate_geometry_transform,560,math\mathvision,mathvision,mathvision01227,mathvision01227.json,2528,16,1,open,numeric_or_unit,True,6.2747,keyword:coordinate_geometry_transform,"If the markings on the number line are equally spaced, what is the number $\text{y}$?",12
counting_probability_combinatorics,120,math\mathvision,mathvision,mathvision00338,mathvision00338.json,1071,16,1,open,numeric_or_unit,False,5.134,keyword:counting_probability_combinatorics,Elsa has 3 tetrahedra and 5 dice. How many faces do these eight objects have altogether?,42
dc_ac_network_analysis,698,circuit\eee_bench,eee_bench,eeebench00043,eeebench00043.json,203,16,1,open,numeric_or_unit,True,6.9009,keyword:dc_ac_network_analysis,"In the circuit shown in the figure, the equivalent resistance between terminals A and B is ( ) Ω.",5.4
diagram_variable_solving,41,math\geometry3k,geometry3k,geometry3k00770,geometry3k00770.json,207,16,1,open,numeric_or_unit,True,7.0247,keyword:diagram_variable_solving,"In the figure, $LH$ is the midsegment of trapezoid $FGJK$. What is the value of $x$?",11.8
digital_logic_boolean,226,circuit\eee_bench,eee_bench,eeebench01056,eeebench01056.json,1424,16,2,multiple_choice,short_text,True,7.1424,keyword:digital_logic_boolean,The circuit shown in the image has two CMOS NOR gates. This circuit functions as a:,Monostable multivibrator
earth_sun_moon_space,253,geography\ai2d_geography,ai2d_geography,ai2d_geography00132,ai2d_geography00132.json,1588,16,2,multiple_choice,short_text,True,6.5018,keyword:earth_sun_moon_space,Which lunar phase describes the point at which the moon appears nearly invisible in the sky?,new moon
ecology_food_web_population,474,biology\ai2d_biology,ai2d_biology,ai2d_biology00389,ai2d_biology00389.json,231,16,1,multiple_choice,short_text,True,6.2294,keyword:ecology_food_web_population,"In the food web diagram, if the shrew population decreases, the earthworm population will most likely?",increase
