dataset,final_category,final_category_zh,canonical_sample_id,sample_file,question,question_zh,translation_status,answer,question_units,complexity_index
biology\ai2d_biology,cell_molecular_genetics,细胞、分子与遗传,ai2d_biology00025,ai2d_biology00025.json,Label C represents,,pending_translation,Stomach,3,4.7235
biology\ai2d_biology,cell_molecular_genetics,细胞、分子与遗传,ai2d_biology00219,ai2d_biology00219.json,Label J represents,,pending_translation,stomach,3,5.1847
biology\ai2d_biology,cell_molecular_genetics,细胞、分子与遗传,ai2d_biology00600,ai2d_biology00600.json,Identify the carpel.,,pending_translation,L,3,4.8515
biology\ai2d_biology,cell_molecular_genetics,细胞、分子与遗传,ai2d_biology00754,ai2d_biology00754.json,What is algae?,,pending_translation,producer,3,5.3198
biology\ai2d_biology,cell_molecular_genetics,细胞、分子与遗传,ai2d_biology01033,ai2d_biology01033.json,Name a decomposer.,,pending_translation,Mushroom,3,5.0991
biology\ai2d_biology,cell_molecular_genetics,细胞、分子与遗传,ai2d_biology01266,ai2d_biology01266.json,Choose the option which is a cellular organelle bound by a single membrane and containing enzymes?,,pending_translation,microbody,16,6.3567
biology\ai2d_biology,cell_molecular_genetics,细胞、分子与遗传,ai2d_biology00763,ai2d_biology00763.json,Which region in the diagram represents the rhizome?,,pending_translation,d,8,5.9773
biology\ai2d_biology,cell_molecular_genetics,细胞、分子与遗传,ai2d_biology00391,ai2d_biology00391.json,What feeds on bass?,,pending_translation,humans,4,5.1421
biology\ai2d_biology,cell_molecular_genetics,细胞、分子与遗传,ai2d_biology00645,ai2d_biology00645.json,Which one of these has gills and a flat long tale?,,pending_translation,Tadpole,11,6.0888
biology\ai2d_biology,cell_molecular_genetics,细胞、分子与遗传,ai2d_biology00784,ai2d_biology00784.json,Which of the above birds is also called as the American eagle?,,pending_translation,Bald eagle,12,6.0869
biology\ai2d_biology,cell_molecular_genetics,细胞、分子与遗传,ai2d_biology00890,ai2d_biology00890.json,What would happen if all the primary consumers died?,,pending_translation,secondary consumers would decrease,9,5.8906
biology\ai2d_biology,cell_molecular_genetics,细胞、分子与遗传,ai2d_biology00176,ai2d_biology00176.json,"Based on your answers on the diagram, what stage are eggs created?",,pending_translation,Stage B,12,6.429
biology\ai2d_biology,cell_molecular_genetics,细胞、分子与遗传,ai2d_biology00258,ai2d_biology00258.json,Where are the averculus containing conidia?,,pending_translation,Letter C,6,5.4158
biology\ai2d_biology,cell_molecular_genetics,细胞、分子与遗传,ai2d_biology00538,ai2d_biology00538.json,"In this diagram, what is the name of the green part?",,pending_translation,chloroplast,11,6.2783
biology\ai2d_biology,cell_molecular_genetics,细胞、分子与遗传,ai2d_biology00896,ai2d_biology00896.json,What is the main function of the Cell Wall?,,pending_translation,To protect and provide support for the cell,9,5.8215
biology\ai2d_biology,cell_molecular_genetics,细胞、分子与遗传,ai2d_biology00388,ai2d_biology00388.json,What is the result of a hatching egg?,,pending_translation,tadpole (larva),8,5.7161
biology\ai2d_biology,cell_molecular_genetics,细胞、分子与遗传,ai2d_biology00295,ai2d_biology00295.json,Which of these leaf shapes are oblong?,,pending_translation,Leaf type A,7,5.6863
biology\ai2d_biology,cell_molecular_genetics,细胞、分子与遗传,ai2d_biology00836,ai2d_biology00836.json,"Based on the diagram below, which organisms will be most directly affected by a decrease in the amount of corn?",,pending_translation,Chicken,20,6.8376
biology\ai2d_biology,cell_molecular_genetics,细胞、分子与遗传,ai2d_biology01116,ai2d_biology01116.json,How many organisms here are primary consumers?,,pending_translation,3,7,5.7066
biology\ai2d_biology,cell_molecular_genetics,细胞、分子与遗传,ai2d_biology00606,ai2d_biology00606.json,What part of the life cycle shown is illustrated by letter F?,,pending_translation,eggs,12,6.5142
biology\ai2d_biology,ecology_food_web_population,生态、食物网与种群,ai2d_biology00138,ai2d_biology00138.json,What is a predator?,,pending_translation,lizard,4,5.1408
biology\ai2d_biology,ecology_food_web_population,生态、食物网与种群,ai2d_biology00633,ai2d_biology00633.json,What is a predator?,,pending_translation,crab,4,4.676
biology\ai2d_biology,ecology_food_web_population,生态、食物网与种群,ai2d_biology00153,ai2d_biology00153.json,What role do nematodes play?,,pending_translation,Prey,5,5.3036
biology\ai2d_biology,ecology_food_web_population,生态、食物网与种群,ai2d_biology00222,ai2d_biology00222.json,Which has the most predators?,,pending_translation,insect,5,5.5458
biology\ai2d_biology,ecology_food_web_population,生态、食物网与种群,ai2d_biology00274,ai2d_biology00274.json,Humans are what to trout?,,pending_translation,predator,5,5.0809
biology\ai2d_biology,ecology_food_web_population,生态、食物网与种群,ai2d_biology01172,ai2d_biology01172.json,"In the diagram of the food web shown, what role does the human play?",,pending_translation,tertiary consumer,14,6.5057
biology\ai2d_biology,ecology_food_web_population,生态、食物网与种群,ai2d_biology01213,ai2d_biology01213.json,Who is the top predator in this food chain?,,pending_translation,Cougar,9,5.7646
biology\ai2d_biology,ecology_food_web_population,生态、食物网与种群,ai2d_biology00298,ai2d_biology00298.json,Who is the producer in the food web shown?,,pending_translation,Grass,9,5.7655
biology\ai2d_biology,ecology_food_web_population,生态、食物网与种群,ai2d_biology00906,ai2d_biology00906.json,"If the ants were removed from the food web, one result might be",,pending_translation,the ant eaters disappear,13,6.9686
biology\ai2d_biology,ecology_food_web_population,生态、食物网与种群,ai2d_biology00026,ai2d_biology00026.json,Imagine that snakes were no longer present in this ecosystem. Which choice is a likely result of this event?,,pending_translation,Mouse population increases,19,6.5959
biology\ai2d_biology,ecology_food_web_population,生态、食物网与种群,ai2d_biology00309,ai2d_biology00309.json,"From the food web shown in the diagram, which organism is the primary consumer?",,pending_translation,Cricket,14,6.3451
