dataset,final_category,final_category_zh,canonical_sample_id,sample_file,question,question_zh,translation_status,answer,question_units,complexity_index
physics\seephys,mechanics_kinematics_dynamics,力学、运动学与动力学,seephys00370,seephys00370.json,"For the inclined plane shown, what is the value of the incline's ideal mechanical advantage?",,pending_translation,1.67,15,6.3888
physics\seephys,mechanics_kinematics_dynamics,力学、运动学与动力学,seephys01059,seephys01059.json,Fig. 2.1 shows the extension-load graph for a spring. Calculate the spring constant $k$.,,pending_translation,$140 \mathrm{~N} / \mathrm{m}$,15,7.3853
physics\seephys,mechanics_kinematics_dynamics,力学、运动学与动力学,seephys00605,seephys00605.json,Find the momentum flux density of TEM waves in a coaxial transmission line of inner radius $a$ and outer radius $b$.,,pending_translation,$\nabla \cdot \overparen{T}=\frac{2 \epsilon_{o} A^{2} \omega}{c\left(x^{2}+y^{2}\right)} \cos (k z-\omega t) \sin (k z-\omega t) \hat{z}=\frac{\partial}{\partial t}\left(\vec{p}_{\mathrm{em}}\right)$,21,5.1586
physics\seephys,mechanics_kinematics_dynamics,力学、运动学与动力学,seephys01439,seephys01439.json,Fig. 9.1 shows a circuit with three 1.5 V cells. Calculate the total electromotive force (e.m.f.) of the cells.,,pending_translation,4.5 V,21,7.7871
physics\seephys,mechanics_kinematics_dynamics,力学、运动学与动力学,seephys00134,seephys00134.json,What are the energies and energy eigenfunctions if the ring is doubled (each loop still has radius $R$) as shown in Fig. 4.8?,,pending_translation,"$\Psi_{n}(\theta)=\frac{1}{\sqrt{4\pi}}e^{i\frac{n}{2}\theta}\quad \text{for } n=0, \pm1, \pm2,\ldots \quad \text{and} \quad E_{n}=\frac{n^{2}\hbar^{2}}{8mR^{2}}$",23,10.2263
physics\seephys,mechanics_kinematics_dynamics,力学、运动学与动力学,seephys01285,seephys01285.json,"磁流体发电机的工作原理如电图 3.10.1 所示。横截面为矩形的管道长为 $l$,宽为 $a$,高为 $b$,上、下两个侧面是绝缘体,相距为 $a$ 的两个侧面是电阻可略的导体,这两个侧面与负载电阻 $R_{L}$ 相连。整个管道处于匀强磁场区域,$\boldsymbol{B}$ 垂直于上、下侧面指向上。管道内沿长度方向流有电阻率为 $\rho$ 的电离气体,气体流速处处相同,所受摩擦阻力的大小与流速成正比。现在管的两端维持恒定的压强差 $p$,无磁场存在时气体的流速为 $v_{0}$。试求有磁场存在时,此发电机的电动势 $\mathcal{E}$。","磁流体发电机的工作原理如电图 3.10.1 所示。横截面为矩形的管道长为 $l$,宽为 $a$,高为 $b$,上、下两个侧面是绝缘体,相距为 $a$ 的两个侧面是电阻可略的导体,这两个侧面与负载电阻 $R_{L}$ 相连。整个管道处于匀强磁场区域,$\boldsymbol{B}$ 垂直于上、下侧面指向上。管道内沿长度方向流有电阻率为 $\rho$ 的电离气体,气体流速处处相同,所受摩擦阻力的大小与流速成正比。现在管的两端维持恒定的压强差 $p$,无磁场存在时气体的流速为 $v_{0}$。试求有磁场存在时,此发电机的电动势 $\mathcal{E}$。",original_zh,$\frac{B a v_{0}}{1+\frac{B^{2} a v_{0}}{p b\left(R_{L}+\frac{\rho a}{b l}\right)}}$,191,9.2237
physics\seephys,mechanics_kinematics_dynamics,力学、运动学与动力学,seephys01046,seephys01046.json,A heater supplies energy at a constant rate to 0.045 kg of a substance. The variation with time of the temperature of the substance is shown in Fig. 3.1. The substance is perfectly insulated from its surroundings. Determine the temperature at which the substance melts.,,pending_translation,$-100^{\circ} \mathrm{C}$,45,9.1259
physics\seephys,mechanics_kinematics_dynamics,力学、运动学与动力学,seephys00629,seephys00629.json,"A linearly polarized wave with wavelength $\lambda_{0}=0.55\,\mu\mathrm{m}$ has its electric field vector $\vec{E}_{i}$ forming an angle $\theta=30\,\mathrm{deg}$ with the optical axis of a uniaxial crystal plate $O-O'$ that is parallel to the input face. The plate has thickness $d=6.9\,\mu\mathrm{m}$ and principal refractive indices $n_o=1.56$ and $n_e=1.6$. Determine the phase difference $\Delta\phi_{oe}$ between the ordinary and extraordinary waves emerging from the plate, and determine th...",,pending_translation,"$\Delta\phi_{oe} \approx \pi$; the emerging wave is linearly polarized, with the direction of oscillations forming an angle of $60\,\mathrm{deg}$ with the direction of oscillations in the incident wave.",93,9.4033
physics\seephys,mechanics_kinematics_dynamics,力学、运动学与动力学,seephys00329,seephys00329.json,三个弹簧秤的吊环 A、B、C 固定在水平木板上。弹簧秤的钩子上各系着一条绳子，将三条绳子拉紧，并将自由端在 D 点联结。已知弹簧秤上的读数分别为 8 \mathrm{~N}、7 \mathrm{~N} 和 13 \mathrm{~N}，试求绳子之间的夹角 \alpha 和 \beta。,三个弹簧秤的吊环 A、B、C 固定在水平木板上。弹簧秤的钩子上各系着一条绳子，将三条绳子拉紧，并将自由端在 D 点联结。已知弹簧秤上的读数分别为 8 \mathrm{~N}、7 \mathrm{~N} 和 13 \mathrm{~N}，试求绳子之间的夹角 \alpha 和 \beta。,original_zh,"\alpha=27.8^{\circ},\quad \beta=32.2^{\circ}",84,8.4892
physics\seephys,mechanics_kinematics_dynamics,力学、运动学与动力学,seephys01223,seephys01223.json,A thin spherical shell of radius $R$ has a fixed charge $+q$ distributed uniformly over its surface. A small circular section (radius $r \ll R$) of charge is removed from the surface. The cut section is replaced and the sphere is set in motion rotating with constant angular velocity $\omega=\omega_{0}$ about the $z$-axis. Calculate the line integral of the electric field along the $z$-axis from $-\infty$ to $+\infty$.,,pending_translation,$0$,72,8.7304
