dataset,final_category,final_category_zh,count,share_pct,question_len_median,question_len_p25,question_len_p75,answer_len_median,complexity_median,multi_step_median,visual_entity_median,requires_image_pct,top_question_type,top_answer_shape,top_visual_kind
chemistry\scemqa_chemistry,stoichiometry_reaction_calculation,化学计量与反应计算,32,28.83,38.5,23.75,57.75,4.5,8.052,0.392,5.0,96.88,multiple_choice,formula_latex,wide_diagram
chemistry\scemqa_chemistry,molecular_structure_smiles_bonds,分子结构、键与 SMILES,26,23.42,33.0,26.0,53.0,3.5,7.61,0.347,6.0,96.15,multiple_choice,short_text,geometry_diagram
chemistry\scemqa_chemistry,equilibrium_kinetics_gas,化学平衡、动力学与气体,22,19.82,46.5,37.25,62.5,3.0,8.454,0.423,4.0,100.0,multiple_choice,short_text,chart_like
chemistry\scemqa_chemistry,acid_base_solution,酸碱与溶液性质,9,8.11,32.0,30.0,37.0,3.0,7.424,0.347,5.0,88.89,multiple_choice,short_text,wide_diagram
chemistry\scemqa_chemistry,periodic_atomic_bonding,周期律、原子与成键,6,5.41,17.5,14.75,22.5,1.5,6.308,0.302,5.0,100.0,multiple_choice,choice_label,generic_visual
chemistry\scemqa_chemistry,thermochemistry_calorimetry,热化学与量热,6,5.41,48.0,40.25,76.75,2.5,8.64,0.392,5.5,100.0,multiple_choice,short_text,wide_diagram
chemistry\scemqa_chemistry,chemistry_other,化学综合题,3,2.7,15.0,15.0,17.5,3.0,5.074,0.302,0.0,33.33,multiple_choice,short_text,
chemistry\scemqa_chemistry,isomer_stereochemistry_nomenclature,异构、立体化学与命名,3,2.7,60.0,37.0,60.0,4.0,9.263,0.509,6.0,66.67,multiple_choice,short_text,generic_visual
chemistry\scemqa_chemistry,electrochemistry_redox,电化学与氧化还原,2,1.8,41.5,31.75,51.25,7.0,7.037,0.378,3.0,50.0,multiple_choice,short_text,
chemistry\scemqa_chemistry,lab_graph_data_interpretation,实验图表与数据分析,2,1.8,16.0,14.0,18.0,1.0,6.441,0.329,5.0,100.0,multiple_choice,choice_label,wide_diagram
