dataset,final_category,final_category_zh,count,share_pct,definition_zh,source_rule
physics\phyx,mechanics_kinematics_dynamics,力学、运动学与动力学,506,44.42,需要运用“力学、运动学与动力学”相关知识或解法的题目。,mapped:mechanics_kinematics_dynamics
physics\phyx,waves_optics_sound,波动、光学与声学,198,17.38,需要运用“波动、光学与声学”相关知识或解法的题目。,mapped:waves_optics_sound
physics\phyx,thermo_fluids_gases,热学、流体与气体,151,13.26,需要运用“热学、流体与气体”相关知识或解法的题目。,mapped:thermo_fluids_gases
physics\phyx,electromagnetism_circuits,电磁学与物理电路,130,11.41,需要运用“电磁学与物理电路”相关知识或解法的题目。,mapped:electromagnetism_circuits
physics\phyx,physics_conceptual_judgement,物理概念判断,121,10.62,需要运用“物理概念判断”相关知识或解法的题目。,refined:physics_conceptual_judgement
physics\phyx,graph_data_interpretation,物理图像与数据解读,10,0.88,需要运用“物理图像与数据解读”相关知识或解法的题目。,mapped:graph_data_interpretation
physics\phyx,modern_quantum_nuclear_relativity,近代物理、量子与相对论,10,0.88,需要运用“近代物理、量子与相对论”相关知识或解法的题目。,mapped:modern_quantum_nuclear_relativity
physics\phyx,physical_circuit_application,物理电路应用,8,0.7,需要运用“物理电路应用”相关知识或解法的题目。,refined:physical_circuit_application
physics\phyx,astronomy_gravity_orbits,天体引力与轨道,2,0.18,需要运用“天体引力与轨道”相关知识或解法的题目。,mapped:astronomy_gravity_orbits
physics\phyx,thermal_engine_refrigeration,热机、制冷与能效,2,0.18,需要运用“热机、制冷与能效”相关知识或解法的题目。,refined:thermal_engine_refrigeration
physics\phyx,advanced_mechanics,高级力学与振动,1,0.09,需要运用“高级力学与振动”相关知识或解法的题目。,refined:advanced_mechanics
