dataset,final_category,final_category_zh,count,share_pct,question_len_median,question_len_p25,question_len_p75,answer_len_median,complexity_median,multi_step_median,visual_entity_median,requires_image_pct,top_question_type,top_answer_shape,top_visual_kind
math\mathvision,geometry_angle_chasing,几何角度追踪,908,48.32,40.0,30.0,53.0,2.0,7.675,0.356,6.0,80.95,multiple_choice,formula_latex,geometry_diagram
math\mathvision,geometry_length_area_volume,几何长度、面积与体积,496,26.4,42.0,31.0,57.0,1.0,7.761,0.356,6.0,83.87,open,numeric_or_unit,generic_visual
math\mathvision,math_other,数学综合题,174,9.26,39.0,29.0,53.0,1.0,7.652,0.347,6.0,78.16,open,numeric_or_unit,generic_visual
math\mathvision,coordinate_geometry_transform,坐标几何与变换,64,3.41,35.5,25.75,47.5,1.0,7.397,0.347,6.0,92.19,open,numeric_or_unit,wide_diagram
math\mathvision,counting_probability_combinatorics,计数、概率与组合,49,2.61,48.0,33.0,67.0,1.0,7.956,0.347,6.0,83.67,open,numeric_or_unit,generic_visual
math\mathvision,visual_spatial_puzzle,视觉空间与拼图推理,43,2.29,36.0,28.5,51.5,1.0,7.486,0.347,6.0,81.4,open,numeric_or_unit,wide_diagram
math\mathvision,number_theory_arithmetic,数论与算术,42,2.24,32.5,24.0,64.75,1.0,7.71,0.369,6.0,83.33,open,numeric_or_unit,generic_visual
math\mathvision,measurement_time_units,时间、单位与度量,36,1.92,44.0,31.75,53.25,1.0,7.963,0.349,6.0,86.11,open,numeric_or_unit,chart_like
math\mathvision,statistics_data_analysis,统计与数据分析,32,1.7,45.5,35.75,56.25,1.0,7.969,0.374,6.0,78.12,open,numeric_or_unit,generic_visual
math\mathvision,sequence_pattern_logic,序列、规律与逻辑,24,1.28,49.0,35.75,62.0,1.0,8.105,0.347,6.0,91.67,open,numeric_or_unit,generic_visual
math\mathvision,algebra_equation_inequality,代数方程与不等式,11,0.59,25.0,19.0,34.5,1.0,7.004,0.356,5.0,90.91,open,numeric_or_unit,chart_like
