dataset,canonical_sample_id,sample_file,source_problem_id,final_category,final_category_zh,question,question_zh,translation_status,answer,question_units,complexity_index,multi_step_score,visual_kinds
physics\phyx,phyx00000,phyx00000.json,519,mechanics_kinematics_dynamics,力学、运动学与动力学,"A therapist tells a \(74\,\text{kg}\) patient with a broken leg that he must have his leg in a cast suspended horizontally. For minimum discomfort, the leg should be supported by a vertical strap attached at the center of mass of the leg-cast system. To comply with these instructions, the patient consults a table of typical mass distributions and finds that both upper legs (thighs) together typically account for \(21.5\%\) of body weight and the center of mass of each thigh is \(18.0\,\text{c...",,not_translated_in_full_list,49.9cm,157,10.7652,0.6077,wide_diagram
physics\phyx,phyx00001,phyx00001.json,528,mechanics_kinematics_dynamics,力学、运动学与动力学,"Two identical, uniform beams weighing \(260\,\text{N}\) each are connected at one end by a frictionless hinge. A light horizontal crossbar attached at the midpoints of the beams maintains an angle of \(53.0^\circ\) between the beams. The beams are suspended from the ceiling by vertical wires. What force does the crossbar exert on each beam?",,not_translated_in_full_list,130N,57,8.6942,0.4367,geometry_diagram
physics\phyx,phyx00002,phyx00002.json,227,physics_conceptual_judgement,物理概念判断,"A spaceship flies past Earth. A crew member on board the spaceship measures its length, obtaining the value as shown in the figure. What length do observers measure on Earth?",,not_translated_in_full_list,\( 56.4 \text{ m} \),30,7.552,0.3467,wide_diagram
physics\phyx,phyx00003,phyx00003.json,200,waves_optics_sound,波动、光学与声学,"The index of refraction for violet light in silica flint glass is 1.66, and that for red light is 1.62. What is the angular spread of visible light passing through a prism of apex angle \(60.0^\circ\) if the angle of incidence is \(50.0^\circ\)? See figure.",,not_translated_in_full_list,\(4.61^\circ\),47,8.5805,0.4907,geometry_diagram
physics\phyx,phyx00004,phyx00004.json,213,waves_optics_sound,波动、光学与声学,The figure shows the path of a light beam through several slabs with different indices of refraction. What is the minimum incident angle \(\theta_1\) needed to have total internal reflection at the surface between the medium with \(n = 1.20\) and the medium with \(n = 1.00\)?,,not_translated_in_full_list,\(38.7^{\circ}\),46,8.0398,0.4187,geometry_diagram
physics\phyx,phyx00005,phyx00005.json,265,mechanics_kinematics_dynamics,力学、运动学与动力学,"Two spacecraft, A and B, are observed from the ground to be flying as shown in figure. What is the velocity of spacecraft A relative to spacecraft B?",,not_translated_in_full_list,\(0.987c\),28,7.5298,0.3467,wide_diagram
physics\phyx,phyx00006,phyx00006.json,80,mechanics_kinematics_dynamics,力学、运动学与动力学,"In a shipping company distribution center, an open cart of mass 50.0 kg is rolling to the left at a speed of 5.00 m/s as shown in the figure. Ignore friction between the cart and the floor. A 15.0 kg package slides down a chute and leaves the end of the chute with a speed of 3.00 m/s. The package lands in the cart and they roll together. What is the final speed of the cart?",,not_translated_in_full_list,3.29 m/s,78,8.7432,0.4097,generic_visual
physics\phyx,phyx00007,phyx00007.json,522,physics_conceptual_judgement,物理概念判断,"In the Figure, a \(6.00\,\text{m}\)-long, uniform beam is hanging from a point \(1.00\,\text{m}\) to the right of its center. The beam weighs \(140\,\text{N}\). At the right-hand end of the beam a weight is hung; an unknown weight \(w\) hangs at the left end. If the system is in equilibrium, what is \(w\)?",,not_translated_in_full_list,15N,60,8.6547,0.5447,geometry_diagram
physics\phyx,phyx00008,phyx00008.json,393,physics_conceptual_judgement,物理概念判断,"As shown in the figure, a plane glass plate with refractive index n = 1.50 is immersed in water. It is known that when a beam of light is incident on the water surface, the reflected light is completely polarized. If the reflected light from the surface of the glass is also to be completely polarized, what should be the angle θ between the glass surface and the horizontal plane (water surface)?",,not_translated_in_full_list,\( 11^\circ 30,70,9.0144,0.4637,geometry_diagram
physics\phyx,phyx00009,phyx00009.json,515,mechanics_kinematics_dynamics,力学、运动学与动力学,"A box of negligible mass rests at the left end of a \( 2.00\, \text{m} \), \( 25.0\, \text{kg} \) plank. The sand is to be distributed uniformly throughout it. What mass of sand should be put into the box so that the plank balances horizontally on a fulcrum placed just below its midpoint?",,not_translated_in_full_list,20kg,52,8.5932,0.4277,geometry_diagram
