dataset,canonical_sample_id,sample_file,source_problem_id,final_category,final_category_zh,question,question_zh,translation_status,answer,question_units,complexity_index,multi_step_score,visual_kinds
math\scemqa_math,scemqamath00000,scemqamath00000.json,38,geometry_length_area_volume,几何长度、面积与体积,Use the following computer output for a least-squares regression for Questions below. What is the equation of the least-squares regression line?,,not_translated_in_full_list,ŷ = 22.94 - 0.6442x,23,7.1161,0.3197,wide_diagram
math\scemqa_math,scemqamath00001,scemqamath00001.json,21,statistics_data_analysis,统计与数据分析,"As part of a study on the relationship between the use of tanning booths and the occurrence of skin cancer, researchers reviewed the medical records of 1,436 people. The table below summarizes tanning booth use for people in the study who did and did not have skin cancer. Of the people in the study who had skin cancer, what fraction used a tanning booth?",,not_translated_in_full_list,190/896,65,8.7806,0.3917,wide_diagram
math\scemqa_math,scemqamath00002,scemqamath00002.json,26,measurement_time_units,时间、单位与度量,"As part of a community service program, students in three middle school grades (grade 6, grade 7, grade 8) each chose to participate in one of three school-sponsored volunteer activities. The graph below shows the distribution for each class for the three activities. Based on the graph, which statement must be true?",,not_translated_in_full_list,"For students in grade 7, the number who chose activity C was greater than the number who chose activity B",53,8.939,0.4187,chart_like
math\scemqa_math,scemqamath00003,scemqamath00003.json,135,statistics_data_analysis,统计与数据分析,"The following box plot illustrates the movement of two variables, A1 and B1. Which of the following assumptions is correct?",,not_translated_in_full_list,The range of the data is larger in A1.,22,7.3981,0.3467,chart_like
math\scemqa_math,scemqamath00004,scemqamath00004.json,49,math_puzzle_logic,数学谜题与逻辑推理,Breakfast cereals have a wide range of sugar content. Some cereals contain High Fructose Corn Syrup (HFCS) as a source of sugar and some do not. The boxplots above show the total sugar content of different types of cereal for those containing HFCS and for those that do not. Which statement is true based on the boxplots?,,not_translated_in_full_list,About half the cereals with HFCS have more sugar than about three-fourths of the cereals without HFCS.,57,8.5666,0.3647,chart_like
math\scemqa_math,scemqamath00005,scemqamath00005.json,147,geometry_length_area_volume,几何长度、面积与体积,Question: 70 Why does Chart 1 show a better fitting line than Chart 2?,,not_translated_in_full_list,Because it has a lower value of the sum of squares,14,6.2908,0.3017,chart_like
math\scemqa_math,scemqamath00006,scemqamath00006.json,90,algebra_equation_inequality,代数方程与不等式,"The table shows some of the values of differentiable functions $f$ and $g$ and their derivatives. If $h(x) = f(g(x))$, then $h'(2)$ equals",,not_translated_in_full_list,-1,26,7.9751,0.4727,wide_diagram
math\scemqa_math,scemqamath00007,scemqamath00007.json,121,geometry_length_area_volume,几何长度、面积与体积,The graph above shows the polar curve r = 3θ + sin θ for 0 ≤ θ ≤ π. Let R be the region bounded by the polar curve and the x-axis. What is the area of R?,,not_translated_in_full_list,56.720,32,8.4289,0.4187,chart_like
math\scemqa_math,scemqamath00008,scemqamath00008.json,171,counting_probability_combinatorics,计数、概率与组合,"Suppose a cell phone company manufactures cell phones and tablets in the following four states: Arizona, California, Washington, and Minnesota. The table below shows the percentage of total output by state, and within each state, the percentage output of each product. What is the probability that a randomly selected product will be a tablet manufactured in Minnesota? (Assume that all products are shipped from one distribution center.)",,not_translated_in_full_list,0.004,67,9.0123,0.4147,wide_diagram
math\scemqa_math,scemqamath00009,scemqamath00009.json,52,geometry_length_area_volume,几何长度、面积与体积,"In American football, the running back carries the football forward in a quest to score points. Many people create fantasy football teams by selecting players as their ""team."" These fans analyze data to judge which players are outstanding. The following regression output analyzes the linear relationship between the number of times a running back is given the football (carries) and the total number of yards that player gains in a season for a random sample of 18 running backs. The appropriate...",,not_translated_in_full_list,4.3441 ± 2.921.(1.811),113,9.3312,0.4097,geometry_diagram
math\scemqa_math,scemqamath00010,scemqamath00010.json,196,statistics_data_analysis,统计与数据分析,A student is studying the relationship between the number of hours students work and their final exam scores in statistics courses. A regression analysis resulted in the computer output below. What is the t-test statistic that should be used to test H0: β = 0 versus Ha: β ≠ 0?,,not_translated_in_full_list,-1.61,48,7.5189,0.3197,wide_diagram
math\scemqa_math,scemqamath00011,scemqamath00011.json,203,geometry_length_area_volume,几何长度、面积与体积,"A small college is expecting that the ratio of students that will pass compared to those that will fail will be 3 to 1. The college has 880 students. Despite these expectations, 639 students passed, while 241 failed. What is the correct chi-square statistic?",,not_translated_in_full_list,2.67,45,7.2747,0.4457,
math\scemqa_math,scemqamath00012,scemqamath00012.json,148,statistics_data_analysis,统计与数据分析,"Question: 71 Based on the data shown in the chart below, what is the most likely correlation between the two datasets shown?",,not_translated_in_full_list,There is a correlation between the variables higher than 0.9,22,7.2382,0.3467,chart_like
math\scemqa_math,scemqamath00013,scemqamath00013.json,10,algebra_equation_inequality,代数方程与不等式,"The graph of a function, $f$, is shown above. Let $h(x)$ be defined as $h(x) = (x + 1) \cdot f(x)$. Find $h'(4)$.",,not_translated_in_full_list,-6,25,8.1374,0.4997,chart_like
