dataset,final_category,final_category_zh,count,share_pct,definition_zh,source_rule
chemistry\sciverse_chemistry,stoichiometry_reaction_calculation,化学计量与反应计算,61,24.7,需要运用“化学计量与反应计算”相关知识或解法的题目。,mapped:stoichiometry_reaction_calculation
chemistry\sciverse_chemistry,molecular_structure_smiles_bonds,分子结构、键与 SMILES,49,19.84,需要运用“分子结构、键与 SMILES”相关知识或解法的题目。,mapped:molecular_structure_smiles_bonds
chemistry\sciverse_chemistry,equilibrium_kinetics_gas,化学平衡、动力学与气体,43,17.41,需要运用“化学平衡、动力学与气体”相关知识或解法的题目。,mapped:equilibrium_kinetics_gas
chemistry\sciverse_chemistry,thermochemistry_calorimetry,热化学与量热,31,12.55,需要运用“热化学与量热”相关知识或解法的题目。,mapped:thermochemistry_calorimetry
chemistry\sciverse_chemistry,acid_base_solution,酸碱与溶液性质,22,8.91,需要运用“酸碱与溶液性质”相关知识或解法的题目。,mapped:acid_base_solution
chemistry\sciverse_chemistry,isomer_stereochemistry_nomenclature,异构、立体化学与命名,11,4.45,需要运用“异构、立体化学与命名”相关知识或解法的题目。,mapped:isomer_stereochemistry_nomenclature
chemistry\sciverse_chemistry,lab_graph_data_interpretation,实验图表与数据分析,11,4.45,需要运用“实验图表与数据分析”相关知识或解法的题目。,mapped:lab_graph_data_interpretation
chemistry\sciverse_chemistry,electrochemistry_redox,电化学与氧化还原,7,2.83,需要运用“电化学与氧化还原”相关知识或解法的题目。,mapped:electrochemistry_redox
chemistry\sciverse_chemistry,periodic_atomic_bonding,周期律、原子与成键,6,2.43,需要运用“周期律、原子与成键”相关知识或解法的题目。,mapped:periodic_atomic_bonding
chemistry\sciverse_chemistry,chemistry_other,化学综合题,5,2.02,需要运用“化学综合题”相关知识或解法的题目。,mapped:chemistry_other
chemistry\sciverse_chemistry,organic_reaction_mechanism,有机反应机理,1,0.4,需要运用“有机反应机理”相关知识或解法的题目。,mapped:organic_reaction_mechanism
